result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,division,result_norm,u1,u2,r1,r2,reach_diff,reach_gap,longer_is_p1,p1_won,longer_won,pair_key
L,Louis Smolka,Brandon Moreno,http://ufcstats.com/fighter-details/d2bc285ead803db0,http://ufcstats.com/fighter-details/792be9a24df82ed6,Flyweight Bout,Submission,1,2:23,3 Rnd (5-5-5),Dan Miragliotta,Guillotine Choke After Drop to Guard,Da Last Samurai,The Assassin Baby,2016-10-01,"Portland, Oregon, USA",http://ufcstats.com/event-details/a196332ee4aa8a82,0,,,,,7 of 13,,,,,17 of 23,,,,,1 of 1,,,,,0,,,,,0,,,,,0:17,,,,,0,,,,,8 of 11,,,,,21 of 24,,,,,1 of 1,,,,,2,,,,,0,,,,,1:37,,,,,6 of 12,,,,,1 of 1,,,,,0 of 0,,,,,2 of 8,,,,,0 of 0,,,,,5 of 5,,,,,7 of 10,,,,,1 of 1,,,,,0 of 0,,,,,3 of 4,,,,,1 of 1,,,,,4 of 6,,,,,Flyweight,L,http://ufcstats.com/fighter-details/d2bc285ead803db0,http://ufcstats.com/fighter-details/792be9a24df82ed6,68.0,70.0,-2.0,2.0,False,False,True,http://ufcstats.com/fighter-details/792be9a24df82ed6|http://ufcstats.com/fighter-details/d2bc285ead803db0
W,Beneil Dariush,Rashid Magomedov,http://ufcstats.com/fighter-details/08af939f41b5a57b,http://ufcstats.com/fighter-details/7ea1f74cef32f906,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 27 - 30. Sal D'amato 27 - 30. Chris Lee 28 - 29.,--,Highlander,2016-11-05,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/6083f497c22cc075,0,0.0,0.0,,,18 of 38,20 of 37,22 of 45,,,22 of 43,23 of 40,28 of 51,,,0 of 4,0 of 0,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:37,2:13,1:20,,,0,0.0,0.0,,,13 of 19,11 of 21,17 of 38,,,26 of 34,24 of 42,29 of 53,,,1 of 1,0 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,1:26,0:01,1:16,,,4 of 19,7 of 18,9 of 24,,,13 of 17,6 of 12,9 of 15,,,1 of 2,7 of 7,4 of 6,,,7 of 24,9 of 21,9 of 26,,,11 of 14,11 of 16,13 of 19,,,0 of 0,0 of 0,0 of 0,,,8 of 13,6 of 15,10 of 27,,,2 of 3,5 of 6,7 of 11,,,3 of 3,0 of 0,0 of 0,,,7 of 9,8 of 16,13 of 32,,,6 of 8,3 of 5,4 of 6,,,0 of 2,0 of 0,0 of 0,,,Lightweight,W,http://ufcstats.com/fighter-details/08af939f41b5a57b,http://ufcstats.com/fighter-details/7ea1f74cef32f906,72.0,70.0,2.0,2.0,True,True,True,http://ufcstats.com/fighter-details/08af939f41b5a57b|http://ufcstats.com/fighter-details/7ea1f74cef32f906
W,Alexa Grasso,Heather Clark,http://ufcstats.com/fighter-details/e8b731feff72294b,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Derek Cleary 27 - 30. Chris Lee 27 - 30. Brian Puccillo 28 - 29.,--,Hurricane,2016-11-05,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/6083f497c22cc075,0,0.0,0.0,,,30 of 65,8 of 19,27 of 50,,,61 of 100,25 of 39,34 of 61,,,0 of 0,0 of 1,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:59,1:28,0:54,,,0,0.0,0.0,,,22 of 47,7 of 16,11 of 24,,,26 of 53,18 of 31,30 of 43,,,0 of 1,0 of 2,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:35,1:06,0:37,,,18 of 49,1 of 9,9 of 28,,,7 of 10,7 of 9,8 of 11,,,5 of 6,0 of 1,10 of 11,,,16 of 34,2 of 10,17 of 37,,,14 of 31,6 of 9,6 of 8,,,0 of 0,0 of 0,4 of 5,,,9 of 32,4 of 11,4 of 16,,,9 of 11,1 of 3,6 of 7,,,4 of 4,2 of 2,1 of 1,,,12 of 35,4 of 12,10 of 23,,,10 of 12,3 of 4,1 of 1,,,0 of 0,0 of 0,0 of 0,,,Women's Strawweight,W,http://ufcstats.com/fighter-details/e8b731feff72294b,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9,66.0,64.0,2.0,2.0,True,True,True,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9|http://ufcstats.com/fighter-details/e8b731feff72294b
W,Ricardo Lamas,Charles Oliveira,http://ufcstats.com/fighter-details/3974fa35c917af1d,http://ufcstats.com/fighter-details/07225ba28ae309b6,Featherweight Bout,Submission,2,2:13,3 Rnd (5-5-5),Jerin Valel,Guillotine Choke On Ground,The Bully,Do Bronxs,2016-11-05,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/6083f497c22cc075,0,0.0,,,,5 of 11,6 of 9,,,,7 of 13,6 of 9,,,,1 of 1,0 of 0,,,,0,1.0,,,,0,1.0,,,,1:11,1:16,,,,0,0.0,,,,7 of 10,6 of 8,,,,26 of 30,10 of 12,,,,1 of 1,1 of 1,,,,2,0.0,,,,0,0.0,,,,3:14,0:24,,,,3 of 9,4 of 5,,,,0 of 0,1 of 3,,,,2 of 2,1 of 1,,,,3 of 8,5 of 7,,,,0 of 0,0 of 0,,,,2 of 3,1 of 2,,,,7 of 10,4 of 6,,,,0 of 0,1 of 1,,,,0 of 0,1 of 1,,,,1 of 3,5 of 6,,,,0 of 0,1 of 2,,,,6 of 7,0 of 0,,,,Featherweight,W,http://ufcstats.com/fighter-details/3974fa35c917af1d,http://ufcstats.com/fighter-details/07225ba28ae309b6,71.0,74.0,-3.0,3.0,False,True,False,http://ufcstats.com/fighter-details/07225ba28ae309b6|http://ufcstats.com/fighter-details/3974fa35c917af1d
W,John Lineker,John Dodson,http://ufcstats.com/fighter-details/c268b2cfebccf652,http://ufcstats.com/fighter-details/99506df1af6c8b3b,Bantamweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Marcos Rosales 48 - 47. Glenn Trowbridge 47 - 48. Sal D'amato 47 - 48.,Hands of Stone,The Magician,2016-10-01,"Portland, Oregon, USA",http://ufcstats.com/event-details/a196332ee4aa8a82,0,0.0,0.0,0.0,0.0,9 of 31,16 of 67,14 of 60,27 of 83,27 of 81,9 of 31,16 of 67,15 of 61,27 of 83,27 of 81,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0:00,0:00,0:00,0:00,0:00,0,0.0,0.0,0.0,0.0,15 of 23,15 of 31,15 of 34,22 of 44,34 of 59,15 of 23,15 of 31,15 of 34,22 of 44,34 of 59,0 of 1,0 of 0,0 of 1,0 of 3,0 of 1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0:00,0:00,0:00,0:00,0:23,2 of 16,10 of 48,9 of 43,12 of 59,14 of 57,6 of 12,4 of 16,4 of 15,11 of 20,10 of 21,1 of 3,2 of 3,1 of 2,4 of 4,3 of 3,9 of 30,16 of 67,13 of 57,19 of 67,26 of 79,0 of 1,0 of 0,1 of 3,8 of 16,1 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,3 of 9,7 of 22,10 of 28,15 of 35,21 of 46,4 of 5,3 of 3,4 of 5,5 of 7,10 of 10,8 of 9,5 of 6,1 of 1,2 of 2,3 of 3,15 of 23,14 of 29,14 of 32,21 of 43,34 of 59,0 of 0,1 of 2,1 of 2,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,Bantamweight,W,http://ufcstats.com/fighter-details/c268b2cfebccf652,http://ufcstats.com/fighter-details/99506df1af6c8b3b,67.0,66.0,1.0,1.0,True,True,True,http://ufcstats.com/fighter-details/99506df1af6c8b3b|http://ufcstats.com/fighter-details/c268b2cfebccf652
W,Diego Sanchez,Marcin Held,http://ufcstats.com/fighter-details/82e7929bf6c2b689,http://ufcstats.com/fighter-details/bf43fed8f29e1671,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Sal D'amato 28 - 29. Brian Puccillo 28 - 29. Chris Lee 27 - 29.,Nightmare,--,2016-11-05,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/6083f497c22cc075,0,0.0,0.0,,,17 of 44,8 of 10,21 of 27,,,19 of 46,20 of 23,30 of 39,,,0 of 1,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:30,4:35,4:10,,,0,0.0,0.0,,,23 of 64,2 of 4,5 of 14,,,32 of 73,11 of 13,14 of 26,,,0 of 0,0 of 0,0 of 2,,,1,0.0,0.0,,,0,0.0,0.0,,,0:18,0:00,0:00,,,11 of 34,5 of 7,15 of 21,,,5 of 9,2 of 2,5 of 5,,,1 of 1,1 of 1,1 of 1,,,17 of 44,1 of 2,3 of 6,,,0 of 0,0 of 0,0 of 0,,,0 of 0,7 of 8,18 of 21,,,23 of 63,2 of 4,5 of 13,,,0 of 1,0 of 0,0 of 1,,,0 of 0,0 of 0,0 of 0,,,20 of 61,1 of 2,2 of 7,,,3 of 3,0 of 0,0 of 1,,,0 of 0,1 of 2,3 of 6,,,Lightweight,W,http://ufcstats.com/fighter-details/82e7929bf6c2b689,http://ufcstats.com/fighter-details/bf43fed8f29e1671,72.0,71.0,1.0,1.0,True,True,True,http://ufcstats.com/fighter-details/82e7929bf6c2b689|http://ufcstats.com/fighter-details/bf43fed8f29e1671
W,Liz Carmouche,Katlyn Chookagian,http://ufcstats.com/fighter-details/51a0c09cbe9b8472,http://ufcstats.com/fighter-details/e872e9a9a902c045,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Cardo Urso 28 - 29. Glenn Trowbridge 29 - 28. Chris Lee 28 - 29.,Girlrilla,Blonde Fighter,2016-11-12,"New York City, New York, USA",http://ufcstats.com/event-details/4956f60b7fa57c1a,0,0.0,0.0,,,11 of 20,7 of 18,9 of 26,,,19 of 28,21 of 34,9 of 26,,,2 of 3,1 of 1,1 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,2:57,2:46,1:53,,,0,0.0,1.0,,,2 of 19,9 of 41,11 of 55,,,18 of 35,15 of 47,31 of 78,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:10,,,4 of 11,1 of 9,1 of 12,,,2 of 4,1 of 1,2 of 2,,,5 of 5,5 of 8,6 of 12,,,7 of 16,6 of 17,8 of 24,,,0 of 0,1 of 1,1 of 2,,,4 of 4,0 of 0,0 of 0,,,0 of 15,3 of 30,8 of 49,,,0 of 0,2 of 5,3 of 6,,,2 of 4,4 of 6,0 of 0,,,2 of 19,8 of 37,7 of 48,,,0 of 0,1 of 4,2 of 4,,,0 of 0,0 of 0,2 of 3,,,Women's Bantamweight,W,http://ufcstats.com/fighter-details/51a0c09cbe9b8472,http://ufcstats.com/fighter-details/e872e9a9a902c045,66.0,68.0,-2.0,2.0,False,True,False,http://ufcstats.com/fighter-details/51a0c09cbe9b8472|http://ufcstats.com/fighter-details/e872e9a9a902c045
L,Rafael Natal,Tim Boetsch,http://ufcstats.com/fighter-details/0dba4df5f34d5ff0,http://ufcstats.com/fighter-details/c80095f6092271a7,Middleweight Bout,KO/TKO,1,3:22,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance,Sapo,The Barbarian,2016-11-12,"New York City, New York, USA",http://ufcstats.com/event-details/4956f60b7fa57c1a,0,,,,,5 of 18,,,,,5 of 18,,,,,0 of 1,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,14 of 25,,,,,14 of 25,,,,,0 of 0,,,,,0,,,,,0,,,,,0:04,,,,,2 of 13,,,,,1 of 2,,,,,2 of 3,,,,,5 of 18,,,,,0 of 0,,,,,0 of 0,,,,,9 of 17,,,,,1 of 4,,,,,4 of 4,,,,,11 of 22,,,,,0 of 0,,,,,3 of 3,,,,,Middleweight,L,http://ufcstats.com/fighter-details/0dba4df5f34d5ff0,http://ufcstats.com/fighter-details/c80095f6092271a7,77.0,74.0,3.0,3.0,True,False,False,http://ufcstats.com/fighter-details/0dba4df5f34d5ff0|http://ufcstats.com/fighter-details/c80095f6092271a7
L,Rafael Dos Anjos,Tony Ferguson,http://ufcstats.com/fighter-details/6a2f7c151031653d,http://ufcstats.com/fighter-details/22a92d7f62195791,Lightweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 47 - 48. Chris Lee 47 - 48. Marcos Rosales 47 - 48.,--,El Cucuy,2016-11-05,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/6083f497c22cc075,0,0.0,0.0,0.0,0.0,25 of 49,19 of 65,30 of 61,21 of 52,26 of 49,30 of 54,19 of 65,30 of 61,21 of 52,26 of 49,0 of 1,0 of 1,0 of 1,0 of 2,0 of 0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0:29,0:00,0:00,0:01,0:00,0,0.0,0.0,0.0,0.0,22 of 62,50 of 100,44 of 81,40 of 83,43 of 75,22 of 62,51 of 101,44 of 81,40 of 83,43 of 75,0 of 0,0 of 0,0 of 0,0 of 2,0 of 0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0:00,0:00,0:00,0:00,0:00,15 of 39,14 of 55,23 of 52,13 of 43,19 of 34,3 of 3,3 of 8,5 of 7,6 of 7,1 of 8,7 of 7,2 of 2,2 of 2,2 of 2,6 of 7,24 of 46,18 of 64,30 of 60,21 of 52,26 of 49,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,1 of 3,0 of 0,0 of 1,0 of 0,0 of 0,11 of 49,27 of 75,28 of 60,26 of 65,34 of 63,2 of 4,12 of 14,5 of 10,8 of 11,1 of 3,9 of 9,11 of 11,11 of 11,6 of 7,8 of 9,21 of 61,50 of 99,44 of 81,38 of 81,43 of 75,1 of 1,0 of 1,0 of 0,2 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,Lightweight,L,http://ufcstats.com/fighter-details/6a2f7c151031653d,http://ufcstats.com/fighter-details/22a92d7f62195791,70.0,76.0,-6.0,6.0,False,False,True,http://ufcstats.com/fighter-details/22a92d7f62195791|http://ufcstats.com/fighter-details/6a2f7c151031653d
L,Miesha Tate,Raquel Pennington,http://ufcstats.com/fighter-details/b96619b3acd7d9da,http://ufcstats.com/fighter-details/fc169c387b4b465d,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Doug Crosby 28 - 29. Jeff Mullen 27 - 30. Derek Cleary 27 - 30.,Cupcake,Rocky,2016-11-12,"New York City, New York, USA",http://ufcstats.com/event-details/4956f60b7fa57c1a,0,0.0,0.0,,,7 of 29,13 of 32,1 of 4,,,12 of 34,26 of 46,10 of 13,,,1 of 3,0 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:36,1:36,0:15,,,0,0.0,0.0,,,8 of 21,24 of 37,11 of 19,,,14 of 27,55 of 74,42 of 55,,,0 of 0,0 of 0,1 of 1,,,2,0.0,1.0,,,0,0.0,0.0,,,0:20,1:57,4:30,,,2 of 13,5 of 17,1 of 4,,,3 of 13,8 of 15,0 of 0,,,2 of 3,0 of 0,0 of 0,,,7 of 29,3 of 14,1 of 4,,,0 of 0,10 of 18,0 of 0,,,0 of 0,0 of 0,0 of 0,,,7 of 20,16 of 29,8 of 16,,,0 of 0,8 of 8,0 of 0,,,1 of 1,0 of 0,3 of 3,,,8 of 21,11 of 22,0 of 3,,,0 of 0,13 of 15,0 of 0,,,0 of 0,0 of 0,11 of 16,,,Women's Bantamweight,L,http://ufcstats.com/fighter-details/b96619b3acd7d9da,http://ufcstats.com/fighter-details/fc169c387b4b465d,65.0,67.0,-2.0,2.0,False,False,True,http://ufcstats.com/fighter-details/b96619b3acd7d9da|http://ufcstats.com/fighter-details/fc169c387b4b465d
W,Khabib Nurmagomedov,Michael Johnson,http://ufcstats.com/fighter-details/032cc3922d871c7f,http://ufcstats.com/fighter-details/511e82663651438d,Lightweight Bout,Submission,3,2:31,3 Rnd (5-5-5),John McCarthy,Kimura From Side Control,The Eagle,The Menace,2016-11-12,"New York City, New York, USA",http://ufcstats.com/event-details/4956f60b7fa57c1a,0,0.0,0.0,,,33 of 58,49 of 69,12 of 15,,,49 of 74,73 of 95,18 of 21,,,1 of 2,0 of 3,1 of 1,,,0,0.0,1.0,,,0,0.0,0.0,,,3:03,3:35,2:06,,,0,0.0,0.0,,,16 of 52,1 of 20,2 of 5,,,16 of 52,1 of 20,3 of 6,,,0 of 0,0 of 0,0 of 0,,,0,1.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,32 of 57,49 of 69,12 of 15,,,1 of 1,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,1 of 6,3 of 11,1 of 4,,,0 of 0,1 of 1,0 of 0,,,32 of 52,45 of 57,11 of 11,,,7 of 32,1 of 15,1 of 4,,,6 of 16,0 of 4,1 of 1,,,3 of 4,0 of 1,0 of 0,,,16 of 52,1 of 20,2 of 5,,,0 of 0,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,Lightweight,W,http://ufcstats.com/fighter-details/032cc3922d871c7f,http://ufcstats.com/fighter-details/511e82663651438d,70.0,73.0,-3.0,3.0,False,True,False,http://ufcstats.com/fighter-details/032cc3922d871c7f|http://ufcstats.com/fighter-details/511e82663651438d
W,Vicente Luque,Belal Muhammad,http://ufcstats.com/fighter-details/6d4b63c767106d3a,http://ufcstats.com/fighter-details/b1b0729d27936f2f,Welterweight Bout,KO/TKO,1,1:19,3 Rnd (5-5-5),John McCarthy,Punches to Head At Distance,The Silent Assassin,Remember the Name,2016-11-12,"New York City, New York, USA",http://ufcstats.com/event-details/4956f60b7fa57c1a,1,,,,,9 of 21,,,,,9 of 21,,,,,0 of 0,,,,,0,,,,,0,,,,,0:03,,,,,0,,,,,3 of 10,,,,,3 of 10,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,5 of 16,,,,,2 of 3,,,,,2 of 2,,,,,5 of 17,,,,,0 of 0,,,,,4 of 4,,,,,2 of 8,,,,,0 of 0,,,,,1 of 2,,,,,3 of 10,,,,,0 of 0,,,,,0 of 0,,,,,Welterweight,W,http://ufcstats.com/fighter-details/6d4b63c767106d3a,http://ufcstats.com/fighter-details/b1b0729d27936f2f,75.0,72.0,3.0,3.0,True,True,True,http://ufcstats.com/fighter-details/6d4b63c767106d3a|http://ufcstats.com/fighter-details/b1b0729d27936f2f
L,Chris Weidman,Yoel Romero,http://ufcstats.com/fighter-details/3a8176e15b9887c1,http://ufcstats.com/fighter-details/f77c68bb4be8516d,Middleweight Bout,KO/TKO,3,0:24,3 Rnd (5-5-5),Mario Yamasaki,Flying Knee Head,The All-American,Soldier of God,2016-11-12,"New York City, New York, USA",http://ufcstats.com/event-details/4956f60b7fa57c1a,0,0.0,0.0,,,7 of 24,4 of 21,1 of 2,,,9 of 27,6 of 25,1 of 2,,,1 of 4,0 of 4,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:25,0:00,0:00,,,0,0.0,1.0,,,3 of 10,8 of 21,7 of 9,,,5 of 12,15 of 30,7 of 9,,,0 of 0,2 of 3,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,1:49,0:04,,,1 of 11,1 of 11,0 of 0,,,4 of 8,1 of 6,1 of 1,,,2 of 5,2 of 4,0 of 1,,,7 of 23,4 of 21,1 of 2,,,0 of 1,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,2 of 6,5 of 18,6 of 8,,,1 of 2,1 of 1,0 of 0,,,0 of 2,2 of 2,1 of 1,,,3 of 9,4 of 13,2 of 2,,,0 of 1,1 of 1,0 of 0,,,0 of 0,3 of 7,5 of 7,,,Middleweight,L,http://ufcstats.com/fighter-details/3a8176e15b9887c1,http://ufcstats.com/fighter-details/f77c68bb4be8516d,78.0,73.0,5.0,5.0,True,False,False,http://ufcstats.com/fighter-details/3a8176e15b9887c1|http://ufcstats.com/fighter-details/f77c68bb4be8516d
W,Frankie Edgar,Jeremy Stephens,http://ufcstats.com/fighter-details/f2688492b9a525a3,http://ufcstats.com/fighter-details/18968f97ad34f15c,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Glenn Trowbridge 27 - 30. Cardo Urso 27 - 30. Sal D'amato 28 - 29.,The Answer,Lil' Heathen,2016-11-12,"New York City, New York, USA",http://ufcstats.com/event-details/4956f60b7fa57c1a,0,0.0,0.0,,,6 of 20,20 of 30,14 of 26,,,7 of 21,21 of 31,17 of 29,,,1 of 6,2 of 5,2 of 3,,,0,2.0,0.0,,,0,1.0,0.0,,,1:17,1:28,2:04,,,0,1.0,0.0,,,5 of 39,20 of 60,8 of 47,,,6 of 40,22 of 62,13 of 52,,,0 of 0,0 of 0,0 of 0,,,0,0.0,1.0,,,0,0.0,0.0,,,0:00,0:03,0:00,,,4 of 15,13 of 23,12 of 24,,,1 of 3,4 of 4,2 of 2,,,1 of 2,3 of 3,0 of 0,,,5 of 18,18 of 26,10 of 21,,,1 of 2,0 of 0,2 of 2,,,0 of 0,2 of 4,2 of 3,,,1 of 33,17 of 56,5 of 44,,,2 of 3,1 of 1,1 of 1,,,2 of 3,2 of 3,2 of 2,,,5 of 38,13 of 52,7 of 46,,,0 of 1,6 of 7,1 of 1,,,0 of 0,1 of 1,0 of 0,,,Featherweight,W,http://ufcstats.com/fighter-details/f2688492b9a525a3,http://ufcstats.com/fighter-details/18968f97ad34f15c,68.0,71.0,-3.0,3.0,False,True,False,http://ufcstats.com/fighter-details/18968f97ad34f15c|http://ufcstats.com/fighter-details/f2688492b9a525a3
L,Danny Roberts,Mike Perry,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9,http://ufcstats.com/fighter-details/f2b6fdb20675b11c,Welterweight Bout,KO/TKO,3,4:40,3 Rnd (5-5-5),Marc Goddard,Knee to Head In Clinch,Hot Chocolate,Platinum,2016-10-08,"Manchester, England, United Kingdom",http://ufcstats.com/event-details/154a6b3ffae264cd,0,0.0,0.0,,,22 of 62,33 of 88,26 of 89,,,22 of 62,33 of 88,26 of 89,,,0 of 1,0 of 2,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,0,0.0,1.0,,,30 of 77,26 of 68,34 of 69,,,34 of 82,34 of 76,35 of 70,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,1:09,0:27,0:06,,,14 of 49,19 of 69,20 of 81,,,2 of 7,4 of 8,0 of 1,,,6 of 6,10 of 11,6 of 7,,,22 of 61,32 of 85,25 of 88,,,0 of 1,1 of 3,1 of 1,,,0 of 0,0 of 0,0 of 0,,,23 of 68,23 of 61,32 of 66,,,3 of 5,1 of 5,1 of 2,,,4 of 4,2 of 2,1 of 1,,,17 of 58,15 of 52,25 of 52,,,3 of 7,6 of 10,6 of 14,,,10 of 12,5 of 6,3 of 3,,,Welterweight,L,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9,http://ufcstats.com/fighter-details/f2b6fdb20675b11c,74.0,71.0,3.0,3.0,True,False,False,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9|http://ufcstats.com/fighter-details/f2b6fdb20675b11c
