method,n,wins,losses,win_pct,roi,units,older_n,older_win_pct,older_roi,recent_n,recent_win_pct,recent_roi,recent3_n,recent3_win_pct,recent3_roi,positive_seasons,active_seasons,positive_season_ratio
original,91,75,16,0.8241758241758241,0.15950524960911766,14.514977714429708,59,0.8305084745762712,0.16926104823783925,32,0.8125,0.1415179958874123,18,0.8333333333333334,0.16643241371521822,13,18,0.7222222222222222
stricter,64,55,9,0.859375,0.17164793281645835,10.985467700253334,41,0.8780487804878049,0.19855936752069173,23,0.8260869565217391,0.1236753753002162,15,0.8,0.06308589982526523,13,17,0.7647058823529411
