team,selection,opponent,game_id,board_week,schedule_week,week_mismatch,target_status,target_completed,target_points_for,target_points_against,moneyline,method,preseason_record,preseason_policy_pass,price_bucket_win_pct,price_bucket_roi,price_bucket_recent_roi,current_games_available,current_wins,current_losses,current_point_margin_avg,opp_current_games_available,opp_current_wins,opp_current_losses,opp_current_point_margin_avg,head_coach,offensive_coordinator,defensive_coordinator,head_coach_changed,offensive_coordinator_changed,defensive_coordinator_changed,hc_changed_season,oc_changed_season,dc_changed_season,staff_change_count,major_staff_changes,coachq_hc_prior_quality,coachq_oc_prior_quality,coachq_dc_prior_quality,coachq_hc_recent_quality,coachq_oc_recent_quality,coachq_dc_recent_quality,coachq_staff_quality_mean,coachq_staff_quality_min,coachq_staff_upgrade_count,coachq_staff_downgrade_count,returning_offense_snap_share,returning_defense_snap_share,returning_ol_snap_share,returning_skill_snap_share,current_passing_yards_avg,opp_current_passing_yards_avg,current_rushing_yards_avg,opp_current_rushing_yards_avg,current_receiving_yards_avg,opp_current_receiving_yards_avg,current_passing_epa_avg,opp_current_passing_epa_avg,current_rushing_epa_avg,opp_current_rushing_epa_avg,current_passing_cpoe_avg,opp_current_passing_cpoe_avg,current_completions_avg,opp_current_completions_avg,current_attempts_avg,opp_current_attempts_avg,current_carries_avg,opp_current_carries_avg,current_passing_tds_avg,opp_current_passing_tds_avg,current_rushing_tds_avg,opp_current_rushing_tds_avg,current_sacks_suffered_avg,opp_current_sacks_suffered_avg,current_passing_first_downs_avg,opp_current_passing_first_downs_avg,current_rushing_first_downs_avg,opp_current_rushing_first_downs_avg
NO,Saints,LV,2026_03_LV_NO,3,3,False,UPCOMING,False,,,-185.0,stricter,1-2,False,0.6,-0.0927824159967017,0.1340219800041229,1,0,1,-1.0,1,1,0,14.0,,,,0.0,,,,,,,,,,,,,,,,,,0.7565512779035911,0.7737190082644628,0.784688995215311,0.7073485967503693,410.0,160.0,91.0,130.0,410.0,160.0,-1.007320272566536,0.3931946623592959,-1.6562374110799283,-4.975033090973739,-1.2056044661081755,0.7089010600385994,35.0,21.0,56.0,30.0,25.0,37.0,3.0,3.0,1.0,0.0,5.0,0.0,19.0,10.0,7.0,9.0
TEN,Titans,NYJ,2026_01_NYJ_TEN,2,1,True,COMPLETED_STALE_BOARD,True,10.0,23.0,-375.0,stricter,2-1,True,0.8571428571428571,0.1119249785152297,0.0681047204897193,0,0,0,,0,0,0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.6288198330033572,0.4629661602209944,0.5272121436504998,0.6686057785534225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAL,Ravens,NO,2026_02_NO_BAL,2,2,False,UPCOMING,False,,,-375.0,original,3-0,True,0.8421052631578947,0.0896570438287683,0.1199279895716958,1,1,0,18.0,1,0,1,-1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.6245293168370092,0.7660701388331594,0.5698818897637795,0.6268774703557313,324.0,410.0,202.0,91.0,324.0,410.0,10.343673247451648,-1.007320272566536,6.658931777352398,-1.6562374110799283,4.801740248998006,-1.2056044661081755,17.0,35.0,25.0,56.0,37.0,25.0,1.0,3.0,4.0,1.0,2.0,5.0,11.0,19.0,12.0,7.0
