method_id,k,stack,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,retain_train,retain_validation,pre_avg_roi,robust_score
RS001,1,recent_edge_def_allowed_early_down_epa >= 0.0641829,32,0.59375,0.5046875,14,0.6428571428571429,0.612142857142857,0.8,0.6666666666666666,0.5584151785714284,0.6829017857142856
RS001,1,recent_edge_def_allowed_success_rate >= 0.04892,32,0.5625,0.41812499999999997,17,0.6470588235294118,0.6135294117647059,0.8,0.8095238095238095,0.515827205882353,0.6265955882352943
RS001,1,rank_edge_off_epa <= -3.6,32,0.59375,0.495,15,0.6,0.5066666666666667,0.8,0.7142857142857143,0.5008333333333334,0.6241681547619048
RS001,1,rank_edge_def_allowed_success_rate >= 8,31,0.5483870967741935,0.375483870967742,15,0.6666666666666666,0.6646666666666666,0.775,0.7142857142857143,0.5200752688172043,0.6198264208909371
RS001,1,recent_edge_early_down_epa >= 0.13403,32,0.59375,0.5015625,17,0.5882352941176471,0.47235294117647064,0.8,0.8095238095238095,0.48695772058823533,0.6081580882352942
RS001,1,W15-16,35,0.5142857142857142,0.3114285714285715,17,0.5882352941176471,0.48058823529411765,0.875,0.8095238095238095,0.3960084033613446,0.48411764705882354
RS001,2,recent_edge_def_allowed_success_rate >= 0.04892 | recent_edge_early_down_epa >= 0.13403,24,0.7083333333333334,0.7904166666666668,13,0.7692307692307693,0.9253846153846153,0.6,0.6190476190476191,0.857900641025641,1.0261474358974358
RS001,2,rank_edge_def_allowed_success_rate >= 8 | W15-16,26,0.5769230769230769,0.4646153846153847,12,0.75,0.8925,0.65,0.5714285714285714,0.6785576923076924,0.7785274725274725
RS001,2,rank_edge_off_epa <= -3.6 | W15-16,27,0.6296296296296297,0.602962962962963,12,0.6666666666666666,0.695,0.675,0.5714285714285714,0.6489814814814815,0.7761613756613757
RS001,2,recent_edge_def_allowed_success_rate >= 0.04892 | W15-16,27,0.5925925925925926,0.5118518518518519,14,0.7142857142857143,0.7978571428571427,0.675,0.6666666666666666,0.6548544973544973,0.7668280423280422
RS001,2,recent_edge_def_allowed_early_down_epa >= 0.0641829 | rank_edge_def_allowed_success_rate >= 8,27,0.5925925925925926,0.4937037037037037,13,0.6923076923076923,0.736153846153846,0.675,0.6190476190476191,0.6149287749287748,0.7215144485144485
RS001,2,recent_edge_early_down_epa >= 0.13403 | W15-16,28,0.6071428571428571,0.5532142857142857,14,0.6428571428571429,0.6264285714285714,0.7,0.6666666666666666,0.5898214285714285,0.7092142857142857
RS001,2,recent_edge_def_allowed_success_rate >= 0.04892 | recent_edge_def_allowed_early_down_epa >= 0.0641829,28,0.6071428571428571,0.5382142857142858,14,0.6428571428571429,0.612142857142857,0.7,0.6666666666666666,0.5751785714285713,0.6915714285714285
RS001,2,recent_edge_def_allowed_success_rate >= 0.04892 | rank_edge_def_allowed_success_rate >= 8,31,0.5483870967741935,0.375483870967742,14,0.7142857142857143,0.7835714285714285,0.775,0.6666666666666666,0.5795276497695853,0.6635645161290323
RS001,2,recent_edge_def_allowed_early_down_epa >= 0.0641829 | rank_edge_off_epa <= -3.6,28,0.6428571428571429,0.6260714285714286,12,0.5833333333333334,0.47833333333333333,0.7,0.5714285714285714,0.552202380952381,0.6534047619047618
RS001,2,recent_edge_def_allowed_success_rate >= 0.04892 | rank_edge_off_epa <= -3.6,30,0.5666666666666667,0.42533333333333345,14,0.6428571428571429,0.6142857142857141,0.75,0.6666666666666666,0.5198095238095237,0.6130190476190476
RS001,2,rank_edge_off_epa <= -3.6 | rank_edge_def_allowed_success_rate >= 8,29,0.5517241379310345,0.38000000000000006,12,0.6666666666666666,0.6783333333333332,0.725,0.5714285714285714,0.5291666666666667,0.6105853858784892
RS001,3,recent_edge_def_allowed_success_rate >= 0.04892 | recent_edge_def_allowed_early_down_epa >= 0.0641829 | rank_edge_def_allowed_success_rate >= 8,27,0.5925925925925926,0.4937037037037037,13,0.6923076923076923,0.736153846153846,0.675,0.6190476190476191,0.6149287749287748,0.7065144485144484
RS001,3,recent_edge_def_allowed_success_rate >= 0.04892 | recent_edge_def_allowed_early_down_epa >= 0.0641829 | rank_edge_off_epa <= -3.6,26,0.6153846153846154,0.5557692307692308,12,0.5833333333333334,0.47833333333333333,0.65,0.5714285714285714,0.517051282051282,0.602841575091575
RS001,3,recent_edge_def_allowed_success_rate >= 0.04892 | rank_edge_off_epa <= -3.6 | rank_edge_def_allowed_success_rate >= 8,29,0.5517241379310345,0.38000000000000006,12,0.6666666666666666,0.6783333333333332,0.725,0.5714285714285714,0.5291666666666667,0.5955853858784892
RS002,1,recent_edge_rush_epa_per_carry >= 0.131053,48,0.6875,0.6735416666666666,12,0.9166666666666666,1.1633333333333333,0.8,0.631578947368421,0.9184375,1.081155701754386
RS002,1,recent_edge_def_allowed_giveaway_rate >= 0.00726154,39,0.6666666666666666,0.6333333333333333,13,0.8461538461538461,0.9476923076923077,0.65,0.6842105263157895,0.7905128205128205,0.9443717948717948
RS002,1,recent_edge_def_allowed_pass_epa_per_dropback >= 0.154433,48,0.6666666666666666,0.639375,12,0.8333333333333334,0.9391666666666666,0.8,0.631578947368421,0.7892708333333334,0.9435932017543859
RS002,1,W4-6,45,0.6666666666666666,0.6522222222222223,14,0.7857142857142857,0.8221428571428573,0.75,0.7368421052631579,0.7371825396825398,0.8965179615705933
RS002,1,rank_edge_success_rate >= 5.4,48,0.6666666666666666,0.6431250000000001,13,0.7692307692307693,0.8292307692307693,0.8,0.6842105263157895,0.7361778846153847,0.8918676619433199
RS002,1,prior_road_miles_last2 <= 236.074,39,0.6666666666666666,0.6443589743589744,13,0.7692307692307693,0.7538461538461539,0.65,0.6842105263157895,0.6991025641025641,0.8540128205128205
RS002,1,recent_edge_success_rate >= 0.0274683,48,0.6875,0.7022916666666666,13,0.6923076923076923,0.6646153846153846,0.8,0.6842105263157895,0.6834535256410257,0.8426000337381917
RS002,1,opp_prior_road_miles_last4 <= 0,47,0.6595744680851063,0.6159574468085107,15,0.7333333333333333,0.7006666666666668,0.7833333333333333,0.7894736842105263,0.6583120567375887,0.8108971631205675
RS002,1,opp_prior_road_miles_last5 <= 0,47,0.6595744680851063,0.6159574468085107,15,0.7333333333333333,0.7006666666666668,0.7833333333333333,0.7894736842105263,0.6583120567375887,0.8108971631205675
RS002,1,opp_prior_road_miles_last3 <= 0,46,0.6521739130434783,0.5967391304347825,15,0.7333333333333333,0.7006666666666668,0.7666666666666667,0.7894736842105263,0.6487028985507246,0.7968333333333333
RS002,2,recent_edge_def_allowed_giveaway_rate >= 0.00726154 | recent_edge_def_allowed_pass_epa_per_dropback >= 0.154433,34,0.7058823529411765,0.7282352941176472,12,0.8333333333333334,0.9391666666666666,0.5666666666666667,0.631578947368421,0.8337009803921569,0.989436274509804
RS002,2,prior_road_miles_last2 <= 236.074 | W4-6,35,0.6857142857142857,0.7137142857142857,12,0.8333333333333334,0.9,0.5833333333333334,0.631578947368421,0.8068571428571429,0.9598857142857143
RS002,2,opp_prior_road_miles_last4 <= 0 | prior_road_miles_last2 <= 236.074,36,0.6944444444444444,0.7105555555555555,12,0.8333333333333334,0.9,0.6,0.631578947368421,0.8052777777777778,0.9583055555555555
RS002,2,opp_prior_road_miles_last5 <= 0 | prior_road_miles_last2 <= 236.074,36,0.6944444444444444,0.7105555555555555,12,0.8333333333333334,0.9,0.6,0.631578947368421,0.8052777777777778,0.9583055555555555
RS002,2,rank_edge_success_rate >= 5.4 | recent_edge_success_rate >= 0.0274683,42,0.7142857142857143,0.774047619047619,12,0.75,0.8033333333333333,0.7,0.631578947368421,0.7886904761904762,0.9544116541353382
RS002,2,opp_prior_road_miles_last3 <= 0 | prior_road_miles_last2 <= 236.074,35,0.6857142857142857,0.688,12,0.8333333333333334,0.9,0.5833333333333334,0.631578947368421,0.794,0.9418857142857142
RS002,2,opp_prior_road_miles_last4 <= 0 | W4-6,43,0.6744186046511628,0.6697674418604652,14,0.7857142857142857,0.8221428571428573,0.7166666666666667,0.7368421052631579,0.7459551495016612,0.8933106312292359
RS002,2,opp_prior_road_miles_last5 <= 0 | W4-6,43,0.6744186046511628,0.6697674418604652,14,0.7857142857142857,0.8221428571428573,0.7166666666666667,0.7368421052631579,0.7459551495016612,0.8933106312292359
RS002,2,opp_prior_road_miles_last3 <= 0 | W4-6,42,0.6666666666666666,0.6500000000000001,14,0.7857142857142857,0.8221428571428573,0.7,0.7368421052631579,0.7360714285714287,0.878857142857143
RS002,2,opp_prior_road_miles_last4 <= 0 | opp_prior_road_miles_last5 <= 0,47,0.6595744680851063,0.6159574468085107,15,0.7333333333333333,0.7006666666666668,0.7833333333333333,0.7894736842105263,0.6583120567375887,0.7958971631205675
RS002,2,opp_prior_road_miles_last4 <= 0 | opp_prior_road_miles_last3 <= 0,46,0.6521739130434783,0.5967391304347825,15,0.7333333333333333,0.7006666666666668,0.7666666666666667,0.7894736842105263,0.6487028985507246,0.7818333333333333
RS002,2,opp_prior_road_miles_last5 <= 0 | opp_prior_road_miles_last3 <= 0,46,0.6521739130434783,0.5967391304347825,15,0.7333333333333333,0.7006666666666668,0.7666666666666667,0.7894736842105263,0.6487028985507246,0.7818333333333333
RS002,3,opp_prior_road_miles_last4 <= 0 | prior_road_miles_last2 <= 236.074 | W4-6,33,0.696969696969697,0.7403030303030302,12,0.8333333333333334,0.9,0.55,0.631578947368421,0.8201515151515151,0.9626666666666664
RS002,3,opp_prior_road_miles_last5 <= 0 | prior_road_miles_last2 <= 236.074 | W4-6,33,0.696969696969697,0.7403030303030302,12,0.8333333333333334,0.9,0.55,0.631578947368421,0.8201515151515151,0.9626666666666664
RS002,3,opp_prior_road_miles_last4 <= 0 | opp_prior_road_miles_last5 <= 0 | prior_road_miles_last2 <= 236.074,36,0.6944444444444444,0.7105555555555555,12,0.8333333333333334,0.9,0.6,0.631578947368421,0.8052777777777778,0.9433055555555555
RS002,3,opp_prior_road_miles_last4 <= 0 | opp_prior_road_miles_last3 <= 0 | prior_road_miles_last2 <= 236.074,35,0.6857142857142857,0.688,12,0.8333333333333334,0.9,0.5833333333333334,0.631578947368421,0.794,0.9268857142857142
RS002,3,opp_prior_road_miles_last5 <= 0 | opp_prior_road_miles_last3 <= 0 | prior_road_miles_last2 <= 236.074,35,0.6857142857142857,0.688,12,0.8333333333333334,0.9,0.5833333333333334,0.631578947368421,0.794,0.9268857142857142
RS002,3,opp_prior_road_miles_last4 <= 0 | opp_prior_road_miles_last5 <= 0 | W4-6,43,0.6744186046511628,0.6697674418604652,14,0.7857142857142857,0.8221428571428573,0.7166666666666667,0.7368421052631579,0.7459551495016612,0.8783106312292359
RS002,3,opp_prior_road_miles_last4 <= 0 | opp_prior_road_miles_last3 <= 0 | W4-6,42,0.6666666666666666,0.6500000000000001,14,0.7857142857142857,0.8221428571428573,0.7,0.7368421052631579,0.7360714285714287,0.863857142857143
RS002,3,opp_prior_road_miles_last5 <= 0 | opp_prior_road_miles_last3 <= 0 | W4-6,42,0.6666666666666666,0.6500000000000001,14,0.7857142857142857,0.8221428571428573,0.7,0.7368421052631579,0.7360714285714287,0.863857142857143
RS002,3,opp_prior_road_miles_last4 <= 0 | opp_prior_road_miles_last5 <= 0 | opp_prior_road_miles_last3 <= 0,46,0.6521739130434783,0.5967391304347825,15,0.7333333333333333,0.7006666666666668,0.7666666666666667,0.7894736842105263,0.6487028985507246,0.7668333333333333
RS003,1,recent_edge_def_allowed_explosive_rate >= -0.00785345,51,0.6078431372549019,0.5135294117647059,22,0.7272727272727273,0.6263636363636363,0.6455696202531646,0.5641025641025641,0.5699465240641711,0.6946022213081037
RS003,1,recent_edge_def_allowed_giveaway_rate >= 0.00871904,51,0.6078431372549019,0.5013725490196078,31,0.7096774193548387,0.6087096774193549,0.6455696202531646,0.7948717948717948,0.5550411132194814,0.679445519980144
RS003,1,opp_prior_road_miles_last3 <= 598.236,51,0.6274509803921569,0.5690196078431373,24,0.6666666666666666,0.5025,0.6455696202531646,0.6153846153846154,0.5357598039215686,0.6591331070889894
RS003,1,adv_road_miles_last5_including_current <= -908.14,63,0.6031746031746031,0.49492063492063487,27,0.6666666666666666,0.5055555555555555,0.7974683544303798,0.6923076923076923,0.5002380952380951,0.6240390720390719
