method,flag,base_n,base_win_pct,base_roi,risk_n,risk_win_pct,risk_roi,safe_n,safe_win_pct,safe_roi,old_risk_n,old_risk_win_pct,old_safe_roi,old_loss_lift,recent_risk_n,recent_risk_win_pct,recent_safe_roi,recent_loss_lift,confirmed,score
late_road_protection_rest_v1,opp_new_oc_low_off_continuity,105,0.8,0.0775767372268913,13,0.6153846153846154,-0.18307458061538168,92,0.8260869565217391,0.11440790170460378,8,0.625,0.060715838383130404,0.13257575757575757,5,0.6,0.20600024501770545,0.27179487179487183,True,10.441201793848343
late_road_protection_rest_v1,opp_new_dc_low_def_continuity,105,0.8,0.0775767372268913,12,0.75,0.017731341244686966,93,0.8064516129032258,0.08529872380524027,8,0.875,0.009627631257154963,-0.11742424242424243,4,0.5,0.2106965343134959,0.3717948717948718,False,0.26209261594897837
late_road_protection_rest_v1,team_full_staff_overhaul,105,0.8,0.0775767372268913,22,0.6818181818181818,-0.0848360663264586,83,0.8313253012048193,0.12062591407235752,16,0.625,0.09186642375634665,0.13257575757575757,6,0.8333333333333334,0.1642008993996468,0.038461538461538436,False,0.21408647288276222
late_road_protection_rest_v1,team_staff_changes_ge2,105,0.8,0.0775767372268913,22,0.6818181818181818,-0.0848360663264586,83,0.8313253012048193,0.12062591407235752,16,0.625,0.09186642375634665,0.13257575757575757,6,0.8333333333333334,0.1642008993996468,0.038461538461538436,False,0.21408647288276222
late_road_protection_rest_v1,team_oc_changed_season,105,0.8,0.0775767372268913,37,0.7297297297297297,-0.01978987099387298,68,0.8382352941176471,0.13055562699407186,23,0.6956521739130435,0.08123407418913364,0.06192358366271411,14,0.7857142857142857,0.21538869781856562,0.08608058608058611,False,0.2009830595104808
late_road_protection_rest_v1,team_both_coords_changed,105,0.8,0.0775767372268913,17,0.7058823529411765,-0.05275525134604146,88,0.8181818181818182,0.10275450774666241,11,0.6363636363636364,0.06588667275487178,0.12121212121212122,6,0.8333333333333334,0.1642008993996468,0.038461538461538436,False,0.18485143019343075
late_road_protection_rest_v1,scheme_reset_both_sides,105,0.8,0.0775767372268913,28,0.75,0.016675100234814076,77,0.8181818181818182,0.09972278704219212,19,0.7368421052631579,0.042531165169080815,0.020733652312599715,9,0.7777777777777778,0.18932299464339983,0.09401709401709402,False,0.13689679614499456
late_road_protection_rest_v1,opp_staff_changes_ge3,105,0.8,0.0775767372268913,18,0.7777777777777778,0.04991469242982453,87,0.8045977011494253,0.08329991890904305,12,0.8333333333333334,0.01196572555501227,-0.0757575757575758,6,0.6666666666666666,0.2000285989429116,0.20512820512820518,False,0.13509381105278112
late_road_protection_rest_v1,opp_full_staff_overhaul,105,0.8,0.0775767372268913,22,0.7727272727272727,0.04629478107988913,83,0.8072289156626506,0.08586834006103644,15,0.8,0.017578408437653188,-0.042424242424242475,7,0.7142857142857143,0.1947054185858035,0.1575091575091575,False,0.12337651791906017
late_road_protection_rest_v1,opp_staff_changes_ge2,105,0.8,0.0775767372268913,22,0.7727272727272727,0.04629478107988913,83,0.8072289156626506,0.08586834006103644,15,0.8,0.017578408437653188,-0.042424242424242475,7,0.7142857142857143,0.1947054185858035,0.1575091575091575,False,0.12337651791906017
