track,band,venue,concept,conditions,n,wins,win_pct,roi,train_n,train_roi,val_n,val_roi,hold_n,hold_roi,positive_season_ratio,recent_delta,preferred,score
LONG,DOG20_34,HOME,STREAK,"[[""seq_last3_margin"", ""<="", -6.666666666666667], [""rank_edge_points_for"", ""<="", -20.0]]",88,34,0.38636363636363635,0.4782954545454545,30,0.4643333333333333,34,0.2858823529411764,24,0.7683333333333334,0.75,0.39322549019607855,True,0.6210447074372324
LONG,DOG35_44,ANY,STREAK,"[[""opp_seq_last3_wins"", ""<="", 1.0], [""coachq_prev_hc_prior_role_seasons"", ""<="", 0.0]]",137,74,0.5401459854014599,0.35525547445255473,63,0.2863492063492064,32,0.3128125,42,0.490952380952381,0.8421052631578947,0.19137152777777777,True,0.5456014344186035
MODERN,DOG35_49,ANY,STREAK,"[[""seq_loss_streak"", "">="", 3.0], [""rank_edge_def_allowed_giveaway_rate"", ""<="", -12.0]]",97,55,0.5670103092783505,0.38680412371134026,39,0.16743589743589746,12,0.6325,25,0.5127999999999999,0.7,0.1128320512820512,True,0.5203850600375035
MODERN,DOG35_44,HOME,STREAK,"[[""opp_seq_win_streak"", "">="", 1.0], [""recent_edge_def_allowed_explosive_rate"", "">="", 0.00797034393553275]]",94,51,0.5425531914893617,0.3637234042553191,21,0.1061904761904762,13,0.5184615384615385,37,0.43648648648648647,0.7,0.12416047916047912,True,0.4902252092659603
LONG,DOG35_44,AWAY,STREAK,"[[""opp_seq_loss_streak"", "">="", 1.0], [""recent_edge_def_allowed_yards_per_play"", ""<="", -0.4763034867774787]]",126,69,0.5476190476190477,0.3653968253968254,43,0.49953488372093025,37,0.18675675675675676,46,0.383695652173913,0.8,0.0405498319350695,True,0.4890969029490203
LONG,DOG35_49,ANY,STREAK,"[[""seq_loss_streak"", "">="", 3.0], [""rank_edge_def_allowed_giveaway_rate"", ""<="", -10.0]]",114,63,0.5526315789473685,0.34736842105263155,37,0.2702702702702703,48,0.38604166666666667,29,0.3817241379310345,0.75,0.053568169462565984,True,0.47475783041280717
LONG,DOG35_44,AWAY,STREAK,"[[""opp_seq_loss_streak"", "">="", 1.0], [""coachq_prev_hc_prior_role_seasons"", ""<="", 0.0]]",96,51,0.53125,0.34218750000000003,41,0.36073170731707316,24,0.2525,31,0.3870967741935484,0.7222222222222222,0.08048092053501177,True,0.4683711991578974
LONG,FAV55_65,AWAY,STREAK,"[[""opp_seq_last5_margin"", ""<="", 1.6], [""recent_edge_kick_return_average"", "">="", 4.361805555555557]]",93,72,0.7741935483870968,0.28312726748326644,42,0.3023821030285748,21,0.1811264770669621,30,0.32757105101124767,0.75,0.0858167609634792,True,0.46582498678513623
LONG,DOG35_49,HOME,STREAK,"[[""opp_seq_last5_margin"", "">="", 3.2], [""rank_edge_punt_return_average"", "">="", 8.0]]",111,58,0.5225225225225225,0.24936936936936938,38,0.19263157894736843,37,0.16378378378378378,36,0.39722222222222225,0.7,0.21901454085664615,True,0.459120950624861
LONG,DOG35_44,AWAY,STREAK,"[[""opp_seq_loss_streak"", "">="", 1.0], [""rank_edge_def_allowed_pass_epa_per_dropback"", ""<="", -8.0]]",127,65,0.5118110236220472,0.2832283464566929,36,0.44972222222222225,40,0.1,51,0.30941176470588233,0.8,0.03455065359477122,True,0.44207190844819394
