game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,week_num
2026_02_DET_BUF,2026,REG,2,2026-09-17,Thursday,20:15,DET,31.0,BUF,41.0,Home,10.0,72.0,0.0,2026091700,60194.0,,202609170buf,30635.0,401872932,7035,4,4,195.0,-238.0,5.5,-115.0,-105.0,54.5,-102.0,-118.0,0,outdoors,grass,67.0,4.0,00-0033106,00-0034857,Jared Goff,Josh Allen,Dan Campbell,Sean McDermott,Ron Torbert,BUF00,Highmark Stadium,2
2026_02_CAR_ATL,2026,REG,2,2026-09-20,Sunday,13:00,CAR,34.0,ATL,3.0,Home,-31.0,37.0,0.0,2026092000,60195.0,,202609200atl,30622.0,401872933,7036,7,7,-155.0,130.0,-2.5,-120.0,100.0,43.5,-110.0,-110.0,1,closed,fieldturf,,,00-0039150,00-0036212,Bryce Young,Tua Tagovailoa,Dave Canales,Raheem Morris,Alex Moore,ATL97,Mercedes-Benz Stadium,2
2026_02_NO_BAL,2026,REG,2,2026-09-20,Sunday,13:00,NO,24.0,BAL,17.0,Home,-7.0,41.0,0.0,2026092001,60196.0,,202609200rav,30623.0,401872938,7037,7,7,295.0,-375.0,8.5,-115.0,-105.0,45.5,-115.0,-105.0,0,outdoors,grass,79.0,10.0,00-0040743,00-0034796,Tyler Shough,Lamar Jackson,Kellen Moore,Jesse Minter,Clete Blakeman,BAL00,M&T Bank Stadium,2
2026_02_MIN_CHI,2026,REG,2,2026-09-20,Sunday,13:00,MIN,9.0,CHI,3.0,Home,-6.0,12.0,0.0,2026092002,60197.0,,202609200chi,30624.0,401872937,7038,7,7,180.0,-218.0,4.5,-108.0,-112.0,46.5,-105.0,-115.0,1,outdoors,grass,68.0,8.0,00-0032950,00-0039918,Carson Wentz,Caleb Williams,Kevin O'Connell,Ben Johnson,Land Clark,CHI98,Soldier Field,2
2026_02_CIN_HOU,2026,REG,2,2026-09-20,Sunday,13:00,CIN,20.0,HOU,6.0,Home,-14.0,26.0,0.0,2026092003,60198.0,,202609200htx,30625.0,401872934,7039,7,7,124.0,-148.0,3.0,-118.0,-102.0,45.5,-110.0,-110.0,0,closed,astroturf,,,00-0036442,00-0039163,Joe Burrow,C.J. Stroud,Zac Taylor,DeMeco Ryans,Adrian Hill,HOU00,Reliant Stadium,2
2026_02_PIT_NE,2026,REG,2,2026-09-20,Sunday,13:00,PIT,3.0,NE,20.0,Home,17.0,23.0,0.0,2026092004,60199.0,,202609200nwe,30626.0,401872946,7040,7,11,185.0,-225.0,4.5,-102.0,-118.0,41.5,-115.0,-105.0,0,outdoors,fieldturf,63.0,7.0,00-0023459,00-0039851,Aaron Rodgers,Drake Maye,Mike McCarthy,Mike Vrabel,Carl Cheffers,BOS00,Gillette Stadium,2
2026_02_GB_NYJ,2026,REG,2,2026-09-20,Sunday,13:00,GB,20.0,NYJ,17.0,Home,-3.0,37.0,1.0,2026092005,60200.0,,202609200nyj,30627.0,401872936,7041,7,7,-185.0,154.0,-3.5,-108.0,-112.0,44.5,-110.0,-110.0,0,outdoors,fieldturf,69.0,7.0,00-0036264,00-0030565,Jordan Love,Geno Smith,Matt LaFleur,Aaron Glenn,Scott Novak,NYC01,MetLife Stadium,2
2026_02_CLE_TB,2026,REG,2,2026-09-20,Sunday,13:00,CLE,23.0,TB,19.0,Home,-4.0,42.0,0.0,2026092006,60201.0,,202609200tam,30628.0,401872935,7042,7,7,330.0,-425.0,8.5,-115.0,-105.0,41.5,-112.0,-108.0,0,outdoors,grass,86.0,4.0,00-0033537,00-0034855,Deshaun Watson,Baker Mayfield,Todd Monken,Todd Bowles,Brad Rogers,TAM00,Raymond James Stadium,2
2026_02_PHI_TEN,2026,REG,2,2026-09-20,Sunday,13:00,PHI,24.0,TEN,20.0,Home,-4.0,44.0,0.0,2026092007,60202.0,,202609200oti,30629.0,401872939,7043,7,7,-325.0,260.0,-7.0,-115.0,-105.0,39.5,-108.0,-112.0,0,outdoors,grass,92.0,5.0,00-0036389,00-0040676,Jalen Hurts,Cam Ward,Nick Sirianni,Robert Saleh,Clay Martin,NAS00,Nissan Stadium,2
2026_02_JAX_DEN,2026,REG,2,2026-09-20,Sunday,16:05,JAX,13.0,DEN,20.0,Home,7.0,33.0,0.0,2026092008,60203.0,,202609200den,30630.0,401872940,7044,7,6,124.0,-148.0,2.5,-105.0,-115.0,45.5,-110.0,-110.0,0,outdoors,grass,73.0,12.0,00-0036971,00-0039732,Trevor Lawrence,Bo Nix,Liam Coen,Sean Payton,John Hussey,DEN00,Empower Field at Mile High,2
