method_id,split,week,n,wins,losses,win_pct,roi,units
CO048,HOLDOUT,16,5,2,3,0.4,0.61,3.05
CO048,HOLDOUT,17,1,0,1,0.0,-1.0,-1.0
CO048,HOLDOUT,18,2,0,2,0.0,-1.0,-2.0
CO043,ALL,4,7,3,4,0.42857142857142855,0.6771428571428572,4.74
CO043,ALL,5,9,2,7,0.2222222222222222,-0.1077777777777778,-0.9700000000000002
CO043,ALL,6,8,4,4,0.5,0.8575,6.86
CO043,ALL,7,10,4,6,0.4,0.267,2.67
CO043,ALL,8,2,0,2,0.0,-1.0,-2.0
CO043,ALL,9,7,3,4,0.42857142857142855,0.30571428571428566,2.1399999999999997
CO043,ALL,10,5,2,3,0.4,0.44000000000000006,2.2
CO043,ALL,11,2,0,2,0.0,-1.0,-2.0
CO043,ALL,12,5,1,4,0.2,-0.14000000000000004,-0.7000000000000002
CO043,ALL,13,5,2,3,0.4,0.634,3.17
CO043,ALL,14,5,2,3,0.4,0.48,2.4
CO043,ALL,15,11,4,7,0.36363636363636365,0.3227272727272727,3.55
CO043,ALL,16,7,5,2,0.7142857142857143,1.5314285714285714,10.719999999999999
CO043,ALL,17,8,1,7,0.125,-0.46875,-3.75
CO043,ALL,18,3,2,1,0.6666666666666666,1.5,4.5
CO043,TRAIN,4,1,0,1,0.0,-1.0,-1.0
CO043,TRAIN,5,2,1,1,0.5,1.49,2.98
CO043,TRAIN,6,2,0,2,0.0,-1.0,-2.0
CO043,TRAIN,7,4,2,2,0.5,0.6924999999999999,2.7699999999999996
CO043,TRAIN,8,1,0,1,0.0,-1.0,-1.0
CO043,TRAIN,9,4,3,1,0.75,1.285,5.14
CO043,TRAIN,10,1,0,1,0.0,-1.0,-1.0
CO043,TRAIN,11,1,0,1,0.0,-1.0,-1.0
CO043,TRAIN,12,1,0,1,0.0,-1.0,-1.0
CO043,TRAIN,13,1,0,1,0.0,-1.0,-1.0
CO043,TRAIN,14,3,2,1,0.6666666666666666,1.4666666666666668,4.4
CO043,TRAIN,15,2,1,1,0.5,0.925,1.85
CO043,TRAIN,16,0,0,0,,,0.0
CO043,TRAIN,17,4,0,4,0.0,-1.0,-4.0
CO043,TRAIN,18,0,0,0,,,0.0
CO043,VALIDATION,4,3,2,1,0.6666666666666666,1.67,5.01
CO043,VALIDATION,5,4,0,4,0.0,-1.0,-4.0
CO043,VALIDATION,6,5,4,1,0.8,1.972,9.86
CO043,VALIDATION,7,4,2,2,0.5,0.475,1.9
CO043,VALIDATION,8,1,0,1,0.0,-1.0,-1.0
CO043,VALIDATION,9,1,0,1,0.0,-1.0,-1.0
CO043,VALIDATION,10,3,1,2,0.3333333333333333,0.3666666666666667,1.1
CO043,VALIDATION,11,0,0,0,,,0.0
CO043,VALIDATION,12,1,0,1,0.0,-1.0,-1.0
CO043,VALIDATION,13,4,2,2,0.5,1.0425,4.17
CO043,VALIDATION,14,0,0,0,,,0.0
CO043,VALIDATION,15,8,3,5,0.375,0.33749999999999997,2.6999999999999997
CO043,VALIDATION,16,3,2,1,0.6666666666666666,0.9966666666666667,2.99
CO043,VALIDATION,17,4,1,3,0.25,0.0625,0.25
CO043,VALIDATION,18,0,0,0,,,0.0
CO043,HOLDOUT,4,3,1,2,0.3333333333333333,0.24333333333333332,0.73
CO043,HOLDOUT,5,3,1,2,0.3333333333333333,0.016666666666666607,0.04999999999999982
CO043,HOLDOUT,6,1,0,1,0.0,-1.0,-1.0
CO043,HOLDOUT,7,2,0,2,0.0,-1.0,-2.0
CO043,HOLDOUT,8,0,0,0,,,0.0
CO043,HOLDOUT,9,2,0,2,0.0,-1.0,-2.0
CO043,HOLDOUT,10,1,1,0,1.0,2.1,2.1
CO043,HOLDOUT,11,1,0,1,0.0,-1.0,-1.0
CO043,HOLDOUT,12,3,1,2,0.3333333333333333,0.4333333333333333,1.2999999999999998
CO043,HOLDOUT,13,0,0,0,,,0.0
CO043,HOLDOUT,14,2,0,2,0.0,-1.0,-2.0
CO043,HOLDOUT,15,1,0,1,0.0,-1.0,-1.0
CO043,HOLDOUT,16,4,3,1,0.75,1.9324999999999999,7.7299999999999995
CO043,HOLDOUT,17,0,0,0,,,0.0
CO043,HOLDOUT,18,3,2,1,0.6666666666666666,1.5,4.5
CO061,ALL,4,7,2,5,0.2857142857142857,0.23428571428571437,1.6400000000000006
