method_id,split,segment,n,wins,losses,win_pct,roi,units
CO001,ALL,W4_6,16,8,8,0.5,0.7593749999999999,12.149999999999999
CO001,ALL,W7_10,27,7,20,0.25925925925925924,-0.15481481481481488,-4.1800000000000015
CO001,ALL,W11_14,28,11,17,0.39285714285714285,0.6075,17.01
CO001,ALL,W15_18,22,8,14,0.36363636363636365,0.425,9.35
CO001,TRAIN,W4_6,6,1,5,0.16666666666666666,-0.4366666666666667,-2.62
CO001,TRAIN,W7_10,6,1,5,0.16666666666666666,-0.455,-2.73
CO001,TRAIN,W11_14,10,4,6,0.4,0.5469999999999999,5.469999999999999
CO001,TRAIN,W15_18,6,3,3,0.5,1.1666666666666667,7.0
CO001,VALIDATION,W4_6,6,5,1,0.8333333333333334,1.8933333333333333,11.36
CO001,VALIDATION,W7_10,13,2,11,0.15384615384615385,-0.5192307692307693,-6.75
CO001,VALIDATION,W11_14,9,4,5,0.4444444444444444,0.8633333333333333,7.77
CO001,VALIDATION,W15_18,9,3,6,0.3333333333333333,0.23444444444444443,2.11
CO001,HOLDOUT,W4_6,4,2,2,0.5,0.8525,3.41
CO001,HOLDOUT,W7_10,8,4,4,0.5,0.6624999999999999,5.299999999999999
CO001,HOLDOUT,W11_14,9,3,6,0.3333333333333333,0.4188888888888889,3.7700000000000005
CO001,HOLDOUT,W15_18,7,2,5,0.2857142857142857,0.034285714285714315,0.2400000000000002
CO005,ALL,W4_6,36,24,12,0.6666666666666666,0.6566666666666667,23.64
CO005,ALL,W7_10,47,23,24,0.48936170212765956,0.2238297872340426,10.520000000000001
CO005,ALL,W11_14,45,21,24,0.4666666666666667,0.17355555555555557,7.8100000000000005
CO005,ALL,W15_18,30,12,18,0.4,0.017666666666666674,0.5300000000000002
CO005,TRAIN,W4_6,14,10,4,0.7142857142857143,0.7707142857142858,10.790000000000001
CO005,TRAIN,W7_10,24,11,13,0.4583333333333333,0.14125000000000001,3.39
CO005,TRAIN,W11_14,19,9,10,0.47368421052631576,0.1931578947368421,3.67
CO005,TRAIN,W15_18,14,4,10,0.2857142857142857,-0.24285714285714283,-3.3999999999999995
