method_id,segment,selected_preholdout,confirmed_holdout,base_train_roi,segment_train_n,segment_train_win_pct,segment_train_roi,safe_train_roi,base_validation_roi,segment_validation_n,segment_validation_win_pct,segment_validation_roi,safe_validation_roi,base_holdout_roi,segment_holdout_n,segment_holdout_win_pct,segment_holdout_roi,safe_holdout_roi
CO001,W4_6,False,False,0.2542857142857143,6,0.16666666666666666,-0.4366666666666667,0.4427272727272728,0.39162162162162156,6,0.8333333333333334,1.8933333333333333,0.10096774193548388,0.4542857142857143,4,0.5,0.8525,0.38791666666666663
CO001,W7_10,True,False,0.2542857142857143,6,0.16666666666666666,-0.455,0.4477272727272727,0.39162162162162156,13,0.15384615384615385,-0.5192307692307693,0.8850000000000001,0.4542857142857143,8,0.5,0.6624999999999999,0.371
CO001,W11_14,False,False,0.2542857142857143,10,0.4,0.5469999999999999,0.09166666666666666,0.39162162162162156,9,0.4444444444444444,0.8633333333333333,0.23999999999999996,0.4542857142857143,9,0.3333333333333333,0.4188888888888889,0.47105263157894744
CO001,W15_18,False,False,0.2542857142857143,6,0.5,1.1666666666666667,0.0054545454545455,0.39162162162162156,9,0.3333333333333333,0.23444444444444443,0.4421428571428571,0.4542857142857143,7,0.2857142857142857,0.034285714285714315,0.5942857142857143
CO005,W4_6,False,False,0.20352112676056336,14,0.7142857142857143,0.7707142857142858,0.06421052631578948,0.21313725490196084,15,0.7333333333333333,0.8053333333333333,-0.03361111111111111,0.4772222222222222,7,0.42857142857142855,0.11000000000000007,0.5658620689655173
CO005,W7_10,False,False,0.20352112676056336,24,0.4583333333333333,0.14125000000000001,0.23531914893617026,0.21313725490196084,13,0.5384615384615384,0.3438461538461539,0.16842105263157894,0.4772222222222222,10,0.5,0.26600000000000007,0.5584615384615385
CO005,W11_14,False,False,0.20352112676056336,19,0.47368421052631576,0.1931578947368421,0.20730769230769233,0.21313725490196084,14,0.21428571428571427,-0.46642857142857136,0.47027027027027024,0.4772222222222222,12,0.75,0.8891666666666665,0.27125
CO005,W15_18,True,False,0.20352112676056336,14,0.2857142857142857,-0.24285714285714283,0.31315789473684214,0.21313725490196084,9,0.4444444444444444,0.0944444444444445,0.23857142857142857,0.4772222222222222,7,0.5714285714285714,0.44,0.48620689655172405
CO026,W4_6,False,False,0.35333333333333333,5,1.0,1.498,0.14892857142857147,0.5111904761904762,11,0.7272727272727273,0.7481818181818182,0.4270967741935484,0.3241176470588236,5,0.2,-0.45999999999999996,0.4593103448275862
CO026,W7_10,False,False,0.35333333333333333,12,0.6666666666666666,0.6308333333333335,0.19476190476190475,0.5111904761904762,9,0.5555555555555556,0.42000000000000004,0.5360606060606061,0.3241176470588236,10,0.3,-0.257,0.56625
