model,oos_bets,oos_wins,oos_win_rate,oos_profit100,oos_roi,profitable_seasons,seasons_with_bets
logit,748,516,0.6898395721925134,356.78938587205243,0.004769911575829578,5,10
hgb,605,407,0.6727272727272727,-2502.2031152452278,-0.04135872917760707,3,10
