track,band,venue,concept,conditions,n,wins,win_pct,roi,train_n,train_roi,val_n,val_roi,hold_n,hold_roi,positive_season_ratio,recent_delta,preferred,score
MODERN,DOG35_49,ANY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -18.0], [""rank_edge_def_allowed_pass_epa_per_dropback"", ""<="", -8.0]]",125,67,0.536,0.27584,48,0.24583333333333332,27,0.3874074074074074,26,0.42500000000000004,0.8,0.10837962962962966,True,0.5182434636133658
MODERN,DOG35_44,AWAY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -7.033333333333337], [""recent_edge_def_allowed_yards_per_play"", ""<="", -0.0092730253210842]]",143,76,0.5314685314685315,0.3408391608391608,43,0.12488372093023258,21,0.07857142857142858,33,0.39242424242424245,0.7,0.29069666767341185,True,0.5176992028056541
LONG,DOG35_44,AWAY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -2.0], [""recent_edge_def_allowed_yards_per_play"", ""<="", -0.2631401021408536]]",142,76,0.5352112676056338,0.3437323943661972,55,0.4254545454545455,41,0.2248780487804878,46,0.35195652173913045,0.85,0.02679022462161379,True,0.5153737519899486
LONG,DOG35_44,AWAY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -10.666666666666664], [""recent_edge_def_allowed_yards_per_play"", ""<="", 0.01487176497627855]]",121,62,0.512396694214876,0.299504132231405,45,0.4128888888888889,40,0.07025,36,0.4125,0.75,0.17093055555555553,True,0.514348026550717
LONG,DOG35_44,AWAY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -10.666666666666664], [""recent_edge_def_allowed_yards_per_play"", ""<="", -0.2631401021408536]]",94,50,0.5319148936170213,0.35085106382978726,33,0.4081818181818182,31,0.21580645161290316,30,0.42733333333333334,0.7,0.11533919843597268,True,0.5138412345093979
LONG,DOG35_44,AWAY,BUY_LOW,"[[""rank_edge_giveaway_rate"", ""<="", -1.0], [""recent_edge_third_down_success"", "">="", 0.08407356532356525]]",93,48,0.5161290322580645,0.30602150537634404,37,0.27567567567567564,27,0.20222222222222225,29,0.44137931034482747,0.7,0.20243036139587853,True,0.5137838063079341
LONG,DOG35_49,AWAY,BUY_LOW,"[[""rank_edge_point_margin"", ""<="", -5.0], [""rank_edge_success_rate"", "">="", 1.0]]",142,77,0.5422535211267606,0.33042253521126763,46,0.36195652173913045,47,0.21765957446808507,49,0.40897959183673466,0.7,0.11917154373312688,True,0.5132360268957136
LONG,DOG35_44,AWAY,BUY_LOW,"[[""rank_edge_point_margin"", ""<="", -2.6750000000000043], [""recent_edge_sack_or_hit_rate"", "">="", 0.00288736374754465]]",159,78,0.49056603773584906,0.259748427672956,50,0.161,53,0.19132075471698115,56,0.4126785714285714,0.75,0.23651819407008082,True,0.5111207097649894
MODERN,DOG35_44,AWAY,BUY_LOW_DEF,"[[""rank_edge_point_margin"", ""<="", -4.0], [""recent_edge_def_allowed_yards_per_play"", ""<="", -0.3428760283941793]]",104,55,0.5288461538461539,0.3545192307692308,32,0.3034375,11,0.17272727272727276,36,0.3938888888888889,0.7,0.15580650252525252,True,0.5099911847388319
LONG,DOG35_49,AWAY,BUY_LOW_DEF,"[[""rank_edge_point_margin"", ""<="", 2.0], [""rank_edge_def_allowed_explosive_rate"", ""<="", -9.0]]",201,105,0.5223880597014925,0.2676119402985075,70,0.2775714285714286,61,0.14606557377049184,70,0.3635714285714285,0.8,0.15175292740046828,True,0.5098197437987044
