track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,full_n,full_wins,full_roi,positive_seasons,active_seasons,score
LONG,STAFF+FOOTBALL,hc_prior_games,<=,16.0,rank_edge_punt_return_average,>=,9.0,DOG35_44,ANY,43,0.7344186046511629,22,0.5659090909090909,35,0.11799999999999997,100,59,0.48160000000000003,11,15,1.6271195359253268
MODERN,STAFF+FOOTBALL,hc_prior_win_pct,<=,0.5454545454545454,recent_edge_sack_or_hit_rate,<=,4.528103757894808e-05,DOG35_44,HOME,60,0.2905,39,0.2753846153846154,67,0.12328358208955226,166,80,0.21945783132530125,12,14,1.611041340536404
LONG,STAFF+FOOTBALL,oc_prior_win_pct,>=,0.6086956521739131,adv_prior_road_miles_last4,>=,0.0,DOG35_44,ANY,85,0.2977647058823529,60,0.2703333333333333,56,0.10999999999999999,201,100,0.23726368159203987,14,20,1.5560621736375837
LONG,STAFF+FOOTBALL,adv_staff_change_count,<=,0.0,rank_edge_def_allowed_early_down_epa,<=,-10.0,DOG35_49,AWAY,27,0.37481481481481477,35,0.3911428571428572,29,0.12862068965517243,91,49,0.3026373626373627,12,15,1.502554933706741
MODERN,STAFF+FOOTBALL,oc_prior_games,<=,32.0,recent_edge_sack_or_hit_rate,<=,4.528103757894808e-05,DOG35_44,HOME,49,0.41551020408163264,30,0.199,61,0.14065573770491804,140,70,0.2493571428571429,11,13,1.4800451911265955
LONG,STAFF+FOOTBALL,adv_both_coords_changed,>=,0.0,rank_edge_yards_per_play,<=,-10.0,DOG35_44,AWAY,30,0.38133333333333325,27,0.4918518518518519,25,0.10600000000000004,82,43,0.3337804878048781,11,16,1.4245080170644604
MODERN,STAFF+FOOTBALL,adv_dc_tenure_seasons,<=,-1.0,adv_altitude_change_ft,>=,410.0,DOG20_34,AWAY,22,0.6286363636363635,24,0.39000000000000007,25,0.14159999999999998,71,26,0.3764788732394367,7,11,1.3767106997798075
LONG,STAFF+FOOTBALL,dc_changed_season,>=,1.0,rank_edge_pass_epa_per_dropback,>=,10.0,DOG35_49,AWAY,23,0.44130434782608696,20,0.5330000000000001,19,0.12368421052631581,62,37,0.37354838709677424,12,12,1.373403937000992
MODERN,STAFF+FOOTBALL,oc_prior_role_seasons,<=,2.0,rank_edge_def_allowed_explosive_rate,>=,-1.0,DOG35_44,HOME,35,0.494,24,0.28125000000000006,49,0.10755102040816322,108,55,0.2713888888888889,12,14,1.2351004359675808
MODERN,STAFF+FOOTBALL,hc_prior_win_pct,<=,0.5454545454545454,recent_edge_sack_rate_allowed,<=,-0.0266570339605316,DOG35_44,HOME,32,0.491875,18,0.30499999999999994,41,0.10414634146341463,91,46,0.2802197802197803,12,14,1.1197638566143313
