segment,bets,wins,win_rate,profit,roi,ci_low,ci_high
2024,57,44,0.7719298245614035,-145.53501211839114,-0.05106491653276882,-0.18913526118754606,0.07715257971775398
2025,45,40,0.8888888888888888,208.5,0.09266666666666666,-0.0351111111111111,0.1991111111111111
2026,18,16,0.8888888888888888,160.0,0.17777777777777778,-0.044444444444444446,0.3466666666666667
2024-current,120,100,0.8333333333333334,222.9649878816089,0.03716083131360148,-0.05325583366487352,0.1182232173579729
