method,rule,season,n,wins,win_pct,roi,units
stricter,preseason_nonlosing_or_no_preseason,2013,3,3,1.0,0.2645285748734025,0.7935857246202074
stricter,preseason_nonlosing_or_no_preseason,2014,4,4,1.0,0.4684063371013556,1.8736253484054224
stricter,preseason_nonlosing_or_no_preseason,2015,2,2,1.0,0.4230769230769231,0.8461538461538461
stricter,preseason_nonlosing_or_no_preseason,2016,4,4,1.0,0.3514422672609536,1.4057690690438145
stricter,preseason_nonlosing_or_no_preseason,2017,2,2,1.0,0.21875,0.4375
stricter,preseason_nonlosing_or_no_preseason,2018,1,1,1.0,0.373134328358209,0.373134328358209
stricter,preseason_nonlosing_or_no_preseason,2019,2,2,1.0,0.23752563226247433,0.47505126452494867
stricter,preseason_nonlosing_or_no_preseason,2020,4,4,1.0,0.40136199512101944,1.6054479804840778
stricter,preseason_nonlosing_or_no_preseason,2021,2,1,0.5,-0.1031746031746032,-0.2063492063492064
stricter,preseason_nonlosing_or_no_preseason,2022,1,1,1.0,0.2638522427440633,0.2638522427440633
stricter,preseason_nonlosing_or_no_preseason,2023,3,3,1.0,0.4388495095482115,1.3165485286446346
stricter,preseason_nonlosing_or_no_preseason,2024,2,2,1.0,0.44632370213765565,0.8926474042753113
stricter,preseason_nonlosing_or_no_preseason,2025,4,3,0.75,-0.1084536378654026,-0.4338145514616104
stricter,preseason_positive_margin_or_no_preseason,2007,1,1,1.0,0.2298850574712643,0.2298850574712643
stricter,preseason_positive_margin_or_no_preseason,2009,2,2,1.0,0.25324675324675316,0.5064935064935063
stricter,preseason_positive_margin_or_no_preseason,2010,3,2,0.6666666666666666,-0.2359630419331912,-0.7078891257995736
stricter,preseason_positive_margin_or_no_preseason,2011,3,3,1.0,0.24148475186002774,0.7244542555800833
stricter,preseason_positive_margin_or_no_preseason,2012,4,4,1.0,0.27790358293075684,1.1116143317230274
stricter,preseason_positive_margin_or_no_preseason,2013,1,1,1.0,0.3076923076923077,0.3076923076923077
stricter,preseason_positive_margin_or_no_preseason,2014,2,2,1.0,0.31447868298860276,0.6289573659772055
stricter,preseason_positive_margin_or_no_preseason,2015,1,1,1.0,0.0769230769230769,0.0769230769230769
stricter,preseason_positive_margin_or_no_preseason,2016,4,4,1.0,0.3514422672609536,1.4057690690438145
stricter,preseason_positive_margin_or_no_preseason,2017,2,2,1.0,0.21875,0.4375
stricter,preseason_positive_margin_or_no_preseason,2018,1,1,1.0,0.373134328358209,0.373134328358209
stricter,preseason_positive_margin_or_no_preseason,2019,2,2,1.0,0.23752563226247433,0.47505126452494867
stricter,preseason_positive_margin_or_no_preseason,2020,4,4,1.0,0.40136199512101944,1.6054479804840778
stricter,preseason_positive_margin_or_no_preseason,2022,1,1,1.0,0.2638522427440633,0.2638522427440633
stricter,preseason_positive_margin_or_no_preseason,2023,3,3,1.0,0.4326720941788021,1.2980162825364063
stricter,preseason_positive_margin_or_no_preseason,2024,3,2,0.6666666666666666,-0.03578419857489623,-0.10735259572468869
stricter,preseason_positive_margin_or_no_preseason,2025,4,3,0.75,-0.1084536378654026,-0.4338145514616104
