season,team,head_coach_espn,offensive_coordinator,defensive_coordinator,staff_source,staff_page,pdf_page
2021,WAS,Ron Rivera,Scott Turner,Jack Del Rio,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/21/NFLDK2021_CS_ClayProjections2021.pdf,65
2022,ARI,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,ATL,Arthur Smith,Dave Ragone,Dean Pees,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,BAL,John Harbaugh,Greg Roman,Mike Macdonald,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,BUF,Sean McDermott,Ken Dorsey,Leslie Frazier,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,CAR,Matt Rhule,Ben McAdoo,Phil Snow,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,CHI,Matt Eberflus,Luke Getsy,Alan Williams,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,CIN,Zac Taylor,Brian Callahan,Lou Anarumo,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,CLE,Kevin Stefanski,Alex Van Pelt,Joe Woods,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,DAL,Mike McCarthy,Kellen Moore,Dan Quinn,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,DEN,Nathaniel Hackett,Justin Outten,Ejiro Evero,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,DET,Dan Campbell,Ben Johnson,Aaron Glenn,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,GB,Matt LaFleur,Adam Stenavich,Joe Barry,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,HOU,Lovie Smith,Pep Hamilton,Lovie Smith,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,IND,Frank Reich,Marcus Brady,Gus Bradley,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,JAX,Doug Pederson,Press Taylor,Mike Caldwell,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,KC,Andy Reid,Eric Bieniemy,Steve Spagnuolo,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,LA,Sean McVay,Liam Coen,Raheem Morris,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,LAC,Brandon Staley,Joe Lombardi,Renaldo Hill,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,LV,Josh McDaniels,Mick Lombardi,Patrick Graham,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,MIA,Mike McDaniel,Frank Smith,Josh Boyer,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,MIN,Kevin O'Connell,Wes Phillips,Ed Donatell,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,NE,Bill Belichick,Matt Patricia,Bill Belichick,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,NO,Dennis Allen,Pete Carmichael Jr.,Kris Richard/Ryan Nielsen,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,NYG,Brian Daboll,Mike Kafka,Don Martindale,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,NYJ,Robert Saleh,Mike LaFleur,Jeff Ulbrich,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,PHI,Nick Sirianni,Shane Steichen,Jonathan Gannon,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,PIT,Mike Tomlin,Matt Canada,Teryl Austin,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,SEA,Pete Carroll,Shane Waldron,Clint Hurtt,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,SF,Kyle Shanahan,Kyle Shanahan,DeMeco Ryans,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,TB,Todd Bowles,Byron Leftwich,Kacy Rodgers/Larry Foote,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,TEN,Mike Vrabel,Todd Downing,Shane Bowen,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2022,WAS,Ron Rivera,Scott Turner,Jack Del Rio,espn_mike_clay_projection_guide_layout,https://g.espncdn.com/s/ffldraftkit/22/NFLDK2022_CS_ClayProjections2022.pdf,65
2023,ARI,Jonathan Gannon,Drew Petzing,Nick Rallis,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,2
2023,ATL,Arthur Smith,Dave Ragone,Ryan Nielsen,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,3
2023,BAL,John Harbaugh,Todd Monken,Mike Macdonald,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,4
2023,BUF,Sean McDermott,Ken Dorsey,Sean McDermott,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,5
2023,CAR,Frank Reich,Thomas Brown,Ejiro Evero,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,6
2023,CHI,Matt Eberflus,Luke Getsy,Alan Williams,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,7
2023,CIN,Zac Taylor,Brian Callahan,Lou Anarumo,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,8
2023,CLE,Kevin Stefanski,Alex Van Pelt,Jim Schwartz,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,9
2023,DAL,Mike McCarthy,Brian Schottenheimer,Dan Quinn,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,10
2023,DEN,Sean Payton,Joe Lombardi,Vance Joseph,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,11
2023,DET,Dan Campbell,Ben Johnson,Aaron Glenn,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,12
2023,GB,Matt LaFleur,Adam Stenavich,Joe Barry,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,13
2023,HOU,DeMeco Ryans,Bobby Slowik,Matt Burke,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,14
2023,IND,Shane Steichen,Jim Bob Cooter,Gus Bradley,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,15
2023,JAX,Doug Pederson,Press Taylor,Mike Caldwell,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,16
2023,KC,Andy Reid,Matt Nagy,Steve Spagnuolo,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,17
2023,LA,Sean McVay,Mike LaFleur,Raheem Morris,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,19
2023,LAC,Brandon Staley,Kellen Moore,Derrick Ansley,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,18
2023,LV,Josh McDaniels,Mick Lombardi,Patrick Graham,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,20
2023,MIA,Mike McDaniel,Frank Smith,Vic Fangio,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,21
2023,MIN,Kevin O'Connell,Wes Phillips,Brian Flores,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,22
2023,NE,Bill Belichick,Bill O'Brien,Bill Belichick,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,23
2023,NO,Dennis Allen,Pete Carmichael Jr.,Joe Woods,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,24
2023,NYG,Brian Daboll,Mike Kafka,Don Martindale,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,25
