result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,division,result_norm,h1,h2,height_diff,height_gap,taller_is_p1,p1_won,taller_won,shorter_won,p1_norm,p2_norm,pair_key,market_prob,market_fav_is_p1,market_fav_taller,market_fav_won
W,Viktoriia Dudakova,Jinh Yu Frey,http://ufcstats.com/fighter-details/6c9b66b43663f2f7,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Derek Cleary 28 - 29. David Lethaby 28 - 29. Cezary Wojciechowski 28 - 29.,--,--,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/13a0fb8fbdafb54f,1,0.0,0.0,,,30 of 53,11 of 23,33 of 70,,,31 of 54,37 of 51,41 of 78,,,0 of 3,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:18,0:00,0:00,,,0,0.0,0.0,,,16 of 46,11 of 22,20 of 33,,,16 of 46,28 of 40,21 of 35,,,0 of 0,1 of 1,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,3:48,0:52,,,19 of 40,6 of 16,22 of 59,,,10 of 12,5 of 7,11 of 11,,,1 of 1,0 of 0,0 of 0,,,22 of 44,8 of 20,30 of 67,,,8 of 9,3 of 3,3 of 3,,,0 of 0,0 of 0,0 of 0,,,9 of 37,8 of 17,14 of 26,,,5 of 7,0 of 2,3 of 4,,,2 of 2,3 of 3,3 of 3,,,15 of 44,4 of 14,18 of 31,,,1 of 2,0 of 0,2 of 2,,,0 of 0,7 of 8,0 of 0,,,Women's Strawweight,W,65.0,63.0,2.0,2.0,True,True,True,False,viktoriia dudakova,jinh yu frey,http://ufcstats.com/fighter-details/6c9b66b43663f2f7|http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,0.7905405405405406,True,True,True
W,Philipe Lins,Maxim Grishin,http://ufcstats.com/fighter-details/53c943c873cffe90,http://ufcstats.com/fighter-details/950d0ef5c17157c5,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 28 - 29. Mike Bell 28 - 29. Adalaide Byrd 27 - 30.,Monstro,Maximus,2023-06-03,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7abe471b61725980,0,0.0,0.0,,,17 of 42,12 of 33,16 of 31,,,21 of 46,12 of 35,17 of 32,,,0 of 0,1 of 2,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:02,2:40,3:42,,,0,0.0,0.0,,,16 of 29,14 of 30,11 of 21,,,27 of 40,36 of 53,40 of 52,,,0 of 1,0 of 0,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:24,0:07,0:05,,,7 of 27,5 of 24,10 of 23,,,8 of 10,5 of 6,4 of 5,,,2 of 5,2 of 3,2 of 3,,,14 of 38,9 of 29,13 of 25,,,3 of 4,3 of 4,3 of 6,,,0 of 0,0 of 0,0 of 0,,,8 of 19,4 of 16,8 of 18,,,2 of 3,3 of 7,1 of 1,,,6 of 7,7 of 7,2 of 2,,,13 of 26,9 of 24,7 of 15,,,3 of 3,5 of 6,4 of 6,,,0 of 0,0 of 0,0 of 0,,,Light Heavyweight,W,74.0,75.0,-1.0,1.0,False,True,False,True,philipe lins,maxim grishin,http://ufcstats.com/fighter-details/53c943c873cffe90|http://ufcstats.com/fighter-details/950d0ef5c17157c5,0.5285423037716616,False,True,False
L,Zac Pauga,Modestas Bukauskas,http://ufcstats.com/fighter-details/56f7d7ee06be4aab,http://ufcstats.com/fighter-details/476fe566d2df676e,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Anthony Maness 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,The Ripper,The Baltic Gladiator,2023-06-17,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/b9415726dc3ec526,0,0.0,0.0,,,15 of 29,27 of 48,25 of 40,,,20 of 35,27 of 48,25 of 40,,,1 of 3,0 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:04,0:10,0:03,,,0,0.0,0.0,,,13 of 29,23 of 40,20 of 43,,,14 of 31,23 of 40,25 of 49,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:01,1:19,,,11 of 23,14 of 33,10 of 24,,,2 of 4,10 of 12,13 of 14,,,2 of 2,3 of 3,2 of 2,,,11 of 25,26 of 46,21 of 34,,,2 of 2,1 of 2,4 of 6,,,2 of 2,0 of 0,0 of 0,,,9 of 25,18 of 35,15 of 36,,,2 of 2,3 of 3,5 of 7,,,2 of 2,2 of 2,0 of 0,,,12 of 28,21 of 37,17 of 37,,,0 of 0,2 of 3,3 of 6,,,1 of 1,0 of 0,0 of 0,,,Light Heavyweight,L,74.0,75.0,-1.0,1.0,False,False,True,False,zac pauga,modestas bukauskas,http://ufcstats.com/fighter-details/476fe566d2df676e|http://ufcstats.com/fighter-details/56f7d7ee06be4aab,0.6386477179027017,False,True,True
W,Da'Mon Blackshear,Luan Lacerda,http://ufcstats.com/fighter-details/da22387a0407a2dc,http://ufcstats.com/fighter-details/6fc506e1099afe20,Bantamweight Bout,KO/TKO,2,3:54,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,The Monster,--,2023-06-03,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7abe471b61725980,0,0.0,,,,30 of 60,36 of 75,,,,44 of 76,41 of 82,,,,1 of 2,0 of 0,,,,0,0.0,,,,0,1.0,,,,1:29,0:45,,,,0,0.0,,,,17 of 34,11 of 30,,,,20 of 37,11 of 30,,,,1 of 2,0 of 2,,,,1,0.0,,,,0,1.0,,,,0:20,0:06,,,,17 of 41,25 of 62,,,,4 of 8,7 of 9,,,,9 of 11,4 of 4,,,,19 of 43,19 of 53,,,,8 of 13,0 of 0,,,,3 of 4,17 of 22,,,,11 of 24,5 of 18,,,,5 of 9,4 of 10,,,,1 of 1,2 of 2,,,,14 of 31,11 of 30,,,,3 of 3,0 of 0,,,,0 of 0,0 of 0,,,,Bantamweight,W,70.0,67.0,3.0,3.0,True,True,True,False,da mon blackshear,luan lacerda,http://ufcstats.com/fighter-details/6fc506e1099afe20|http://ufcstats.com/fighter-details/da22387a0407a2dc,0.5857068876229933,False,False,False
L,Hailey Cowan,Jamey-Lyn Horth,http://ufcstats.com/fighter-details/3c26c420584d912d,http://ufcstats.com/fighter-details/5c637af9472ae7cc,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 29. Anthony Maness 28 - 29. Ron McCarthy 28 - 29.,All Hail,--,2023-04-29,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/51b1e2fd9872005b,0,0.0,0.0,,,21 of 55,23 of 53,19 of 42,,,25 of 59,31 of 62,29 of 52,,,0 of 1,1 of 2,1 of 5,,,0,0.0,0.0,,,0,0.0,0.0,,,0:54,2:13,1:43,,,0,0.0,0.0,,,24 of 29,28 of 42,24 of 33,,,31 of 36,37 of 52,31 of 40,,,0 of 0,0 of 0,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:35,0:07,0:25,,,15 of 40,11 of 39,12 of 32,,,6 of 14,9 of 11,6 of 9,,,0 of 1,3 of 3,1 of 1,,,12 of 45,16 of 44,15 of 37,,,9 of 10,4 of 6,3 of 4,,,0 of 0,3 of 3,1 of 1,,,13 of 16,14 of 25,10 of 18,,,7 of 8,11 of 12,12 of 13,,,4 of 5,3 of 5,2 of 2,,,13 of 18,18 of 32,15 of 24,,,11 of 11,10 of 10,9 of 9,,,0 of 0,0 of 0,0 of 0,,,Women's Bantamweight,L,68.0,67.0,1.0,1.0,True,False,False,True,hailey cowan,jamey lyn horth,http://ufcstats.com/fighter-details/3c26c420584d912d|http://ufcstats.com/fighter-details/5c637af9472ae7cc,0.5965276928719893,False,False,True
L,Joseph Holmes,Claudio Ribeiro,http://ufcstats.com/fighter-details/8d20d76af3f213ce,http://ufcstats.com/fighter-details/972c456ff38b2015,Middleweight Bout,KO/TKO,2,3:21,3 Rnd (5-5-5),Gary Copeland,Punches to Head On Ground,Uglyman Joe,--,2023-05-06,"Newark, New Jersey, USA",http://ufcstats.com/event-details/3c6976f8182d9527,0,0.0,,,,12 of 16,5 of 8,,,,15 of 19,7 of 10,,,,1 of 1,0 of 1,,,,0,0.0,,,,0,0.0,,,,1:36,0:54,,,,0,1.0,,,,19 of 29,18 of 34,,,,39 of 52,21 of 39,,,,1 of 1,0 of 0,,,,0,0.0,,,,0,0.0,,,,2:11,0:56,,,,3 of 6,1 of 4,,,,3 of 4,0 of 0,,,,6 of 6,4 of 4,,,,8 of 12,5 of 8,,,,4 of 4,0 of 0,,,,0 of 0,0 of 0,,,,18 of 26,16 of 31,,,,0 of 1,0 of 0,,,,1 of 2,2 of 3,,,,5 of 12,5 of 12,,,,0 of 0,1 of 2,,,,14 of 17,12 of 20,,,,Middleweight,L,76.0,73.0,3.0,3.0,True,False,False,True,joseph holmes,claudio ribeiro,http://ufcstats.com/fighter-details/8d20d76af3f213ce|http://ufcstats.com/fighter-details/972c456ff38b2015,0.593369754159424,False,False,True
W,Diana Belbita,Maria Oliveira,http://ufcstats.com/fighter-details/d7e40dca3ae125be,http://ufcstats.com/fighter-details/37d752ec41ed84bb,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Phil Koldyk,Jerin Valel 27 - 30. Jason Darrah 27 - 30. Chris Lee 28 - 29.,The Warrior Princess,Spider-Girl,2023-06-10,"Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/b6c6d1731ff00eeb,0,0.0,0.0,,,41 of 84,22 of 37,43 of 87,,,60 of 104,49 of 65,45 of 89,,,0 of 0,1 of 2,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:22,1:29,0:13,,,0,0.0,0.0,,,28 of 66,7 of 17,29 of 85,,,36 of 79,19 of 35,30 of 86,,,1 of 1,1 of 1,0 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,1:20,2:37,0:09,,,30 of 68,9 of 24,32 of 73,,,4 of 7,11 of 11,5 of 7,,,7 of 9,2 of 2,6 of 7,,,33 of 76,6 of 20,37 of 80,,,4 of 4,12 of 13,6 of 7,,,4 of 4,4 of 4,0 of 0,,,19 of 55,5 of 15,21 of 72,,,6 of 8,1 of 1,4 of 9,,,3 of 3,1 of 1,4 of 4,,,28 of 66,6 of 16,28 of 84,,,0 of 0,0 of 0,1 of 1,,,0 of 0,1 of 1,0 of 0,,,Women's Strawweight,W,67.0,66.0,1.0,1.0,True,True,True,False,diana belbita,maria oliveira,http://ufcstats.com/fighter-details/37d752ec41ed84bb|http://ufcstats.com/fighter-details/d7e40dca3ae125be,0.559487142754817,True,True,True
L,Takashi Sato,Themba Gorimbo,http://ufcstats.com/fighter-details/8abac218746e04ca,http://ufcstats.com/fighter-details/40f3cb27fc7305a1,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Junichiro Kamijo 27 - 30. Tony Weeks 27 - 30.,Ten,The Answer,2023-05-20,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6f812143641ceff8,0,0.0,0.0,,,3 of 8,14 of 17,13 of 22,,,15 of 21,21 of 25,20 of 30,,,1 of 2,1 of 4,0 of 0,,,0,0.0,0.0,,,0,0.0,1.0,,,0:32,1:14,0:35,,,0,1.0,0.0,,,7 of 16,18 of 30,8 of 10,,,39 of 57,40 of 57,31 of 44,,,1 of 3,1 of 2,1 of 3,,,0,0.0,0.0,,,1,1.0,0.0,,,3:58,3:20,3:57,,,2 of 7,9 of 12,10 of 18,,,1 of 1,5 of 5,3 of 4,,,0 of 0,0 of 0,0 of 0,,,0 of 4,1 of 4,4 of 8,,,3 of 4,11 of 11,1 of 1,,,0 of 0,2 of 2,8 of 13,,,1 of 9,15 of 25,5 of 7,,,6 of 7,3 of 5,3 of 3,,,0 of 0,0 of 0,0 of 0,,,1 of 9,5 of 8,6 of 8,,,6 of 7,2 of 4,1 of 1,,,0 of 0,11 of 18,1 of 1,,,Welterweight,L,70.0,73.0,-3.0,3.0,False,False,True,False,takashi sato,themba gorimbo,http://ufcstats.com/fighter-details/40f3cb27fc7305a1|http://ufcstats.com/fighter-details/8abac218746e04ca,0.5634920634920635,False,True,True
L,Shannon Ross,Jesus Aguilar,http://ufcstats.com/fighter-details/51c655162e462ceb,http://ufcstats.com/fighter-details/c051c2e12d692b8a,Flyweight Bout,KO/TKO,1,0:17,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,The Turkish Delight,--,2023-07-08,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6085ceb59087514b,0,,,,,2 of 3,,,,,2 of 3,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,2 of 3,,,,,2 of 3,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1 of 2,,,,,1 of 1,,,,,0 of 0,,,,,2 of 3,,,,,0 of 0,,,,,0 of 0,,,,,1 of 1,,,,,0 of 0,,,,,1 of 2,,,,,2 of 3,,,,,0 of 0,,,,,0 of 0,,,,,Flyweight,L,66.0,64.0,2.0,2.0,True,False,False,True,shannon ross,jesus aguilar,http://ufcstats.com/fighter-details/51c655162e462ceb|http://ufcstats.com/fighter-details/c051c2e12d692b8a,0.5789895749799518,False,False,True
W,Cameron Saaiman,Terrence Mitchell,http://ufcstats.com/fighter-details/3c8a5200436e19f3,http://ufcstats.com/fighter-details/f3ca6908f78efebe,Bantamweight Bout,KO/TKO,1,3:10,3 Rnd (5-5-5),Mark Smith,Punches to Head From Bottom Mount,MSP,--,2023-07-08,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6085ceb59087514b,0,,,,,18 of 32,,,,,23 of 38,,,,,2 of 2,,,,,1,,,,,1,,,,,1:37,,,,,0,,,,,3 of 7,,,,,6 of 11,,,,,1 of 2,,,,,0,,,,,0,,,,,1:06,,,,,15 of 29,,,,,3 of 3,,,,,0 of 0,,,,,0 of 2,,,,,4 of 6,,,,,14 of 24,,,,,3 of 7,,,,,0 of 0,,,,,0 of 0,,,,,0 of 3,,,,,2 of 3,,,,,1 of 1,,,,,Bantamweight,W,68.0,70.0,-2.0,2.0,False,True,False,True,cameron saaiman,terrence mitchell,http://ufcstats.com/fighter-details/3c8a5200436e19f3|http://ufcstats.com/fighter-details/f3ca6908f78efebe,0.8282442748091602,True,False,True
W,Vitor Petrino,Marcin Prachnio,http://ufcstats.com/fighter-details/71171fc96445bf65,http://ufcstats.com/fighter-details/6370c1c1e12723d5,Light Heavyweight Bout,Submission,3,3:42,3 Rnd (5-5-5),Marc Goddard,Arm Triangle From Half Guard,--,--,2023-07-08,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6085ceb59087514b,0,0.0,0.0,,,16 of 33,11 of 15,17 of 33,,,20 of 37,30 of 35,22 of 39,,,2 of 4,1 of 1,1 of 1,,,0,1.0,1.0,,,0,0.0,0.0,,,2:21,4:38,1:40,,,0,0.0,0.0,,,32 of 44,2 of 5,21 of 39,,,66 of 78,56 of 64,25 of 43,,,0 of 0,0 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:18,0:00,0:00,,,9 of 26,10 of 14,13 of 28,,,6 of 6,1 of 1,2 of 3,,,1 of 1,0 of 0,2 of 2,,,11 of 25,0 of 4,13 of 29,,,1 of 1,0 of 0,0 of 0,,,4 of 7,11 of 11,4 of 4,,,12 of 23,1 of 4,12 of 27,,,14 of 15,1 of 1,6 of 9,,,6 of 6,0 of 0,3 of 3,,,21 of 32,2 of 5,18 of 36,,,11 of 12,0 of 0,3 of 3,,,0 of 0,0 of 0,0 of 0,,,Light Heavyweight,W,74.0,75.0,-1.0,1.0,False,True,False,True,vitor petrino,marcin prachnio,http://ufcstats.com/fighter-details/6370c1c1e12723d5|http://ufcstats.com/fighter-details/71171fc96445bf65,0.700162074554295,True,False,True
W,Jafel Filho,Daniel Barez,http://ufcstats.com/fighter-details/65adf3856c4d9256,http://ufcstats.com/fighter-details/e8fe9c15d348e778,Flyweight Bout,Submission,1,3:26,3 Rnd (5-5-5),Marc Goddard,Arm Triangle From Mount,Pastor,--,2023-07-22,"London, England, United Kingdom",http://ufcstats.com/event-details/1174782eacde9b0c,0,,,,,21 of 54,,,,,23 of 62,,,,,1 of 4,,,,,1,,,,,0,,,,,0:55,,,,,1,,,,,18 of 30,,,,,18 of 30,,,,,0 of 0,,,,,0,,,,,0,,,,,0:12,,,,,11 of 40,,,,,8 of 9,,,,,2 of 5,,,,,21 of 54,,,,,0 of 0,,,,,0 of 0,,,,,8 of 17,,,,,7 of 9,,,,,3 of 4,,,,,18 of 27,,,,,0 of 1,,,,,0 of 2,,,,,Flyweight,W,67.0,66.0,1.0,1.0,True,True,True,False,jafel filho,daniel barez,http://ufcstats.com/fighter-details/65adf3856c4d9256|http://ufcstats.com/fighter-details/e8fe9c15d348e778,0.5,True,True,True
L,Shauna Bannon,Bruna Brasil,http://ufcstats.com/fighter-details/9c442aaf149ea982,http://ufcstats.com/fighter-details/7138a15258dabf20,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Mike Bell 28 - 29. Clemens Werner 28 - 29. Anders Ohlsson 27 - 30.,Mama B,--,2023-07-22,"London, England, United Kingdom",http://ufcstats.com/event-details/1174782eacde9b0c,0,0.0,0.0,,,16 of 51,19 of 42,19 of 51,,,16 of 51,56 of 86,52 of 86,,,0 of 0,0 of 2,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:51,0:14,,,0,0.0,0.0,,,20 of 34,16 of 25,20 of 31,,,20 of 34,28 of 38,25 of 39,,,0 of 0,1 of 2,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,1:45,1:36,,,9 of 36,6 of 22,7 of 26,,,1 of 6,10 of 15,8 of 17,,,6 of 9,3 of 5,4 of 8,,,16 of 51,16 of 38,19 of 50,,,0 of 0,3 of 4,0 of 1,,,0 of 0,0 of 0,0 of 0,,,12 of 25,6 of 12,12 of 21,,,2 of 2,7 of 10,5 of 7,,,6 of 7,3 of 3,3 of 3,,,20 of 34,9 of 17,10 of 21,,,0 of 0,7 of 8,5 of 5,,,0 of 0,0 of 0,5 of 5,,,Women's Strawweight,L,65.0,66.0,-1.0,1.0,False,False,True,False,shauna bannon,bruna brasil,http://ufcstats.com/fighter-details/7138a15258dabf20|http://ufcstats.com/fighter-details/9c442aaf149ea982,0.5711159737417943,False,True,True
W,Da'Mon Blackshear,Jose Johnson,http://ufcstats.com/fighter-details/da22387a0407a2dc,http://ufcstats.com/fighter-details/84f727cf0166d6f2,Bantamweight Bout,Submission,1,3:47,3 Rnd (5-5-5),Mark Smith,Twister From Back Control,The Monster,Lobo Solitario,2023-08-12,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d2fa318f34d0aadc,0,,,,,18 of 30,,,,,30 of 46,,,,,2 of 4,,,,,1,,,,,0,,,,,2:57,,,,,0,,,,,8 of 12,,,,,16 of 21,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,7 of 16,,,,,2 of 5,,,,,9 of 9,,,,,5 of 13,,,,,6 of 8,,,,,7 of 9,,,,,4 of 7,,,,,2 of 3,,,,,2 of 2,,,,,7 of 9,,,,,0 of 2,,,,,1 of 1,,,,,Bantamweight,W,70.0,72.0,-2.0,2.0,False,True,False,True,da mon blackshear,jose johnson,http://ufcstats.com/fighter-details/84f727cf0166d6f2|http://ufcstats.com/fighter-details/da22387a0407a2dc,0.6750312469954812,True,False,True
W,Jaqueline Amorim,Montserrat Conejo Ruiz,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,http://ufcstats.com/fighter-details/1235b31de15d0c6e,Women's Strawweight Bout,KO/TKO,3,3:41,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Mount,--,--,2023-08-12,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d2fa318f34d0aadc,0,0.0,0.0,,,30 of 44,43 of 70,13 of 22,,,40 of 61,69 of 106,32 of 41,,,1 of 2,0 of 0,0 of 1,,,2,2.0,0.0,,,0,1.0,1.0,,,4:14,3:42,0:09,,,0,0.0,0.0,,,1 of 2,2 of 18,3 of 16,,,5 of 8,7 of 26,8 of 23,,,0 of 0,1 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:37,0:24,2:38,,,25 of 39,39 of 62,12 of 19,,,4 of 4,4 of 8,1 of 2,,,1 of 1,0 of 0,0 of 1,,,2 of 3,3 of 6,1 of 6,,,0 of 0,0 of 0,0 of 0,,,28 of 41,40 of 64,12 of 16,,,0 of 1,0 of 13,2 of 15,,,0 of 0,1 of 3,1 of 1,,,1 of 1,1 of 2,0 of 0,,,1 of 2,2 of 17,2 of 12,,,0 of 0,0 of 1,0 of 0,,,0 of 0,0 of 0,1 of 4,,,Women's Strawweight,W,63.0,60.0,3.0,3.0,True,True,True,False,jaqueline amorim,montserrat conejo ruiz,http://ufcstats.com/fighter-details/1235b31de15d0c6e|http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,0.6805555555555556,True,True,True
L,Juliana Miller,Luana Santos,http://ufcstats.com/fighter-details/aa0c573da7119292,http://ufcstats.com/fighter-details/5078e1dacf9d25f4,Women's Flyweight Bout,KO/TKO,1,3:41,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,Killer,--,2023-08-12,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d2fa318f34d0aadc,0,,,,,24 of 75,,,,,25 of 77,,,,,0 of 2,,,,,0,,,,,0,,,,,0:29,,,,,0,,,,,63 of 105,,,,,64 of 106,,,,,0 of 0,,,,,0,,,,,0,,,,,0:26,,,,,15 of 61,,,,,9 of 13,,,,,0 of 1,,,,,18 of 64,,,,,6 of 11,,,,,0 of 0,,,,,44 of 82,,,,,16 of 20,,,,,3 of 3,,,,,53 of 88,,,,,10 of 17,,,,,0 of 0,,,,,Women's Flyweight,L,67.0,66.0,1.0,1.0,True,False,False,True,juliana miller,luana santos,http://ufcstats.com/fighter-details/5078e1dacf9d25f4|http://ufcstats.com/fighter-details/aa0c573da7119292,0.5720596355604639,False,False,True
L,JP Buys,Marcus McGhee,http://ufcstats.com/fighter-details/0b362247806341e5,http://ufcstats.com/fighter-details/c0ac37a4a1133da9,Bantamweight Bout,KO/TKO,1,2:19,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,Young Savage,The Maniac,2023-08-12,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d2fa318f34d0aadc,0,,,,,4 of 30,,,,,4 of 30,,,,,0 of 1,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,7 of 13,,,,,7 of 13,,,,,0 of 0,,,,,0,,,,,0,,,,,0:05,,,,,2 of 22,,,,,1 of 3,,,,,1 of 5,,,,,4 of 29,,,,,0 of 1,,,,,0 of 0,,,,,6 of 11,,,,,0 of 0,,,,,1 of 2,,,,,7 of 13,,,,,0 of 0,,,,,0 of 0,,,,,Bantamweight,L,65.0,68.0,-3.0,3.0,False,False,True,False,jp buys,marcus mcghee,http://ufcstats.com/fighter-details/0b362247806341e5|http://ufcstats.com/fighter-details/c0ac37a4a1133da9,0.7477827050997783,False,True,True
L,Francis Marshall,Isaac Dulgarian,http://ufcstats.com/fighter-details/5d495dec23d7c68e,http://ufcstats.com/fighter-details/a57cb948c4c70a47,Featherweight Bout,KO/TKO,1,4:48,3 Rnd (5-5-5),Jason Herzog,Elbows to Head From Mount,Fire,The Midwest Choppa,2023-08-12,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d2fa318f34d0aadc,0,,,,,2 of 7,,,,,11 of 16,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,0,,,,,35 of 53,,,,,61 of 83,,,,,1 of 1,,,,,0,,,,,0,,,,,4:18,,,,,0 of 5,,,,,0 of 0,,,,,2 of 2,,,,,2 of 7,,,,,0 of 0,,,,,0 of 0,,,,,32 of 50,,,,,0 of 0,,,,,3 of 3,,,,,3 of 4,,,,,0 of 0,,,,,32 of 49,,,,,Featherweight,L,69.0,67.0,2.0,2.0,True,False,False,True,francis marshall,isaac dulgarian,http://ufcstats.com/fighter-details/5d495dec23d7c68e|http://ufcstats.com/fighter-details/a57cb948c4c70a47,0.5427435387673957,True,True,False
