division,market_prob_min,min_height_gap_in,all_n,all_wins,all_win_rate,all_ci_low,all_ci_high,discovery_n,discovery_wins,discovery_win_rate,discovery_ci_low,discovery_ci_high,validation_n,validation_wins,validation_win_rate,validation_ci_low,validation_ci_high
Heavyweight,0.75,1,37,29,0.7837837837837838,0.628045387261231,0.8861362314804442,24,18,0.75,0.5510017468789357,0.8800079652065766,13,11,0.8461538461538461,0.5776482949136899,0.9567427368172621
Heavyweight,0.75,2,24,19,0.7916666666666666,0.5952915551476452,0.9075531089521192,17,13,0.7647058823529411,0.5273775411082839,0.9044511092832406,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253
Heavyweight,0.75,3,14,11,0.7857142857142857,0.5241027622679172,0.9242875166308363,11,9,0.8181818181818182,0.5230138624217553,0.9486333993289995,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394
Heavyweight,0.75,4,10,8,0.8,0.49015684672072335,0.9433190520193067,8,7,0.875,0.5291051942301386,0.9775830911367038,2,1,0.5,0.09452865480086614,0.9054713451991339
Heavyweight,0.75,5,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,4,3,0.75,0.3006360524426366,0.9544139373553637,2,1,0.5,0.09452865480086614,0.9054713451991339
Light Heavyweight,0.55,1,179,121,0.6759776536312849,0.6043417118382548,0.7402188258074451,124,84,0.6774193548387096,0.590878645540289,0.7532972721578624,55,37,0.6727272727272727,0.5410297617609947,0.7818710431117484
Light Heavyweight,0.55,2,124,86,0.6935483870967742,0.6076039366067905,0.7678607008821021,85,61,0.7176470588235294,0.6141587579262482,0.8023128049451995,39,25,0.6410256410256411,0.484178631846895,0.772581153035089
Light Heavyweight,0.55,3,62,47,0.7580645161290323,0.6384725574675495,0.8475423631905147,42,33,0.7857142857142857,0.6405986210195627,0.8829433146894876,20,14,0.7,0.4810232237710206,0.854524726031006
Light Heavyweight,0.55,4,33,27,0.8181818181818182,0.656114329507048,0.9138934877430174,22,19,0.8636363636363636,0.6666458812053,0.9525108273576373,11,8,0.7272727272727273,0.4343497069897537,0.9025411942607853
Light Heavyweight,0.55,5,13,8,0.6153846153846154,0.35522480972268555,0.8229055341876319,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,4,2,0.5,0.15003570882017148,0.8499642911798285
Light Heavyweight,0.6,1,142,105,0.7394366197183099,0.6616112299927395,0.8046480540524164,100,75,0.75,0.6569535362992417,0.8245490599627573,42,30,0.7142857142857143,0.5643250392275445,0.8283314125542434
Light Heavyweight,0.6,2,99,74,0.7474747474747475,0.6537534716648654,0.8227074157581231,71,54,0.7605633802816901,0.6495855917759032,0.8447918667498364,28,20,0.7142857142857143,0.529403642629825,0.8474618415167003
Light Heavyweight,0.6,3,50,40,0.8,0.6696262789551477,0.8875637005402612,39,31,0.7948717948717948,0.6446572703687138,0.8922040980208888,11,9,0.8181818181818182,0.5230138624217553,0.9486333993289995
Light Heavyweight,0.6,4,24,21,0.875,0.6899571185214243,0.9565574496068442,20,18,0.9,0.6989617935882066,0.9721341060158468,4,3,0.75,0.3006360524426366,0.9544139373553637
Light Heavyweight,0.6,5,9,7,0.7777777777777778,0.4525833436728054,0.9367762376877727,8,6,0.75,0.40926987910258916,0.9285223111419724,1,1,1.0,0.20654329147389294,1.0
