segment,bets,wins,win_rate,profit,roi,ci_low,ci_high,avg_market_prob,avg_decimal_odds
2024,37,30,0.8108108108108109,23.325615318272785,0.012608440712579884,-0.1552089820813343,0.16093784495592012,0.7637230320180808,1.256643083340689
2025,27,23,0.8518518518518519,84.5,0.06259259259259259,-0.12518518518518518,0.21518518518518517,0.7859601597994013,1.258148148148148
2026,16,15,0.9375,184.5,0.230625,0.04374999999999999,0.349375,0.7633261253121262,1.316875
2024-current,80,68,0.85,292.3256153182728,0.07308140382956821,-0.03478950174923889,0.16926344768226742,0.7711486813030854,1.2691974260450687
