event_date,year,event_name,weight_class,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,snapshot_mode,snapshot_rows,source_values,region_values,adding_date_selected,fight_url
2024-02-17,2024,UFC 298 - Volkanovski vs. Topuria,,Merab Dvalishvili,Henry Cejudo,Merab Dvalishvili,Henry Cejudo,33.10403362149805,37.0219785484986,3.917944927000555,0.7179705215419501,1.3355704697986577,True,16.778523489932883,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/9785420602b452f7
2024-02-17,2024,UFC 298 - Volkanovski vs. Topuria,,Amanda Lemos,Mackenzie Dern,Amanda Lemos,Mackenzie Dern,36.74271203378577,30.902756387879286,-5.839955645906485,0.593369754159424,1.617283950617284,True,30.864197530864203,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/2aeb3ec2d8c05dc8
2024-02-17,2024,UFC 298 - Volkanovski vs. Topuria,,Junior Tafa,Marcos Rogerio de Lima,Marcos Rogerio de Lima,Junior Tafa,38.64829531064977,27.40644913995496,-11.24184617069481,0.6690070210631895,1.434782608695652,True,21.739130434782606,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/1456a3f96ac7e35b
2024-02-17,2024,UFC 298 - Volkanovski vs. Topuria,,Paulo Costa,Robert Whittaker,Robert Whittaker,Paulo Costa,33.1615296686448,32.827505013792205,-0.33402465485259825,0.644729178800233,1.4878048780487805,True,24.390243902439025,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/01432891260084a4
2024-02-24,2024,UFC Fight Night 237 - Moreno vs. Royval 2,,Daniel Lacerda,Edgar Chairez,Edgar Chairez,Daniel Lacerda,28.077236356667147,27.721308445758638,-0.35592791090850895,0.8,1.2,True,9.999999999999998,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/1c03c1bb62f3aed6
2024-02-24,2024,UFC Fight Night 237 - Moreno vs. Royval 2,,Brandon Royval,Brandon Moreno,Brandon Moreno,Brandon Royval,30.21554172912517,31.524261278465676,1.3087195493405055,0.7220792588780237,1.3278688524590163,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/74f5cbecac011abb
2024-02-24,2024,UFC Fight Night 237 - Moreno vs. Royval 2,,Chris Duncan,Manuel Torres,Manuel Torres,Chris Duncan,28.920511714819607,30.793240107599743,1.872728392780136,0.6037569709421778,1.5882352941176472,True,29.41176470588236,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/673a156925dfb31d
2024-02-24,2024,UFC Fight Night 237 - Moreno vs. Royval 2,,Sam Hughes,Yazmin Jauregui,Yazmin Jauregui,Sam Hughes,24.988877252784107,31.658418721808115,6.669541469024008,0.8524590163934427,1.125,True,6.25,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/6e4acb2aaa2cee56
2024-02-24,2024,UFC Fight Night 237 - Moreno vs. Royval 2,,Raoni Barcelos,Cristian Quinonez,Raoni Barcelos,Cristian Quinonez,36.81937342998145,27.83082472603818,-8.988548703943266,0.593369754159424,1.617283950617284,True,30.864197530864203,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/063e7ce759c52f81
2024-02-24,2024,UFC Fight Night 237 - Moreno vs. Royval 2,,Victor Altamirano,Felipe dos Santos,Felipe dos Santos,Victor Altamirano,23.452911421863558,33.08760617945612,9.634694757592559,0.7095435684647303,1.350877192982456,True,17.543859649122794,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/93ddc6b233d1956a
2024-03-02,2024,UFC Fight Night 238 - Rozenstruik vs. Gaziev,,Bekzat Almakhan,Umar Nurmagomedov,Umar Nurmagomedov,Bekzat Almakhan,28.16211147388379,26.39889936138319,-1.7632121125006002,0.8933823529411765,1.074074074074074,True,3.703703703703698,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/dcf5014e56649c2f
2024-03-02,2024,UFC Fight Night 238 - Rozenstruik vs. Gaziev,,Javid Basharat,Aiemann Zahabi,Javid Basharat,Aiemann Zahabi,28.48518450070843,36.28548156361869,7.800297062910257,0.8524590163934427,1.125,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/a7d397cd0f2ac93a
2024-03-02,2024,UFC Fight Night 238 - Rozenstruik vs. Gaziev,,Jairzinho Rozenstruik,Shamil Gaziev,Shamil Gaziev,Jairzinho Rozenstruik,34.056825259930044,35.959670629787055,1.9028453698570118,0.6164383561643836,1.5555555555555556,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/838fd9d2b14e0790
