event_date,year,event_name,weight_class,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,snapshot_mode,snapshot_rows,source_values,region_values,adding_date_selected,fight_url
2024-04-13,2024,UFC 300 - Pereira vs. Hill,,Holly Holm,Kayla Harrison,Kayla Harrison,Holly Holm,33.7830345592312,42.48957884145465,8.706544282223454,0.786743515850144,1.21978021978022,True,10.989010989011005,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/b1ac165326d8f29e
2024-06-08,2024,UFC on ESPN 57 - Cannonier vs. Imavov,,Ricky Turcios,Raul Rosas Jr.,Raul Rosas Jr.,Ricky Turcios,19.66638603119845,31.009534761151837,11.343148729953388,0.7055341817105653,1.3355704697986577,True,16.778523489932883,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/b34abcfe4c2e8a57
2024-06-15,2024,UFC on ESPN 58 - Perez vs. Taira,,Westin Wilson,Jeka Saragih,Jeka Saragih,Westin Wilson,29.454403581182365,35.39018597233345,5.935782391151083,0.7380410022779044,1.2777777777777777,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/e47523ac32bfa24c
2024-06-22,2024,UFC on ABC 6 - Whittaker vs. Aliskerov,,Nicolas Dalby,Rinat Fakhretdinov,Rinat Fakhretdinov,Nicolas Dalby,32.7344161755546,39.59834904207479,6.863932866520187,0.7659021045164341,1.2531645569620251,True,12.658227848101255,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/de1acb6803ab3f14
2024-06-29,2024,UFC 303 - Pereira vs. Prochazka 2,,Diego Lopes,Dan Ige,Diego Lopes,Dan Ige,29.49821009329418,32.89869059597391,3.4004805026797307,0.7179705215419501,1.3355704697986577,True,16.778523489932883,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/fc8ad0c7fc70dde7
2024-07-13,2024,UFC on ESPN 59 - Namajunas vs. Cortez,,Gabriel Bonfim,Ange Loosa,Gabriel Bonfim,Ange Loosa,26.8971984366551,31.321656159948528,4.424457723293429,0.771505376344086,1.2439024390243902,True,12.195121951219512,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/dad759ec50508147
2024-07-13,2024,UFC on ESPN 59 - Namajunas vs. Cortez,,Luana Santos,Mariya Agapova,Luana Santos,Mariya Agapova,24.241428639876247,27.266815882598546,3.0253872427222994,0.7640449438202247,1.2352941176470589,True,11.764705882352944,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/e06bfd0100eccbad
2024-07-13,2024,UFC on ESPN 59 - Namajunas vs. Cortez,,Christian Rodriguez,Julian Erosa,Christian Rodriguez,Julian Erosa,26.571387502823466,34.95212085121529,8.380733348391825,0.700162074554295,1.3703703703703702,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/a63bb85cc39389c7
2024-07-13,2024,UFC on ESPN 59 - Namajunas vs. Cortez,,Charles Johnson,Joshua Van,Joshua Van,Charles Johnson,22.757483042088474,33.506505951525355,10.749022909436881,0.700162074554295,1.3703703703703702,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/80108a70c4afa6c2
2024-08-03,2024,UFC on ABC 7 - Sandhagen vs. Nurmagomedov,,Cory Sandhagen,Umar Nurmagomedov,Umar Nurmagomedov,Cory Sandhagen,28.58374915296002,32.28813733341547,3.7043881804554495,0.7520040080160321,1.2531645569620251,True,12.658227848101255,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/33655fd07cfbe034
