method_id,depth,vetoes,pre_roi,holdout_n,holdout_win_pct,holdout_roi,full_n,full_win_pct,full_roi,confirmed
SB002,1,FEATURE:adv_altitude_change_ft <= -135.0,0.5097261904761905,26,0.5384615384615384,0.33499999999999996,87,0.5862068965517241,0.45942528735632193,False
SB002,2,FEATURE:road_miles_last5_including_current >= 3577.008845591549 | FEATURE:recent_edge_def_allowed_yards_per_play >= 0.8815571392779126,0.6235641025641026,31,0.7096774193548387,0.7699999999999999,90,0.6666666666666666,0.6764444444444445,True
SB006,1,FEATURE:recent_edge_def_allowed_yards_per_play <= -0.6373059059733678,0.5685661764705883,20,0.5,0.173,78,0.6025641025641025,0.45910256410256406,False
SB006,2,FEATURE:recent_edge_def_allowed_yards_per_play <= -0.6373059059733678 | FEATURE:rank_edge_points_against <= -21.0,0.7544444444444445,18,0.5,0.17777777777777778,68,0.6470588235294118,0.57,False
SB008,1,FEATURE:opp_coachq_hc_changed_quality >= 1.0,0.44449252380446197,22,0.7727272727272727,0.29145855802025705,65,0.8307692307692308,0.3755698636281646,False
SB008,2,FEATURE:opp_coachq_hc_changed_quality >= 1.0 | FEATURE:opp_coachq_hc_prior_role_seasons <= 0.0,0.48964579584091017,22,0.7727272727272727,0.29145855802025705,62,0.8548387096774194,0.4170400900044378,False
SB011,1,FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.2284964014436604,0.3158245638734643,16,0.875,0.24362458396517944,53,0.9056603773584906,0.29511213229492556,False
SB016,1,FEATURE:rank_edge_giveaway_rate <= -5.0,0.4712121212121212,29,0.41379310344827586,0.01689655172413796,79,0.5063291139240507,0.23075949367088613,False
SB025,1,FEATURE:prior_road_miles_last5 <= 1013.262858881697,0.45785599016526535,30,0.7666666666666667,0.27013777755457696,73,0.821917808219178,0.3770787057403066,True
