method_id,track,band,venue,concept,conds,n,wins,losses,win_pct,roi,units,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,positive_seasons,active_seasons,max_season_share,top_team,top_team_share
SB002,LONG,DOG35_44,ANY,STREAK,"[['opp_seq_last3_wins', '<=', 1.0], ['coachq_prev_hc_prior_role_seasons', '<=', 0.0]]",137,74,63,0.5401459854014599,0.35525547445255473,48.67,63,0.5079365079365079,0.2863492063492064,32,0.53125,0.3128125,42,0.5952380952380952,0.490952380952381,0.8421052631578947,16,19,0.21897810218978103,ARI,0.072992700729927
SB006,LONG,DOG35_49,ANY,STREAK,"[['seq_loss_streak', '>=', 3.0], ['rank_edge_def_allowed_giveaway_rate', '<=', -10.0]]",114,63,51,0.5526315789473685,0.34736842105263155,39.599999999999994,37,0.5135135135135135,0.2702702702702703,48,0.5625,0.38604166666666667,29,0.5862068965517241,0.3817241379310345,0.75,15,20,0.08771929824561403,JAC,0.08771929824561403
SB008,LONG,FAV55_65,AWAY,STREAK,"[['opp_seq_last5_margin', '<=', 1.6], ['recent_edge_kick_return_average', '>=', 4.361805555555557]]",93,72,21,0.7741935483870968,0.28312726748326644,26.330835875943777,42,0.7857142857142857,0.3023821030285748,21,0.7142857142857143,0.1811264770669621,30,0.8,0.32757105101124767,0.75,15,20,0.13978494623655913,LAC,0.07526881720430108
SB011,LONG,FAV65_75,AWAY,STREAK,"[['seq_last5_wins', '>=', 2.0], ['recent_edge_penalty_yards', '<=', -17.75]]",85,70,15,0.8235294117647058,0.1814853943198093,15.426258517183792,36,0.7777777777777778,0.12521042912017785,25,0.84,0.19525268126393114,24,0.875,0.2515569182191296,0.85,17,20,0.08235294117647059,SEA,0.09411764705882353
SB016,MODERN,DOG35_49,ANY,BOUNCEBACK,"[['opp_seq_blowout_win14', '>=', 1.0], ['coachq_prev_oc_prior_win_pct', '>=', 0.47115384615384615]]",144,69,75,0.4791666666666667,0.15493055555555557,22.310000000000002,37,0.4864864864864865,0.16648648648648648,18,0.5,0.21833333333333332,50,0.54,0.31520000000000004,0.8333333333333334,15,18,0.1111111111111111,NO,0.0625
SB025,LONG,FAV55_65,AWAY,STREAK,"[['seq_last3_margin', '<=', 9.0], ['recent_edge_def_allowed_yards_per_play', '>=', 0.7302054077592606]]",111,81,30,0.7297297297297297,0.22163629008785893,24.60162819975234,41,0.7317073170731707,0.22835592161020296,32,0.71875,0.21727464799601925,38,0.7368421052631579,0.21805912310161596,0.75,15,20,0.08108108108108109,NYJ,0.08108108108108109
