family,feature,op,threshold,score,train_risk_n,train_risk_roi,train_safe_n,train_safe_roi,validation_risk_n,validation_risk_roi,validation_safe_n,validation_safe_roi,train_improvement,validation_improvement,train_loss_lift,validation_loss_lift
C01,sel_last5_ppg,>=,1.4900000000000007,0.2656492810577009,26,-0.024230769230769243,48,0.27229166666666665,17,-0.4729411764705882,28,0.4714285714285714,0.10418355855855854,0.3567619047619048,0.079002079002079,0.2758169934640522
C01,sel_season_gdpg,>=,0.0,0.26295755858436837,27,-0.21222222222222217,47,0.3865957446808511,16,-0.31250000000000006,29,0.3503448275862069,0.218487636572743,0.23567816091954025,0.17017017017017022,0.19861111111111107
C01,edge_days_rest,>=,1.0,0.2145665010156821,19,-0.10842105263157895,55,0.2636363636363636,15,-0.40599999999999997,30,0.375,0.0955282555282555,0.26033333333333336,0.11948790896159323,0.24444444444444446
C01,sel_last5_gdpg,>=,0.2,0.21085367464754634,29,-0.05620689655172415,45,0.31266666666666665,19,-0.18631578947368424,26,0.3346153846153846,0.14455855855855854,0.21994871794871795,0.09226467847157505,0.1426900584795321
C01,edge_season_gdpg,>=,-0.17280286738351247,0.16686637817887817,26,-0.03730769230769231,48,0.279375,12,-0.32750000000000007,33,0.2754545454545454,0.11126689189189187,0.16078787878787876,0.079002079002079,0.1777777777777778
C01,edge_last5_xgfpg,>=,0.49932099999999996,0.15692829029724484,26,-0.10230769230769234,48,0.3145833333333334,13,-0.14923076923076925,32,0.221875,0.14647522522522527,0.10720833333333334,0.11746361746361744,0.1264957264957265
C01,edge_last5_xgdpg,>=,0.46630900000000003,0.15604155035382497,26,-0.02692307692307688,48,0.27375,14,-0.21214285714285716,31,0.26225806451612904,0.10564189189189188,0.1475913978494624,0.079002079002079,0.15396825396825387
C01,edge_last5_ppg,>=,0.40000000000000013,0.13011073689310912,17,-0.11882352941176473,57,0.2536842105263158,11,-0.2218181818181818,34,0.22352941176470587,0.08557610241820768,0.10886274509803921,0.12877583465818765,0.14747474747474743
C01,edge_venue5_ppg,<=,0.0,0.11671504045867867,18,-0.024444444444444442,56,0.22999999999999998,17,-0.07529411764705882,28,0.22999999999999998,0.06189189189189187,0.11533333333333333,0.09609609609609615,0.09934640522875815
C01,sel_season_ppg,>=,1.485714285714286,0.10886429224877531,15,-0.15133333333333335,59,0.2493220338983051,8,-0.20750000000000002,37,0.18432432432432427,0.08121392579019698,0.06965765765765762,0.14054054054054055,0.13611111111111107
C01,opp_season_gdpg,<=,-0.21388888888888888,0.0827984806744892,15,0.03599999999999997,59,0.20169491525423733,8,-0.21750000000000005,37,0.1864864864864865,0.033586807146129216,0.07181981981981984,0.0738738738738739,0.13611111111111107
C01,opp_prior_games,<=,10.600000000000001,0.08221104730222992,15,0.021999999999999947,59,0.20525423728813558,6,-0.2916666666666667,39,0.17717948717948717,0.037146129180027465,0.06251282051282052,0.0738738738738739,0.1777777777777778
C02,edge_last5_xgdpg,>=,0.13303100000000012,0.26483012625889363,19,0.041578947368421056,35,0.4074285714285714,15,-0.13866666666666666,22,0.6918181818181818,0.12872486772486774,0.33668304668304666,0.11890838206627685,0.22162162162162158
C02,opp_venue5_ppg,>=,1.6,0.248237640703363,13,-0.011538461538461565,41,0.3707317073170732,11,-0.41,26,0.6788461538461538,0.09202800361336955,0.32371101871101865,0.131054131054131,0.3488943488943489
C02,edge_last10_xgfpg,>=,0.30047500000000005,0.2424675293001064,19,-0.20842105263157898,35,0.543142857142857,8,-0.15750000000000003,29,0.496551724137931,0.26443915343915336,0.1414165890027959,0.22417153996101358,0.2466216216216216
C02,opp_last5_xgfpg,<=,1.056363,0.2180404903307406,19,0.018421052631578904,35,0.42,14,-0.027857142857142865,23,0.5882608695652174,0.1412962962962963,0.23312573443008228,0.11890838206627685,0.193050193050193
C02,edge_last5_xgfpg,>=,0.466513,0.2071006890294565,19,0.01842105263157893,35,0.42000000000000004,15,0.039333333333333324,22,0.5704545454545455,0.14129629629629636,0.21531941031941043,0.11890838206627685,0.15495495495495493
