year,bets,wins,win_rate,profit,roi,ci_low,ci_high
2021,6,3,0.5,-113.7244111820383,-0.3790813706067943,,
2022,4,4,1.0,39.62842712842713,0.19814213564213565,,
2023,6,6,1.0,66.11235767112399,0.2203745255704133,,
