group,rule,bets,wins,win_rate,profit,roi,ci_low,ci_high
PFL,70%+ market favorite,46,35,0.7608695652173914,-148.11020582138647,-0.06439574166147238,-0.2231010169743341,0.07971778177198376
PFL,70%+ favorite younger,24,20,0.8333333333333334,15.35074769434074,0.01279228974528395,-0.18883093883251864,0.17509105461867572
PFL,70%+ favorite >=2y younger,19,16,0.8421052631578947,20.860873162093327,0.021958813854835082,-0.18746119909214568,0.2051821275968549
PFL,70%+ favorite >=3y younger,16,13,0.8125,-7.983626382487195,-0.009979532978108994,-0.24790307944376352,0.20696329293661
PFL,70%+ favorite >=4y younger,14,12,0.8571428571428571,35.52286712400633,0.05074695303429476,-0.2141699545016935,0.2361118971512235
PFL,70%+ favorite >=5y younger,10,8,0.8,-6.467007408241089,-0.012934014816482178,-0.3777609025941896,0.2463331021248151
PFL,70%+ favorite >=7y younger,6,5,0.8333333333333334,5.437754496520822,0.018125848321736072,,
PFL,70%+ favorite >=10y younger,3,2,0.6666666666666666,-29.78142076502732,-0.19854280510018213,,
PFL,70%+ favorite older,22,15,0.6818181818181818,-163.4609535157272,-0.14860086683247928,-0.3964684957085387,0.0826542954324402
PFL+WSOF lineage,70%+ market favorite,46,35,0.7608695652173914,-148.11020582138647,-0.06439574166147238,-0.2231010169743341,0.07971778177198376
PFL+WSOF lineage,70%+ favorite younger,24,20,0.8333333333333334,15.35074769434074,0.01279228974528395,-0.18883093883251864,0.17509105461867572
PFL+WSOF lineage,70%+ favorite >=2y younger,19,16,0.8421052631578947,20.860873162093327,0.021958813854835082,-0.18746119909214568,0.2051821275968549
PFL+WSOF lineage,70%+ favorite >=3y younger,16,13,0.8125,-7.983626382487195,-0.009979532978108994,-0.24790307944376352,0.20696329293661
PFL+WSOF lineage,70%+ favorite >=4y younger,14,12,0.8571428571428571,35.52286712400633,0.05074695303429476,-0.2141699545016935,0.2361118971512235
PFL+WSOF lineage,70%+ favorite >=5y younger,10,8,0.8,-6.467007408241089,-0.012934014816482178,-0.3777609025941896,0.2463331021248151
PFL+WSOF lineage,70%+ favorite >=7y younger,6,5,0.8333333333333334,5.437754496520822,0.018125848321736072,,
PFL+WSOF lineage,70%+ favorite >=10y younger,3,2,0.6666666666666666,-29.78142076502732,-0.19854280510018213,,
PFL+WSOF lineage,70%+ favorite older,22,15,0.6818181818181818,-163.4609535157272,-0.14860086683247928,-0.3964684957085387,0.0826542954324402
