org_group,event_date,event_name,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,best_odds,best_book,books,won,profit,bfo_event,bfo_href
PFL,2021-06-10,Professional Fighters League - PFL 4: 2021 Regular Season,Clay Collard,Joilton Lutterbach,Clay Collard,Joilton Lutterbach,28.25246240511441,28.594700780987974,0.3422383758735634,0.6702870442203258,-225,BetWay,3,True,22.22222222222222,PFL 2021 4: Shields vs. Elkin,/events/pfl-2021-4-shields-vs-elkin-2140
PFL,2021-06-10,Professional Fighters League - PFL 4: 2021 Regular Season,Bubba Jenkins,Bobby Moffett,Bubba Jenkins,Bobby Moffett,33.34496943811303,31.025962203193767,-2.3190072349192654,0.6448877402681311,-200,BetWay,2,True,25.0,PFL 2021 4: Shields vs. Elkin,/events/pfl-2021-4-shields-vs-elkin-2140
PFL,2021-06-10,Professional Fighters League - PFL 4: 2021 Regular Season,Brendan Loughnane,Tyler Diamond,Brendan Loughnane,Tyler Diamond,31.513309650437723,30.2319691711671,-1.2813404792706216,0.7406989853438556,-350,BetWay,3,True,14.285714285714285,PFL 2021 4: Shields vs. Elkin,/events/pfl-2021-4-shields-vs-elkin-2140
PFL,2021-06-10,Professional Fighters League - PFL 4: 2021 Regular Season,Natan Schulte,Alex Martinez,Natan Schulte,Alex Martinez,29.303818695797997,27.055997043060433,-2.2478216527375636,0.736842105263158,-335,DraftKings,3,True,14.925373134328357,PFL 2021 4: Shields vs. Elkin,/events/pfl-2021-4-shields-vs-elkin-2140
PFL,2021-06-10,Professional Fighters League - PFL 4: 2021 Regular Season,Sheymon Moraes,Jesse Stirn,Sheymon Moraes,Jesse Stirn,30.664558478271285,29.120378926329767,-1.544179551941518,0.6899229229580729,-265,DraftKings,2,True,18.867924528301888,PFL 2021 4: Shields vs. Elkin,/events/pfl-2021-4-shields-vs-elkin-2140
PFL,2021-06-10,Professional Fighters League - PFL 4: 2021 Regular Season,Loik Radzhabov,Akhmed Aliev,Akhmed Aliev,Loik Radzhabov,31.42843453322108,30.73026824643901,-0.6981662867820688,0.6204839015641437,-188,BetWay,2,False,-50.0,PFL 2021 4: Shields vs. Elkin,/events/pfl-2021-4-shields-vs-elkin-2140
PFL,2021-06-17,Professional Fighters League - PFL 5: 2021 Regular Season,Gleison Tibau,Rory MacDonald,Rory MacDonald,Gleison Tibau,31.904830352437077,37.695503672217775,5.790673319780698,0.8658536585365854,-1000,BetWay,3,False,-50.0,PFL 2021 5,/events/pfl-2021-5-2175
PFL,2021-06-17,Professional Fighters League - PFL 5: 2021 Regular Season,Chris Camozzi,Cezar Ferreira,Cezar Ferreira,Chris Camozzi,36.33476388974449,34.57428968425087,-1.7604742054936153,0.7280000000000001,575,DraftKings,3,False,-50.0,PFL 2021 5,/events/pfl-2021-5-2175
PFL,2021-06-17,Professional Fighters League - PFL 5: 2021 Regular Season,Sadibou Sy,Alexey Kunchenko,Alexey Kunchenko,Sadibou Sy,37.12601901476416,34.55512433520195,-2.5708946795622083,0.5877096723624392,460,DraftKings,3,False,-50.0,PFL 2021 5,/events/pfl-2021-5-2175
PFL,2021-06-17,Professional Fighters League - PFL 5: 2021 Regular Season,Tom Lawlor,Jordan Young,Jordan Young,Tom Lawlor,26.56591168880949,38.09250018823111,11.526588499421617,0.7798679207524515,650,DraftKings,3,False,-50.0,PFL 2021 5,/events/pfl-2021-5-2175
PFL,2021-06-17,Professional Fighters League - PFL 5: 2021 Regular Season,Magomed Magomedkerimov,Curtis Millender,Magomed Magomedkerimov,Curtis Millender,31.433910347235056,33.54483664962319,2.110926302388137,0.8851517637407711,-1205,BetWay,3,True,4.149377593360995,PFL 2021 5,/events/pfl-2021-5-2175
PFL,2021-06-17,Professional Fighters League - PFL 5: 2021 Regular Season,Joao Zeferino,Jason Ponet,Joao Zeferino,Jason Ponet,35.42030294941032,32.515383614995514,-2.9049193344148065,0.7894736842105263,-450,FanDuel,3,True,11.11111111111111,PFL 2021 5,/events/pfl-2021-5-2175
