group,band,bets,wins,win_rate,profit,roi,ci_low,ci_high
PFL,70-74.9,5,4,0.8,7.872157872157869,0.03148863148863148,,
PFL,75-79.9,4,3,0.75,-16.388888888888886,-0.08194444444444443,,
PFL,80-84.9,6,6,1.0,50.533104634243834,0.16844368211414612,,
PFL,85-89.9,1,0,0.0,-50.0,-1.0,,
