method_id,source,name,base_n,base_wins,base_win_pct,base_roi,filtered_n,filtered_wins,filtered_losses,filtered_win_pct,filtered_roi,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,positive_seasons,active_seasons,top_team,top_team_share,max_overlap,final_odds_range,price_decision,single_veto,status
RS001,TF001,Heavy-road schedule + pressure edge,86,48,0.5581395348837209,0.3929069767441861,60,40,20,0.6666666666666666,0.6693333333333336,26,0.6526923076923077,16,0.42375,18,0.7777777777777778,0.9116666666666666,0.85,17,20,GB,0.08333333333333333,0.14479638009049775,+122 to +186,REVERT_TO_ORIGINAL_AFTER_HOLDOUT_REJECT,opp_prior_road_miles_last3 <= 1084.2572731409475,SHADOW_READY
RS002,TF003,Run-heavy + punt-net edge,116,72,0.6206896551724138,0.5026724137931035,86,61,25,0.7093023255813954,0.7183720930232558,48,0.639375,12,0.9391666666666666,26,0.7307692307692307,0.7623076923076921,0.8421052631578947,16,19,WAS,0.09302325581395349,0.22633744855967078,-100 to +186,REVERT_TO_ORIGINAL_AFTER_HOLDOUT_REJECT,recent_edge_def_allowed_pass_epa_per_dropback >= 0.1544327526509944,SHADOW_READY
RS003,TF012,Run-heavy + defensive YPP edge,182,104,0.5714285714285714,0.36934065934065935,140,87,53,0.6214285714285714,0.4949285714285715,63,0.4601587301587302,31,0.5422580645161291,46,0.6304347826086957,0.5106521739130435,0.85,17,20,TEN,0.10714285714285714,0.09641255605381166,-100 to +186,REVERT_TO_ORIGINAL_AFTER_HOLDOUT_REJECT,rank_edge_def_allowed_giveaway_rate >= 9.400000000000006,SHADOW_READY
