method_id,feature,op,threshold,pre_score,confirmed_holdout,base_train_roi,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,train_loss_lift,base_validation_roi,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,validation_loss_lift,base_holdout_roi,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_loss_lift,holdout_retained_share,pre_risk_n
RS001,opp_prior_road_miles_last3,<=,1084.2572731409475,0.9527018705338377,True,0.2615,14,0.21428571428571427,-0.4649999999999999,0.6526923076923077,0.2857142857142857,0.30619047619047624,5,0.4,-0.07000000000000002,0.42375,0.12380952380952381,0.6759999999999999,7,0.42857142857142855,0.06999999999999999,0.9116666666666666,0.25142857142857145,0.72,19
RS002,recent_edge_def_allowed_pass_epa_per_dropback,>=,0.1544327526509944,1.1682669767773863,True,0.5151666666666667,12,0.4166666666666667,0.018333333333333368,0.639375,0.19999999999999996,0.47894736842105273,7,0.2857142857142857,-0.31,0.9391666666666666,0.3458646616541353,0.49459459459459454,11,0.36363636363636365,-0.13818181818181818,0.7623076923076921,0.25798525798525795,0.7027027027027027,19
RS003,rank_edge_def_allowed_giveaway_rate,>=,9.400000000000006,0.7817515225587184,True,0.3832911392405063,16,0.4375,0.08062500000000003,0.4601587301587302,0.11946202531645567,0.3364102564102564,8,0.25,-0.46125,0.5422580645161291,0.33974358974358976,0.3721875,18,0.4444444444444444,0.01833333333333335,0.5106521739130435,0.13368055555555558,0.71875,24
