market_band,bets,wins,win_rate,profit,roi,ci_low,ci_high
70-74.9%,1,0,0.0,-50.0,-1.0,,
75-79.9%,5,5,1.0,62.57795366208499,0.25031181464833996,,
80-84.9%,6,6,1.0,56.30651027745459,0.1876883675915153,,
85-89.9%,2,2,1.0,9.555555555555555,0.09555555555555556,,
