segment,bets,wins,win_rate,profit,roi,ci_low,ci_high
2024,1,1,1.0,11.11111111111111,0.2222222222222222,,
2025,11,10,0.9090909090909091,48.93063998571562,0.08896479997402841,-0.142938287450417,0.22634162897012222
2026,2,2,1.0,18.398268398268396,0.18398268398268397,,
2024-current,14,13,0.9285714285714286,78.44001949509511,0.11205717070727873,-0.0710716463613909,0.21955788491548014
