segment,bets,wins,win_rate,profit,roi,ci_low,ci_high
2024,1,1,1.0,11.11111111111111,0.2222222222222222,,
2025,6,5,0.8333333333333334,-1.6680113906027536,-0.005560037968675846,,
2026,1,1,1.0,11.904761904761903,0.23809523809523805,,
2024-current,8,7,0.875,21.34786162527026,0.05336965406317565,,
