event_name,event_date,status,score,href,bfo_label,matched_fights,bfo_bouts
UFC 326 - Holloway vs. Oliveira 2,2026-03-07,ok,210.0,/events/ufc-326-4065,UFC 326,1.0,12.0
UFC Fight Night 269 - Emmett vs. Vallejos,2026-03-14,no_odds_rows,85.5,/events/ufc-on-fox-28-stephens-vs-emmett-1425,UFC on FOX 28: Stephens vs. Emmett,,
UFC Fight Night 270 - Evloev vs. Murphy,2026-03-21,ok,85.5,/events/ufc-270-2322,UFC 270,0.0,56.0
UFC Fight Night 271 - Adesanya vs. Pyfer,2026-03-28,no_odds_rows,85.5,/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503,UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,,
UFC Fight Night 272 - Moicano vs. Duncan,2026-04-04,no_odds_rows,85.5,/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,,
UFC 327 - Prochazka vs. Ulberg,2026-04-11,ok,210.0,/events/ufc-327-4074,UFC 327,4.0,50.0
UFC Fight Night 273 - Burns vs. Malott,2026-04-18,no_odds_rows,85.5,/events/ufc-on-espn-9-woodley-vs-burns-1910,UFC on ESPN 9: Woodley vs. Burns,,
UFC Fight Night 274 - Sterling vs. Zalal,2026-04-25,ok,85.5,/events/ufc-292-sterling-vs-o-malley-2899,UFC 292: Sterling vs O'Malley,0.0,12.0
UFC Fight Night 275 - Della Maddalena vs. Prates,2026-05-02,ok,85.5,/events/ufc-275-2457,UFC 275,0.0,8.0
UFC 328 - Chimaev vs. Strickland,2026-05-09,ok,210.0,/events/ufc-328-4165,UFC 328,7.0,53.0
UFC Fight Night 276 - Allen vs. Costa,2026-05-16,no_odds_rows,85.5,/events/ufc-253-adesanya-vs-costa-1952,UFC 253: Adesanya vs. Costa,,
