event_date,year,event_name,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,best_odds,best_book,book_count,won,profit,event_match_score,fight_match_score,bfo_event,bfo_href
2025-08-16,2025,UFC 319 - Du Plessis vs. Chimaev,Baisangur Susurkaev,Eric Nolan,Baisangur Susurkaev,Eric Nolan,24.60283236479873,27.92391356427579,3.32108119947706,0.8720930232558138,-900,FanDuel,6,True,5.555555555555555,90.0,97.36842105263159,UFC 319,/events/ufc-319-3800
2025-08-16,2025,UFC 319 - Du Plessis vs. Chimaev,Dricus Du Plessis,Khamzat Chimaev,Khamzat Chimaev,Dricus Du Plessis,31.29427708987864,31.587233139626413,0.29295604974777234,0.6978851963746223,-180,DraftKings,7,True,27.77777777777778,90.0,100.0,UFC 319,/events/ufc-319-3800
2025-08-16,2025,UFC 319 - Du Plessis vs. Chimaev,Carlos Prates,Geoff Neal,Carlos Prates,Geoff Neal,31.99791919067469,34.96854829325722,2.9706291025825315,0.6366957467164699,-185,BetMGM,6,True,27.027027027027028,90.0,100.0,UFC 319,/events/ufc-319-3800
2025-08-16,2025,UFC 319 - Du Plessis vs. Chimaev,Michael Page,Jared Cannonier,Michael Page,Jared Cannonier,38.36081507491598,41.41905720172214,3.0582421268061566,0.6501792751071458,-200,BetWay,6,True,25.0,90.0,100.0,UFC 319,/events/ufc-319-3800
2025-08-16,2025,UFC 319 - Du Plessis vs. Chimaev,Kai Asakura,Tim Elliott,Kai Asakura,Tim Elliott,31.79257616515055,38.64555740364278,6.852981238492234,0.7306525679737945,-300,BetMGM,6,False,-50.0,90.0,100.0,UFC 319,/events/ufc-319-3800
2025-10-04,2025,UFC 320 - Ankalaev vs. Pereira 2,Austin Vanderford,Ramiz Brahimaj,Austin Vanderford,Ramiz Brahimaj,35.54077085771782,32.879525246924985,-2.6612456107928324,0.7167957905270564,-275,BetWay,6,False,-50.0,90.0,100.0,UFC 320,/events/ufc-320-3853
2025-10-04,2025,UFC 320 - Ankalaev vs. Pereira 2,Chris Gutierrez,Farid Basharat,Farid Basharat,Chris Gutierrez,28.173063101911744,34.45382177594338,6.280758674031638,0.8172296624313754,-500,BetMGM,6,True,10.0,90.0,100.0,UFC 320,/events/ufc-320-3853
2025-10-04,2025,UFC 320 - Ankalaev vs. Pereira 2,Nikolay Veretennikov,Punahele Soriano,Punahele Soriano,Nikolay Veretennikov,32.86583571189004,35.78444458133979,2.9186088694497485,0.7581951888321077,-333,BetWay,6,True,15.015015015015015,90.0,100.0,UFC 320,/events/ufc-320-3853
2025-10-04,2025,UFC 320 - Ankalaev vs. Pereira 2,Yana Santos,Macy Chiasson,Macy Chiasson,Yana Santos,34.19098270327248,35.89669876862632,1.7057160653538403,0.6416108403615624,-200,BetRivers,6,False,-50.0,90.0,100.0,UFC 320,/events/ufc-320-3853
2025-10-25,2025,UFC 321 - Aspinall vs. Gane,Umar Nurmagomedov,Mario Bautista,Umar Nurmagomedov,Mario Bautista,29.81033149209087,32.31825431049234,2.5079228184014717,0.8274022115043833,-560,BetRivers,6,True,8.928571428571429,85.5,100.0,UFC 321 Odds,/events/ufc-321-odds-3780
2025-10-25,2025,UFC 321 - Aspinall vs. Gane,Alexander Volkov,Jailton Almeida,Jailton Almeida,Alexander Volkov,34.333353867635886,37.00281319944968,2.6694593318137976,0.6232399566239235,-188,BetWay,6,False,-50.0,85.5,100.0,UFC 321 Odds,/events/ufc-321-odds-3780
2025-10-25,2025,UFC 321 - Aspinall vs. Gane,Azamat Murzakanov,Aleksandar Rakic,Aleksandar Rakic,Azamat Murzakanov,33.71732479106347,36.537369008261635,2.8200442171981663,0.5261456605068939,-110,BetWay,6,False,-50.0,85.5,100.0,UFC 321 Odds,/events/ufc-321-odds-3780
2025-10-25,2025,UFC 321 - Aspinall vs. Gane,Louie Sutherland,Valter Walker,Valter Walker,Louie Sutherland,27.86367961012204,31.710438954940894,3.846759344818853,0.7622751645095118,-357,BetWay,6,True,14.005602240896359,85.5,100.0,UFC 321 Odds,/events/ufc-321-odds-3780
