event_date,favorite,opponent,market_prob,won,fight_method,fight_round,fav_age,dog_age,age_gap,reach_gap,height_gap,f_fights,o_fights,f_win_pct,o_win_pct,f_last3,o_last3,f_last5,o_last5,f_layoff,o_layoff,f_sig_diff_pm,o_sig_diff_pm,f_sig_def,o_sig_def,f_td_l15,o_td_l15,f_td_a15,o_td_a15,f_td_def,o_td_def,f_sub15,o_sub15,f_ctrl15,o_ctrl15,f_ctrl_allowed15,o_ctrl_allowed15,f_ground_l15,o_ground_l15,f_finish_win_pct,o_finish_win_pct,f_finish_loss_pct,o_finish_loss_pct,style_danger_score,division
2014-05-24,Takeya Mizugaki,Francisco Rivera,0.5817328211694409,True,Decision - Unanimous,3,30.43731219669124,32.62489989527506,2.187587698583819,-1.0,-1.0,8,3,0.75,0.6666666666666666,1.0,0.6666666666666666,0.8,0.6666666666666666,169,199,1.100436681222707,0.3843913803145021,0.5981630309988519,0.611353711790393,2.096069868995633,1.0483401281304603,3.537117903930131,2.0966802562609206,0.7352941176470589,0.6,0.131004366812227,1.5725101921956903,4.098253275109171,1.581246359930111,2.646288209606986,5.958066394874782,9.956331877729257,6.814210832847992,0.1666666666666666,1.0,0.0,1.0,3,Bantamweight
2014-06-07,Scott Jorgensen,Danny Martinez,0.6976998904709748,True,Decision - Unanimous,3,31.721390582968848,28.980745668973352,-2.740644913995496,-1.0,-1.0,8,1,0.375,0.0,0.0,0.0,0.2,0.0,76,126,-0.6741573033707865,-2.6666666666666665,0.6169527896995708,0.6403940886699507,1.4192785334121822,5.0,5.144884683619161,14.0,0.6129032258064516,,0.3548196333530455,0.0,3.545239503252514,7.5166666666666675,2.128917800118274,0.0,4.4352454169130695,0.0,0.6666666666666666,,0.6,0.0,2,Flyweight
2014-07-16,Gleison Tibau,Pat Healy,0.6135617936565805,True,Decision - Unanimous,3,30.774074758550825,30.99036941210292,0.2162946535520937,-1.0,-2.0,8,2,0.625,0.0,0.3333333333333333,0.0,0.4,0.0,200,88,-0.1500267904983032,-1.5666666666666669,0.6582278481012658,0.4533333333333333,2.41114484729416,1.0,6.268976602964816,8.0,0.972972972972973,0.5,0.6429719592784426,0.0,2.770137524557957,2.8416666666666663,2.4781210930523314,4.9,3.857831755670656,0.0,0.4,,0.3333333333333333,0.0,1,Lightweight
2014-08-16,Ross Pearson,Gray Maynard,0.606060606060606,True,KO/TKO,2,29.88699288828655,35.27245597103294,5.385463082746391,-1.0,-1.0,9,3,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6,0.3333333333333333,70,259,0.7059888369286469,-2.0253164556962027,0.7020157756354075,0.5705882352941176,1.3576708402473978,4.556962025316456,3.122642932569015,6.835443037974684,0.7954545454545454,1.0,0.0,0.0,1.2264293256901493,5.670886075949368,1.7355558907829234,0.2658227848101265,2.1722733443958364,9.113924050632912,0.4,0.0,0.5,1.0,3,Lightweight
2014-10-25,Darren Elkins,Lucas Martins,0.6734693877551021,True,Decision - Split,3,30.44278801070521,25.952620519244064,-4.490167491461151,-1.0,-2.0,8,3,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,423,101,1.0357958872810358,-0.6404269513008672,0.5661971830985916,0.6153846153846154,2.7418126428027416,0.0,6.169078446306169,0.600400266844563,0.3333333333333333,0.7142857142857143,1.5993907083015992,0.0,5.917745620715918,0.200133422281521,1.7288651942117286,2.151434289526351,14.166031987814163,3.002001334222815,0.3333333333333333,1.0,1.0,1.0,0,Featherweight
2015-04-04,Dustin Poirier,Diego Ferreira,0.5798319327731092,True,KO/TKO,1,26.204507963887007,30.20732800810421,4.002820044217199,-2.0,0.0,10,3,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,189,161,1.9067796610169487,0.0444115470022205,0.6056971514242879,0.5968992248062015,1.9067796610169487,0.6661732050333087,5.373651771956856,1.3323464100666174,0.7222222222222222,0.5,1.386748844375963,1.998519615099926,5.350539291217258,1.0325684678016285,1.9183359013867487,6.484085862324205,7.800462249614792,7.327905255366396,0.625,1.0,0.5,0.0,2,Lightweight
2015-06-20,Dennis Siver,Tatsuya Kawajiri,0.5798319327731092,False,Decision - Unanimous,3,36.43332854199607,37.1178052937432,0.6844767517471269,1.0,-1.0,9,2,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6,0.5,153,435,0.6706625627733679,-0.7200000000000001,0.6663265306122449,0.2978723404255319,0.8747772557913494,2.8800000000000003,3.0617203952697225,12.240000000000002,0.7647058823529411,0.7,0.2915924185971164,1.4400000000000002,1.987688320103677,4.968000000000001,1.4895512716669363,6.540000000000001,1.457962092985582,18.72,0.1666666666666666,1.0,0.6666666666666666,0.0,4,Featherweight
2015-07-15,Tony Ferguson,Josh Thomson,0.7065820777160983,True,Decision - Unanimous,3,31.420220812200117,36.81389761596747,5.393676803767356,5.0,1.0,8,2,0.875,0.5,1.0,0.5,1.0,0.5,137,536,0.662739322533137,-0.3557312252964427,0.7023622047244095,0.593939393939394,0.8836524300441827,2.2233201581027666,1.325478645066274,5.335968379446641,0.8095238095238095,0.0,1.5463917525773196,0.0,0.8836524300441827,4.098320158102767,2.70618556701031,2.623517786561265,1.325478645066274,4.446640316205533,0.7142857142857143,1.0,0.0,0.0,3,Lightweight
2015-08-01,Iuri Alcantara,Leandro Issa,0.6888888888888889,True,Decision - Unanimous,3,34.99045154931313,31.86649965433924,-3.1239518949738887,2.0,2.0,9,1,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6,0.0,160,574,0.176034589252625,-2.604340567612688,0.5011655011655012,0.5,1.8066707844348364,3.005008347245409,2.6405188387893763,15.025041736227047,0.5,,0.5558987029030266,1.5025041736227047,3.089870290302656,2.253756260434057,6.541074737492279,6.36060100166945,9.86720197652872,4.507512520868114,0.3333333333333333,,0.0,1.0,3,Bantamweight
2016-01-30,Alex Caceres,Masio Fullen,0.7195253505933118,True,Decision - Unanimous,3,27.6117921654791,29.31750823083294,1.7057160653538403,3.0,0.0,10,1,0.4,0.0,0.0,0.0,0.4,0.0,238,224,1.4217098943323725,0.594059405940594,0.5972696245733788,,0.2881844380403458,0.0,0.2881844380403458,0.0,0.5531914893617021,0.0,1.729106628242075,0.0,2.3679154658981747,0.0,4.803073967339096,11.732673267326732,2.7377521613832854,0.0,0.5,,0.6666666666666666,1.0,0,Featherweight
2016-02-21,Donald Cerrone,Alex Oliveira,0.7065820777160984,True,Submission,1,32.9014285029809,28.000574960471468,-4.900853542509431,-3.0,2.0,16,3,0.8125,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,274,106,-0.2866798741405431,0.5011933174224344,0.5179621162638799,0.5238095238095238,1.2585945693975062,1.6109785202863964,3.1464864234937657,4.832935560859189,0.896551724137931,0.5714285714285714,0.5244144039156275,0.5369928400954654,1.7760167812609255,4.125894988066826,0.8722759585129939,4.036396181384249,6.607621489336908,1.0739856801909309,0.6923076923076923,1.0,0.3333333333333333,1.0,3,Welterweight
2016-02-21,Chris Camozzi,Joe Riggs,0.6636481241914618,True,KO/TKO,1,29.2545363696722,33.41341711328775,4.158880743615548,5.0,2.0,12,3,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,197,169,0.7293713163064833,0.3843416370106762,0.5608614232209738,0.4615384615384615,0.3315324165029469,3.2028469750889683,1.5471512770137523,3.2028469750889683,0.6938775510204082,0.5,0.5525540275049117,0.0,1.946832023575639,5.530249110320285,2.252578585461689,4.3558718861209975,0.0,14.733096085409256,0.3333333333333333,0.0,0.5,0.5,3,Middleweight
2016-07-23,Edson Barboza,Gilbert Melendez,0.6935031297215627,True,Decision - Unanimous,3,30.503021964858963,34.281333634503106,3.7783116696441432,2.0,2.0,12,2,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6,0.5,91,406,0.6226249634609763,2.0,0.6476190476190475,0.6958333333333333,0.2630809704764689,0.5,1.0523238819058756,1.0,0.8421052631578947,0.7647058823529411,0.1315404852382344,0.0,0.4340836012861736,0.2833333333333333,0.9536685179771996,2.3,2.36772873428822,1.0,0.5,0.0,0.75,0.0,0,Lightweight
2016-07-23,Darren Elkins,Godofredo Pepey,0.679245283018868,True,Decision - Unanimous,3,32.18683477415689,29.06014497217602,-3.126689801980873,-2.0,3.0,11,3,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,140,490,1.5634884771802982,-1.8461538461538465,0.5775401069518716,0.4651162790697675,2.8468142792589246,0.0,7.862629914143696,7.912087912087912,0.3,0.6666666666666667,1.0845006778129236,1.978021978021978,6.150022593764122,1.3186813186813189,2.2955264347040214,6.197802197802198,15.589697243560776,0.0,0.25,1.0,0.6666666666666666,1.0,1,Featherweight
2016-12-10,Rustam Khabilov,Jason Saggo,0.6581196581196581,True,Decision - Unanimous,3,30.10054963483165,31.047865459249675,0.9473158244180232,2.0,-3.0,8,3,0.75,0.6666666666666666,1.0,0.6666666666666666,0.6,0.6666666666666666,98,175,0.4164497657470067,-0.0579430226943505,0.6536697247706422,0.467741935483871,4.372722540343571,3.0420086914534044,9.370119729307651,7.822308063737325,0.5714285714285714,0.1999999999999999,0.1561686621551275,0.0,3.565851119208746,5.656687590535973,1.7230609057782404,2.42636407532593,9.994794377928162,17.817479478512798,0.3333333333333333,0.5,0.5,0.0,3,Lightweight
