family,rule,n,wins,win_rate,roi,profit100,pre2020_n,pre2020_roi,recent_n,recent_roi,existing_overlap
RING_RUST_EDGE,mkt 0.550-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,86,52,0.6046511627906976,-0.03826621480998886,-329.0894473659042,41,-0.17626972087078724,45,0.08747031293429411,0.08139534883720931
RING_RUST_EDGE,mkt 0.550-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,96,60,0.625,-0.026415393892843073,-253.5877813712935,45,-0.18915245775833353,51,0.11717613304729559,0.11458333333333333
RING_RUST_EDGE,mkt 0.550-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,109,69,0.6330275229357798,-0.034103516975010684,-371.7283350276165,54,-0.17819082254940186,55,0.10736401940711879,0.21100917431192662
RING_RUST_EDGE,mkt 0.550-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,117,75,0.6410256410256411,-0.03459615406217792,-404.77500252748166,59,-0.13892667002865663,58,0.07153316390372283,0.24786324786324787
RING_RUST_EDGE,mkt 0.550-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,123,79,0.6422764227642277,-0.041459001451796915,-509.94571785710207,60,-0.15327789219484564,63,0.06503518020824951,0.2764227642276423
RING_RUST_EDGE,mkt 0.575-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,69,40,0.5797101449275363,-0.10039370444545692,-692.7165606736528,33,-0.1333403094434107,36,-0.07019264986399928,0.10144927536231885
RING_RUST_EDGE,mkt 0.575-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,79,48,0.6075949367088608,-0.07812846768089139,-617.214894679042,37,-0.15364952040689964,42,-0.011598016469884145,0.13924050632911392
RING_RUST_EDGE,mkt 0.575-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,92,57,0.6195652173913043,-0.07992994003645272,-735.355448335365,46,-0.14772774073039072,46,-0.012132139342514689,0.25
RING_RUST_EDGE,mkt 0.575-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,100,63,0.63,-0.07684021158352301,-768.4021158352301,51,-0.10529108211021601,49,-0.04722808103533237,0.29
RING_RUST_EDGE,mkt 0.575-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,106,67,0.6320754716981132,-0.08241253124196704,-873.5728311648506,52,-0.1224970228388657,54,-0.04381265044495352,0.32075471698113206
RING_RUST_EDGE,mkt 0.600-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,51,28,0.5490196078431373,-0.1713203667219182,-873.7338702817827,24,-0.29451583365426076,27,-0.06181328500428031,0.13725490196078433
