threshold,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi
-0.1,17,16,1,0.9411764705882353,0.361004643494504,8,0.4469275064265253,9,0.2846287653327073
-0.05,17,16,1,0.9411764705882353,0.361004643494504,8,0.4469275064265253,9,0.2846287653327073
0.0,26,24,2,0.9230769230769231,0.3430686620137209,12,0.4453983600643727,14,0.25535749225601945
0.05,26,24,2,0.9230769230769231,0.3430686620137209,12,0.4453983600643727,14,0.25535749225601945
0.1,29,26,3,0.896551724137931,0.30244307041875784,12,0.4453983600643727,17,0.20153345419832386
0.15,29,26,3,0.896551724137931,0.30244307041875784,12,0.4453983600643727,17,0.20153345419832386
0.2,29,26,3,0.896551724137931,0.30244307041875784,12,0.4453983600643727,17,0.20153345419832386
0.25,29,26,3,0.896551724137931,0.30244307041875784,12,0.4453983600643727,17,0.20153345419832386
0.3,29,26,3,0.896551724137931,0.30244307041875784,12,0.4453983600643727,17,0.20153345419832386
0.35,31,28,3,0.9032258064516129,0.31650620183549144,14,0.4561159668234807,17,0.20153345419832386
0.4,33,30,3,0.9090909090909091,0.334628874635177,15,0.467374902368582,18,0.2240071848573396
0.45,34,30,4,0.8823529411764706,0.29537508420473063,15,0.467374902368582,19,0.15958575407537431
0.5,37,33,4,0.8918918918918919,0.3140137956410383,17,0.4783432739259324,20,0.1743337390988783
0.55,37,33,4,0.8918918918918919,0.3140137956410383,17,0.4783432739259324,20,0.1743337390988783
0.6,41,37,4,0.9024390243902439,0.3364800548263647,18,0.4744443845581652,23,0.22850797068843393
0.65,41,37,4,0.9024390243902439,0.3364800548263647,18,0.4744443845581652,23,0.22850797068843393
0.7,44,39,5,0.8863636363636364,0.30906164888434673,19,0.39684204852878807,25,0.24234854515457133
0.75,47,42,5,0.8936170212765957,0.31705713516883605,21,0.40573290851951044,26,0.2454343951548298
0.8,48,42,6,0.875,0.28961844485281857,22,0.3418359581322599,26,0.2454343951548298
