event_date,year,favorite,opponent,won,market_prob,fav_decimal,profit100,age_adv,reach_adv,f_fights,o_fights,exp_gap,f_win_pct,o_win_pct,winpct_gap,f_last3,o_last3,last3_gap,f_last5,o_last5,last5_gap,f_layoff,o_layoff,layoff_gap,f_sig_l_pm,o_sig_l_pm,f_sig_abs_pm,o_sig_abs_pm,f_sig_diff_pm,o_sig_diff_pm,sig_diff_gap,f_sig_acc,o_sig_acc,f_sig_def,o_sig_def,sig_def_gap,f_kd15,o_kd15,kd_gap,f_kd_abs15,o_kd_abs15,kd_abs_gap,f_td_l15,o_td_l15,td_l_gap,f_td_a15,o_td_a15,td_a_gap,f_td_acc,o_td_acc,f_td_def,o_td_def,td_def_gap,f_sub15,o_sub15,sub_gap,f_ctrl15,o_ctrl15,ctrl_gap,f_ctrl_allowed15,o_ctrl_allowed15,ctrl_allowed_gap,f_ground_l15,o_ground_l15,ground_gap,f_finish_win_pct,o_finish_win_pct,finish_win_gap,f_finish_loss_pct,o_finish_loss_pct,finish_loss_safety_gap
2014-05-24,2014,Takeya Mizugaki,Francisco Rivera,True,0.5817328211694409,1.6896551724137931,68.96551724137932,,,8,3,5,0.75,0.6666666666666666,0.08333333333333337,1.0,0.6666666666666666,0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,169,199,30,4.157205240174672,3.4944670937682005,3.056768558951965,3.1100757134536985,1.100436681222707,0.3843913803145021,0.7160453009082051,0.4193832599118943,0.4201680672268907,0.5981630309988519,0.611353711790393,-0.013190680791541065,0.2620087336244541,1.0483401281304603,-0.7863313945060062,0.0,0.5241700640652301,0.5241700640652301,2.096069868995633,1.0483401281304603,1.047729740865173,3.537117903930131,2.0966802562609206,1.4404376476692105,0.5925925925925926,0.5,0.7352941176470589,0.6,0.1352941176470589,0.131004366812227,1.5725101921956903,-1.4415058253834634,4.098253275109171,1.581246359930111,2.51700691517906,2.646288209606986,5.958066394874782,3.311778185267796,9.956331877729257,6.814210832847992,3.1421210448812653,0.1666666666666666,1.0,-0.8333333333333334,0.0,1.0,1.0
2014-06-07,2014,Scott Jorgensen,Danny Martinez,True,0.6976998904709748,1.4081632653061225,40.81632653061224,,,8,1,7,0.375,0.0,0.375,0.0,0.0,0.0,0.2,0.0,0.2,76,126,50,3.548196333530456,2.2,4.222353636901242,4.866666666666666,-0.6741573033707865,-2.6666666666666665,1.9925093632958801,0.38860103626943,0.3,0.6169527896995708,0.6403940886699507,-0.023441298970379942,0.0,0.0,0.0,0.1774098166765227,0.0,-0.1774098166765227,1.4192785334121822,5.0,-3.5807214665878178,5.144884683619161,14.0,-8.85511531638084,0.2758620689655172,0.3571428571428571,0.6129032258064516,,,0.3548196333530455,0.0,0.3548196333530455,3.545239503252514,7.5166666666666675,-3.9714271634141536,2.128917800118274,0.0,-2.128917800118274,4.4352454169130695,0.0,4.4352454169130695,0.6666666666666666,,,0.6,0.0,-0.6
2014-07-16,2014,Gleison Tibau,Pat Healy,True,0.6135617936565805,1.606060606060606,60.6060606060606,,,8,2,6,0.625,0.0,0.625,0.3333333333333333,0.0,0.3333333333333333,0.4,0.0,0.4,200,88,-112,2.7433470262546886,2.533333333333333,2.893373816752992,4.1,-0.1500267904983032,-1.5666666666666669,1.4166398761683636,0.3464140730717185,0.2957198443579766,0.6582278481012658,0.4533333333333333,0.20489451476793247,0.1607429898196106,0.0,0.1607429898196106,0.3214859796392213,0.0,-0.3214859796392213,2.41114484729416,1.0,1.41114484729416,6.268976602964816,8.0,-1.7310233970351838,0.3846153846153846,0.125,0.972972972972973,0.5,0.472972972972973,0.6429719592784426,0.0,0.6429719592784426,2.770137524557957,2.8416666666666663,-0.0715291421087092,2.4781210930523314,4.9,2.421878906947669,3.857831755670656,0.0,3.857831755670656,0.4,,,0.3333333333333333,0.0,-0.3333333333333333
2014-08-16,2014,Ross Pearson,Gray Maynard,True,0.606060606060606,1.625,62.5,,,9,3,6,0.5555555555555556,0.3333333333333333,0.22222222222222227,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.26666666666666666,70,259,189,3.783376074822749,1.6708860759493671,3.0773872378941016,3.6962025316455698,0.7059888369286469,-2.0253164556962027,2.7313052926248496,0.3895619757688723,0.34375,0.7020157756354075,0.5705882352941176,0.1314275403412899,0.5430683360989591,0.0,0.5430683360989591,0.4073012520742193,2.278481012658228,1.8711797605840088,1.3576708402473978,4.556962025316456,-3.1992911850690584,3.122642932569015,6.835443037974684,-3.7128001054056696,0.4347826086956521,0.6666666666666666,0.7954545454545454,1.0,-0.20454545454545459,0.0,0.0,0.0,1.2264293256901493,5.670886075949368,-4.444456750259219,1.7355558907829234,0.2658227848101265,-1.469733105972797,2.1722733443958364,9.113924050632912,-6.941650706237075,0.4,0.0,0.4,0.5,1.0,0.5
2014-10-25,2014,Darren Elkins,Lucas Martins,True,0.6734693877551021,1.4545454545454546,45.45454545454546,,,8,3,5,0.75,0.6666666666666666,0.08333333333333337,0.6666666666666666,0.6666666666666666,0.0,0.8,0.6666666666666666,0.13333333333333341,423,101,-322,3.381568926123381,4.162775183455637,2.3457730388423457,4.803202134756504,1.0357958872810358,-0.6404269513008672,1.6762228385819031,0.3171428571428571,0.3687943262411347,0.5661971830985916,0.6153846153846154,-0.04918743228602385,0.2284843869002284,1.200800533689126,-0.9723161467888977,0.2284843869002284,1.200800533689126,0.9723161467888977,2.7418126428027416,0.0,2.7418126428027416,6.169078446306169,0.600400266844563,5.568678179461606,0.4444444444444444,0.0,0.3333333333333333,0.7142857142857143,-0.380952380952381,1.5993907083015992,0.0,1.5993907083015992,5.917745620715918,0.200133422281521,5.717612198434397,1.7288651942117286,2.151434289526351,0.4225690953146224,14.166031987814163,3.002001334222815,11.164030653591348,0.3333333333333333,1.0,-0.6666666666666667,1.0,1.0,0.0
2015-04-04,2015,Dustin Poirier,Diego Ferreira,True,0.5798319327731092,1.6666666666666663,66.66666666666663,,,10,3,7,0.8,0.6666666666666666,0.13333333333333341,0.6666666666666666,0.6666666666666666,0.0,0.6,0.6666666666666666,-0.06666666666666665,189,161,-28,4.946070878274268,2.353811991117691,3.039291217257319,2.3094004441154703,1.9067796610169487,0.0444115470022205,1.8623681140147283,0.4942263279445728,0.3212121212121212,0.6056971514242879,0.5968992248062015,0.008797926618086427,0.6933744221879815,0.6661732050333087,0.02720121715467283,0.1733436055469953,0.0,-0.1733436055469953,1.9067796610169487,0.6661732050333087,1.24060645598364,5.373651771956856,1.3323464100666174,4.041305361890239,0.3548387096774194,0.5,0.7222222222222222,0.5,0.2222222222222222,1.386748844375963,1.998519615099926,-0.611770770723963,5.350539291217258,1.0325684678016285,4.31797082341563,1.9183359013867487,6.484085862324205,4.565749960937456,7.800462249614792,7.327905255366396,0.4725569942483965,0.625,1.0,-0.375,0.5,0.0,-0.5
2015-06-20,2015,Dennis Siver,Tatsuya Kawajiri,False,0.5798319327731092,1.6666666666666663,-100.0,,,9,2,7,0.6666666666666666,0.5,0.16666666666666663,0.6666666666666666,0.5,0.16666666666666663,0.6,0.5,0.09999999999999998,153,435,282,3.849019925481937,2.448,3.178357362708569,3.168,0.6706625627733679,-0.7200000000000001,1.390662562773368,0.3039140445126631,0.5862068965517241,0.6663265306122449,0.2978723404255319,0.368454190186713,0.4373886278956747,0.0,0.4373886278956747,0.4373886278956747,0.7200000000000001,0.2826113721043254,0.8747772557913494,2.8800000000000003,-2.005222744208651,3.0617203952697225,12.240000000000002,-9.17827960473028,0.2857142857142857,0.2352941176470588,0.7647058823529411,0.7,0.06470588235294117,0.2915924185971164,1.4400000000000002,-1.1484075814028838,1.987688320103677,4.968000000000001,-2.9803116798963236,1.4895512716669363,6.540000000000001,5.050448728333064,1.457962092985582,18.72,-17.262037907014417,0.1666666666666666,1.0,-0.8333333333333334,0.6666666666666666,0.0,-0.6666666666666666
2015-07-15,2015,Tony Ferguson,Josh Thomson,True,0.7065820777160983,1.3703703703703702,37.037037037037024,,,8,2,6,0.875,0.5,0.375,1.0,0.5,0.5,1.0,0.5,0.5,137,536,399,3.446244477172313,1.6304347826086956,2.783505154639176,1.9861660079051384,0.662739322533137,-0.3557312252964427,1.0184705478295797,0.3140939597315436,0.4263565891472868,0.7023622047244095,0.593939393939394,0.10842281078501548,0.2209131075110456,0.4446640316205533,-0.2237509241095077,0.4418262150220913,0.0,-0.4418262150220913,0.8836524300441827,2.2233201581027666,-1.339667728058584,1.325478645066274,5.335968379446641,-4.010489734380366,0.6666666666666666,0.4166666666666667,0.8095238095238095,0.0,0.8095238095238095,1.5463917525773196,0.0,1.5463917525773196,0.8836524300441827,4.098320158102767,-3.214667728058584,2.70618556701031,2.623517786561265,-0.08266778044904477,1.325478645066274,4.446640316205533,-3.121161671139259,0.7142857142857143,1.0,-0.2857142857142857,0.0,0.0,0.0
2015-08-01,2015,Iuri Alcantara,Leandro Issa,True,0.6888888888888889,1.4,39.99999999999999,,,9,1,8,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6,0.0,0.6,160,574,414,2.1587399629400865,1.7028380634390652,1.9827053736874611,4.3071786310517535,0.176034589252625,-2.604340567612688,2.780375156865313,0.469758064516129,0.3148148148148148,0.5011655011655012,0.5,0.0011655011655011815,0.2779493514515133,0.0,0.2779493514515133,0.0,0.0,0.0,1.8066707844348364,3.005008347245409,-1.1983375628105726,2.6405188387893763,15.025041736227047,-12.384522897437671,0.6842105263157895,0.2,0.5,,,0.5558987029030266,1.5025041736227047,-0.9466054707196782,3.089870290302656,2.253756260434057,0.836114029868599,6.541074737492279,6.36060100166945,-0.18047373582282855,9.86720197652872,4.507512520868114,5.3596894556606065,0.3333333333333333,,,0.0,1.0,1.0
2016-01-30,2016,Alex Caceres,Masio Fullen,True,0.7195253505933118,1.3448275862068966,34.48275862068966,,,10,1,9,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,238,224,-14,3.6887608069164255,0.594059405940594,2.267050912584053,0.0,1.4217098943323725,0.594059405940594,0.8276504883917785,0.5045992115637319,1.0,0.5972696245733788,,,0.1440922190201729,0.0,0.1440922190201729,0.4322766570605187,0.0,-0.4322766570605187,0.2881844380403458,0.0,0.2881844380403458,0.2881844380403458,0.0,0.2881844380403458,1.0,,0.5531914893617021,0.0,0.5531914893617021,1.729106628242075,0.0,1.729106628242075,2.3679154658981747,0.0,2.3679154658981747,4.803073967339096,11.732673267326732,6.929599299987635,2.7377521613832854,0.0,2.7377521613832854,0.5,,,0.6666666666666666,1.0,0.33333333333333337
