rule,n,wins,win_rate,roi,profit,pre2020_n,pre2020_roi,recent_n,recent_roi,removed_n,removed_wins,removed_losses,removed_roi,roi_lift,positive_both_eras,losses
market_60plus + market_75max,40,36,0.9,0.3004947742030249,1201.9790968120997,17,0.44347466116642703,23,0.19481398818659731,12,9,3,0.13999520273852856,0.03703836264565297,True,4
market_75max,48,42,0.875,0.28961844485281857,1390.1685352935292,22,0.3418359581322599,26,0.2454343951548298,4,3,1,-0.05048798798798804,0.02616203329544664,True,6
market_75max + favorite_sig_diff_not_worse,40,35,0.875,0.2852924738583862,1141.1698954335448,18,0.31293688032190276,22,0.262674323115509,12,10,2,0.1906695372206576,0.02183606230101426,True,5
market_75max + favorite_recent3_not_worse,45,39,0.8666666666666667,0.28176749784102595,1267.9537402846167,21,0.32835195613855805,24,0.2410060968306853,7,6,1,0.14574228544816778,0.01831108628365402,True,6
market_60plus,44,39,0.8863636363636364,0.2685872503674783,1181.7839016169046,19,0.3583862900052384,25,0.20033998024278066,8,6,2,0.23523679810178685,0.005130838810106397,True,5
market_60plus + favorite_recent3_not_worse,42,37,0.8809523809523809,0.26715931109714086,1122.0691066079917,19,0.3583862900052384,23,0.19179789373827782,10,8,2,0.24790423349034213,0.0037028995397689335,True,5
