method_id,registry_status,semantic_signature,price_band,venue,feature1,op1,threshold1,feature2,op2,threshold2,full_n,full_wins,full_win_rate,full_roi,train_roi,validation_roi,holdout_roi,full_active_seasons,full_positive_seasons,full_negative_seasons,positive_season_ratio,tier,validated_vetoes,candidate_id,deployment_status,deployment_reason,duplicate_of,max_jaccard_overlap,live_odds_range,hard_veto_source,hard_veto_feature,hard_veto_op,hard_veto_threshold,candidate_id_timing,full_n_reg,full_roi_reg,trainval_n_reg,trainval_roi_reg,holdout_n_reg,holdout_roi_reg,recommended_start_week,timing_decision,min_week,median_week,max_week,recent_delta,cleanup_status,cleanup_score
NFL-H081,WATCHLIST,MARKET_MOVEMENT+TURNOVERS,DOG35_44,AWAY,base_vs_open_prob_move,<=,-0.007362274976506,recent_edge_giveaway_rate,>=,0.0073072061146031,130,65,0.5,0.2542307692307692,0.2448076923076922,0.35725,0.1586842105263158,17,11,6,0.6470588235294118,B,,NFL-H081,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.2722222222222222,+137 to +186,COACHING,adv_dc_prior_win_pct,<=,-0.0655784650630011,NFL-H081,91.0,0.3579120879120879,69.0,0.384927536231884,22.0,0.2731818181818182,7.0,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7,4.0,11.0,17.0,-0.11174571805006583,KEEP_RESEARCH,0.3280237498806785
NFL-H065,FINAL_RESEARCH,MARKET_MOVEMENT+THIRD_DOWN,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,base_vs_open_prob_move,<=,-0.007362274976506,301,145,0.4817275747508305,0.2007641196013288,0.2584466019417476,0.2769230769230769,0.1017499999999999,20,16,4,0.8,B,,NFL-H065,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.2948207171314741,+138 to +186,COACHING,oc_prior_role_seasons,>=,2.0,NFL-H065,183.0,0.31551912568306,112.0,0.3820535714285714,71.0,0.2105633802816902,7.0,EARLY_WINDOW_WEAK_START_WEEK7,4.0,11.0,18.0,-0.1714901911468812,KEEP_RESEARCH,0.3139428821046696
NFL-H087,FINAL_RESEARCH,EXPLOSIVENESS+OTHER,DOG20_34,AWAY,recent_edge_def_allowed_explosive_rate,>=,-0.0134497070744366,recent_edge_penalty_yards,>=,14.666666666666664,168,58,0.3452380952380952,0.2791666666666666,0.4026229508196722,0.2723076923076922,0.1104761904761904,20,13,7,0.65,B,,NFL-H087,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.1107266435986159,+198 to +400,TRAVEL,travel_miles,>=,1025.2406957089884,NFL-H087,144.0,0.3186111111111112,109.0,0.3430275229357798,35.0,0.2425714285714286,7.0,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7,4.0,10.0,17.0,-0.10045609436435121,KEEP_RESEARCH,0.31307199735407787
NFL-H022,FINAL_RESEARCH,RUSHING+SPECIAL_TEAMS,DOG35_44,ANY,rank_edge_rush_epa_per_carry,>=,14.0,rank_edge_punt_return_average,>=,-9.0,129,69,0.5348837209302325,0.3222480620155039,0.2773076923076923,0.5056756756756757,0.211,19,13,6,0.6842105263157895,A,,NFL-H022,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.38,+131 to +186,COACHING,hc_prior_win_pct,>=,0.600943396226415,NFL-H022,99.0,0.397070707070707,69.0,0.4668115942028986,30.0,0.2366666666666667,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.2301449275362319,KEEP_RESEARCH,0.3119350631162158
NFL-H053,WATCHLIST,EFFICIENCY+QB_CONTEXT,DOG20_34,AWAY,qb_prior_starts,>=,38.0,rank_edge_def_allowed_success_rate,<=,-9.0,164,56,0.3414634146341463,0.2656707317073171,0.2909259259259259,0.2684905660377358,0.2391228070175439,17,11,6,0.6470588235294118,B,,NFL-H053,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.1255411255411255,+186 to +400,,,,,NFL-H053,164.0,0.2656707317073171,107.0,0.2798130841121495,57.0,0.2391228070175438,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.04069027709460571,KEEP_RESEARCH,0.30839318390026016
NFL-H075,FINAL_RESEARCH,EFFICIENCY+RUSHING,DOG35_44,ANY,rank_edge_early_down_epa,>=,6.0,rank_edge_rush_epa_per_carry,>=,14.0,93,49,0.5268817204301075,0.3010752688172043,0.3246153846153846,0.307037037037037,0.2611111111111111,18,12,6,0.6666666666666666,B,,NFL-H075,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.3971631205673759,+122 to +186,COACHING,adv_dc_prior_games,<=,-14.0,NFL-H075,89.0,0.3028089887640449,63.0,0.3363492063492063,26.0,0.2215384615384615,7.0,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7,4.0,12.0,18.0,-0.1148107448107448,KEEP_RESEARCH,0.29583077025090687
NFL-H040,FINAL_RESEARCH,EXPLOSIVENESS,DOG35_44,HOME,rank_edge_def_allowed_explosive_rate,>=,9.0,,,,81,43,0.5308641975308642,0.3262962962962963,0.4132142857142857,0.4706666666666667,0.2052631578947368,13,11,2,0.8461538461538461,A,,NFL-H040,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.0456852791878172,+122 to +186,,,,,NFL-H040,102.0,0.2205882352941176,42.0,0.4090476190476191,38.0,0.2052631578947368,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.20378446115288232,KEEP_RESEARCH,0.28382273402561664
NFL-H039,FINAL_RESEARCH,OTHER+TURNOVERS,DOG35_44,ANY,rank_edge_giveaway_rate,>=,0.0,rank_edge_penalty_yards,>=,14.0,100,52,0.52,0.2844,0.28875,0.35,0.2222222222222222,15,11,4,0.7333333333333333,A,,NFL-H039,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.0892857142857142,+122 to +186,TRAVEL,adv_prior_tz_hours_last4,<=,-2.0,NFL-H039,96.0,0.283125,61.0,0.3422950819672131,35.0,0.18,7.0,EARLY_WINDOW_WEAK_START_WEEK7,4.0,10.0,18.0,-0.1622950819672131,KEEP_RESEARCH,0.2779937685309072
NFL-H057,FINAL_RESEARCH,RED_ZONE+THIRD_DOWN,DOG35_44,AWAY,rank_edge_third_down_success,>=,0.0,rank_edge_redzone_epa,>=,1.0,224,117,0.5223214285714286,0.3105357142857143,0.4545882352941176,0.3105479452054794,0.125,20,16,4,0.8,B,,NFL-H057,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.4375,+122 to +186,COACHING,adv_hc_prior_games,<=,-25.4,NFL-H057,216.0,0.2996759259259259,151.0,0.3674172185430463,65.0,0.1423076923076923,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.22510952623535402,KEEP_RESEARCH,0.2764369732480286
NFL-H069,FINAL_RESEARCH,PASS_PROTECTION_RUSH+SPECIAL_TEAMS,DOG35_49,AWAY,recent_edge_sack_or_hit_rate,>=,-0.0437273575519235,rank_edge_punt_return_average,>=,1.0,450,214,0.4755555555555555,0.1398222222222222,0.153756906077348,0.1427067669172932,0.1184558823529411,20,15,5,0.75,B,,NFL-H069,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.3455210237659963,+100 to +186,,,,,NFL-H069,436.0,0.1588302752293578,304.0,0.1696710526315789,132.0,0.1338636363636363,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.03580741626794259,KEEP_RESEARCH,0.26636907314431724
NFL-H062,FINAL_RESEARCH,EFFICIENCY+PASSING,DOG35_49,AWAY,recent_edge_success_rate,>=,0.0,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,256,136,0.53125,0.2616406249999999,0.4078723404255319,0.2413157894736842,0.119767441860465,20,15,5,0.75,B,,NFL-H062,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.3583617747440273,+100 to +186,TRAVEL,adv_prior_road_miles_last5,<=,-305.33290256477216,NFL-H062,249.0,0.2602409638554216,165.0,0.3305454545454546,84.0,0.1221428571428571,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.20840259740259748,KEEP_RESEARCH,0.255061977888002
NFL-H079,FINAL_RESEARCH,PASSING+RED_ZONE,DOG35_44,ANY,recent_edge_redzone_epa,<=,-0.2021623351593018,recent_edge_pass_epa_per_dropback,<=,-0.1162112143325548,286,133,0.465034965034965,0.1779370629370629,0.2238053097345132,0.175625,0.1241935483870968,20,16,4,0.8,B,,NFL-H079,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.1404761904761904,+122 to +186,TRAVEL,fatigue_load_index,>=,1.6136372871199014,NFL-H079,270.0,0.1439259259259259,184.0,0.1642391304347826,86.0,0.1004651162790697,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.0637740141557129,KEEP_RESEARCH,0.2473855199737271
NFL-H086,FINAL_RESEARCH,EFFICIENCY+EXPLOSIVENESS,DOG35_49,AWAY,rank_edge_def_allowed_early_down_epa,<=,-10.0,rank_edge_def_allowed_explosive_rate,<=,-6.0,174,91,0.5229885057471264,0.2651149425287356,0.3818309859154929,0.2523529411764705,0.1182692307692307,20,13,7,0.65,B,,NFL-H086,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.4974619289340101,+100 to +186,COACHING,oc_tenure_seasons,>=,2.5,NFL-H086,168.0,0.2682738095238095,116.0,0.3355172413793104,52.0,0.1182692307692308,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.2172480106100796,KEEP_RESEARCH,0.23492167514027934
NFL-H066,FINAL_RESEARCH,OTHER+THIRD_DOWN,DOG20_34,AWAY,rank_edge_penalty_yards,>=,0.0,rank_edge_third_down_success,>=,6.0,124,46,0.3709677419354839,0.2820161290322581,0.3027659574468085,0.2795833333333333,0.2524137931034483,18,13,5,0.7222222222222222,B,,NFL-H066,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.1793103448275862,+205 to +311,COACHING,hc_prior_games,<=,25.0,NFL-H066,64.0,0.54125,48.0,0.425625,16.0,0.8881249999999999,7.0,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7,4.0,11.0,18.0,0.46249999999999997,WATCH_ONLY,0.7134253326829304
NFL-H044,FINAL_RESEARCH,RED_ZONE+SPECIAL_TEAMS,DOG35_44,AWAY,rank_edge_redzone_epa,>=,1.0,recent_edge_kick_return_average,<=,-2.1666666666666643,127,64,0.5039370078740157,0.2597637795275591,0.2864444444444444,0.325952380952381,0.16025,19,13,6,0.6842105263157895,A,,NFL-H044,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.1767955801104972,+133 to +173,COACHING,adv_oc_prior_games,>=,14.75,NFL-H044,74.0,0.3943243243243243,55.0,0.4263636363636364,19.0,0.301578947368421,7.0,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7,4.0,11.0,18.0,-0.12478468899521539,WATCH_ONLY,0.34985732861981
NFL-H096,FINAL_RESEARCH,RED_ZONE+RUSHING,DOG35_49,AWAY,rank_edge_rush_epa_per_carry,>=,14.0,rank_edge_redzone_epa,>=,6.0,91,49,0.5384615384615384,0.2676923076923077,0.4173333333333334,0.275,0.1158064516129032,15,12,3,0.8,B,,NFL-H096,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.4336283185840708,+124 to +186,COACHING,adv_dc_prior_role_seasons,>=,2.2999999999999936,NFL-H096,55.0,0.4038181818181817,38.0,0.5099999999999999,17.0,0.1664705882352941,7.0,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7,4.0,12.0,18.0,-0.3435294117647058,WATCH_ONLY,0.2795224362213133
