method_id,source,track,price_band,venue,full_n_reg,full_roi_reg,train_n_reg,train_roi_reg,validation_n_reg,validation_roi_reg,holdout_n_reg,holdout_roi_reg,min_week,median_week,max_week,recommended_start_week,timing_decision,reg_only_survives,W4_6_n,W4_6_roi,W7_10_n,W7_10_roi,W11_14_n,W11_14_roi,W15_18_n,W15_18_roi,candidate_id,positive_season_ratio,duplicate_of,max_jaccard_overlap,rule_reproducible,older_avg_roi,recent_delta,era_floor,preference_status,preference_score
NFL-NW079,NEXT_WAVE,LONG,DOG35_44,AWAY,137,0.3443065693430656,53,0.390943396226415,42,0.3307142857142857,42,0.299047619047619,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,8,0.2325,48,0.3914583333333333,46,0.2465217391304347,35,0.4337142857142857,NFL-NW079,0.7,,0.2994011976047904,True,0.36082884097035034,-0.06178122192273133,0.299047619047619,STRONG_STABLE,0.37211989412458946
NFL-NW084,NEXT_WAVE,LONG,DOG35_44,AWAY,181,0.3333149171270718,76,0.3569736842105263,56,0.3544642857142857,49,0.2724489795918368,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,25,0.524,48,0.3189583333333333,63,0.3014285714285714,45,0.2873333333333333,NFL-NW084,0.8,,0.4672489082969432,True,0.35571898496240595,-0.08327000537056917,0.2724489795918368,STRONG_STABLE,0.36972638306458117
NFL-NW076,NEXT_WAVE,LONG,DOG35_49,AWAY,99,0.4522222222222222,36,0.6511111111111111,26,0.4307692307692307,37,0.2737837837837838,4,10.0,17,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,28,0.4028571428571429,24,0.7383333333333333,28,0.1703571428571428,19,0.5789473684210527,NFL-NW076,0.75,,0.4957983193277311,True,0.5409401709401709,-0.26715638715638707,0.2737837837837838,STRONG_STABLE,0.3686760672553144
NFL-NW127,NEXT_WAVE,LONG,DOG35_49,ANY,166,0.3547590361445783,59,0.4547457627118643,48,0.3274999999999999,59,0.2769491525423729,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,18,0.1011111111111111,58,0.4898275862068966,56,0.2276785714285714,34,0.4679411764705882,NFL-NW127,0.7,,0.5063291139240507,True,0.3911228813559321,-0.1141737288135592,0.2769491525423729,STRONG_STABLE,0.3593115961083609
NFL-NW093,NEXT_WAVE,LONG,DOG35_49,ANY,166,0.3525903614457831,64,0.335625,47,0.4704255319148936,55,0.2716363636363637,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,22,0.6095454545454545,58,0.5537931034482758,51,0.0601960784313725,35,0.2837142857142858,NFL-NW093,0.7,,0.2466216216216216,True,0.4030252659574468,-0.13138890232108313,0.2716363636363637,STRONG_STABLE,0.35452548550063473
NFL-NW073,NEXT_WAVE,LONG,DOG35_49,ANY,155,0.2929677419354839,59,0.2094915254237288,46,0.4034782608695652,50,0.2897999999999999,4,11.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,31,0.5329032258064517,43,0.3513953488372093,46,0.0706521739130434,35,0.3008571428571428,NFL-NW073,0.8,,0.5342019543973942,True,0.306484893146647,-0.016684893146647117,0.2094915254237288,STRONG_STABLE,0.35286701801741494
NFL-NW116,NEXT_WAVE,LONG,DOG35_49,ANY,212,0.3260377358490566,72,0.4716666666666667,66,0.2328787878787879,74,0.2674324324324325,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,21,0.4295238095238095,80,0.4275,61,0.2019672131147541,50,0.2715999999999999,NFL-NW116,0.75,,0.3632183908045977,True,0.3522727272727273,-0.08484029484029482,0.2328787878787879,STRONG_STABLE,0.3500341824883044
NFL-C006,COACHING,LONG,DOG35_49,AWAY,167,0.3032335329341317,64,0.38484375,54,0.2564814814814815,49,0.2481632653061224,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,37,0.62,54,0.4157407407407407,46,-0.1843478260869565,30,0.4576666666666666,NFL-C006,0.7894736842105263,,0.3321299638989169,True,0.32066261574074073,-0.07249935043461833,0.2481632653061224,STRONG_STABLE,0.3487988323359108
NFL-C003,COACHING,LONG,DOG35_44,AWAY,122,0.3737704918032786,59,0.4149152542372882,30,0.4183333333333333,33,0.2596969696969697,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,37,0.4359459459459458,31,0.2961290322580646,28,0.2303571428571428,26,0.5323076923076923,NFL-C003,0.6666666666666666,,0.3232323232323232,True,0.41662429378531074,-0.15692732408834104,0.2596969696969697,STRONG_STABLE,0.34269074541071975
NFL-NW115,NEXT_WAVE,LONG,DOG35_49,AWAY,110,0.4306363636363636,42,0.4261904761904762,35,0.6322857142857143,33,0.2224242424242424,4,10.5,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,30,0.451,25,0.6260000000000001,33,0.2618181818181818,22,0.434090909090909,NFL-NW115,0.7894736842105263,,0.3299492385786802,True,0.5292380952380953,-0.30681385281385287,0.2224242424242424,STRONG_STABLE,0.34203901797748665
