family,rule,complexity,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi,y2022_n,y2022_roi,removed_n,removed_wins,removed_losses,removed_roi,loss_capture_rate,winner_removal_rate,roi_change_pp,win_change_pp,sample_retained,both_eras_positive,recent_2022_positive,promotion_screen
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1 & oppTDD<=0.80),3,47,45,2,0.9574468085106383,0.18970970595485018,25,0.19971492358244022,22,0.17834014046895247,16,0.1426031525757762,7,6,1,0.08672573640914773,0.3333333333333333,0.11764705882352941,1.3349773829998495,1.3002364066193928,0.8703703703703703,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=0.5 & oppTDD<=0.70),3,45,43,2,0.9555555555555556,0.18892629185835477,24,0.20172324741857725,21,0.17430119978952913,16,0.1426031525757762,9,8,1,0.11352813345733644,0.3333333333333333,0.1568627450980392,1.256635973350309,1.1111111111111183,0.8333333333333334,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1 & oppTDD<=0.70),3,45,43,2,0.9555555555555556,0.18892629185835477,24,0.20172324741857725,21,0.17430119978952913,16,0.1426031525757762,9,8,1,0.11352813345733644,0.3333333333333333,0.1568627450980392,1.256635973350309,1.1111111111111183,0.8333333333333334,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 2 OR (fav TDatt/15 >= 2 & fav ctrl/15 >=1 & opp TDD<=75%),3,46,44,2,0.9565217391304348,0.1881130061987199,25,0.19971492358244022,21,0.17430119978952913,16,0.1426031525757762,8,7,1,0.10877975620010952,0.3333333333333333,0.13725490196078433,1.175307407386822,1.2077294685990392,0.8518518518518519,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=0.5 & oppTDD<=0.75),3,46,44,2,0.9565217391304348,0.1881130061987199,25,0.19971492358244022,21,0.17430119978952913,16,0.1426031525757762,8,7,1,0.10877975620010952,0.3333333333333333,0.13725490196078433,1.175307407386822,1.2077294685990392,0.8518518518518519,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1 & oppTDD<=0.75),3,46,44,2,0.9565217391304348,0.1881130061987199,25,0.19971492358244022,21,0.17430119978952913,16,0.1426031525757762,8,7,1,0.10877975620010952,0.3333333333333333,0.13725490196078433,1.175307407386822,1.2077294685990392,0.8518518518518519,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 3 OR (fav TDatt/15 >= 1.5 & fav ctrl/15 >=1 & opp TDD<=75%),3,45,43,2,0.9555555555555556,0.1878918109582007,23,0.1998749823164465,22,0.17536394999276195,17,0.14584306738076885,9,8,1,0.11870053795810678,0.3333333333333333,0.1568627450980392,1.1531878833349025,1.1111111111111183,0.8333333333333334,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1.5 & oppTDD<=0.80),3,45,43,2,0.9555555555555556,0.1870216620361048,25,0.19971492358244022,20,0.1711550851031856,15,0.13807494169486303,9,8,1,0.1230512825685862,0.3333333333333333,0.1568627450980392,1.066172991125311,1.1111111111111183,0.8333333333333334,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=2 & oppTDD<=0.80),3,45,43,2,0.9555555555555556,0.1870216620361048,25,0.19971492358244022,20,0.1711550851031856,15,0.13807494169486303,9,8,1,0.1230512825685862,0.3333333333333333,0.1568627450980392,1.066172991125311,1.1111111111111183,0.8333333333333334,True,True,True
OPPONENT POWER,veto opponent KD/15 >= 0.75,1,45,43,2,0.9555555555555556,0.18344701812942957,24,0.19033765178704135,21,0.17557200823501615,16,0.14459110914178872,9,8,1,0.14092450210196242,0.3333333333333333,0.1568627450980392,0.7087086004577886,1.1111111111111183,0.8333333333333334,True,True,True
LAST3 FORM,veto if favorite last3 trails opponent by > 0.34,1,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
LAST3 FORM,veto if favorite last3 trails opponent by > 0.50,1,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
LAST5 FORM,veto if favorite last5 trails opponent by > 0.25,1,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
LAST5 FORM,veto if favorite last5 trails opponent by > 0.40,1,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
OLDER-FAVORITE CONSENSUS,"if favorite >= 1y older, require a second striking method",2,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
OLDER-FAVORITE CONSENSUS,"if favorite >= 2y older, require a second striking method",2,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
OLDER-FAVORITE CONSENSUS,"if favorite >= 3y older, require a second striking method",2,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
OLDER-FAVORITE CONSENSUS,"if favorite >= 4y older, require a second striking method",2,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
