family,rule,complexity,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi,y2022_n,y2022_roi,removed_n,removed_wins,removed_losses,removed_roi,loss_capture_rate,winner_removal_rate,roi_change_pp,win_change_pp,sample_retained,both_eras_positive,recent_2022_positive,promotion_screen
LAST3 FORM,veto if favorite last3 trails opponent by > 0.00,1,48,46,2,0.9583333333333334,0.19060517672369492,25,0.19728987341509022,23,0.18333920205913487,17,0.1539541712359457,6,5,1,0.062397975334106036,0.3333333333333333,0.09803921568627451,1.4245244598843243,1.388888888888895,0.8888888888888888,True,True,True
LAST3 FORM,veto if favorite last3 trails opponent by > 0.15,1,48,46,2,0.9583333333333334,0.19060517672369492,25,0.19728987341509022,23,0.18333920205913487,17,0.1539541712359457,6,5,1,0.062397975334106036,0.3333333333333333,0.09803921568627451,1.4245244598843243,1.388888888888895,0.8888888888888888,True,True,True
LAST3 FORM,veto if favorite last3 trails opponent by > 0.25,1,48,46,2,0.9583333333333334,0.19060517672369492,25,0.19728987341509022,23,0.18333920205913487,17,0.1539541712359457,6,5,1,0.062397975334106036,0.3333333333333333,0.09803921568627451,1.4245244598843243,1.388888888888895,0.8888888888888888,True,True,True
LAYOFF,veto if favorite layoff exceeds opponent by > 180 days,1,46,44,2,0.9565217391304348,0.189933351387429,23,0.20562849452022194,23,0.17423820825463612,17,0.13616779352696737,8,7,1,0.09831277136503229,0.3333333333333333,0.13725490196078433,1.3573419262577324,1.2077294685990392,0.8518518518518519,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=0.5 & oppTDD<=0.80),3,47,45,2,0.9574468085106383,0.18970970595485018,25,0.19971492358244022,22,0.17834014046895247,16,0.1426031525757762,7,6,1,0.08672573640914773,0.3333333333333333,0.11764705882352941,1.3349773829998495,1.3002364066193928,0.8703703703703703,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1 & oppTDD<=0.80),3,47,45,2,0.9574468085106383,0.18970970595485018,25,0.19971492358244022,22,0.17834014046895247,16,0.1426031525757762,7,6,1,0.08672573640914773,0.3333333333333333,0.11764705882352941,1.3349773829998495,1.3002364066193928,0.8703703703703703,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=0.5 & oppTDD<=0.70),3,45,43,2,0.9555555555555556,0.18892629185835477,24,0.20172324741857725,21,0.17430119978952913,16,0.1426031525757762,9,8,1,0.11352813345733644,0.3333333333333333,0.1568627450980392,1.256635973350309,1.1111111111111183,0.8333333333333334,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1 & oppTDD<=0.70),3,45,43,2,0.9555555555555556,0.18892629185835477,24,0.20172324741857725,21,0.17430119978952913,16,0.1426031525757762,9,8,1,0.11352813345733644,0.3333333333333333,0.1568627450980392,1.256635973350309,1.1111111111111183,0.8333333333333334,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 2 OR (fav TDatt/15 >= 2 & fav ctrl/15 >=1 & opp TDD<=75%),3,46,44,2,0.9565217391304348,0.1881130061987199,25,0.19971492358244022,21,0.17430119978952913,16,0.1426031525757762,8,7,1,0.10877975620010952,0.3333333333333333,0.13725490196078433,1.175307407386822,1.2077294685990392,0.8518518518518519,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=0.5 & oppTDD<=0.75),3,46,44,2,0.9565217391304348,0.1881130061987199,25,0.19971492358244022,21,0.17430119978952913,16,0.1426031525757762,8,7,1,0.10877975620010952,0.3333333333333333,0.13725490196078433,1.175307407386822,1.2077294685990392,0.8518518518518519,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1 & oppTDD<=0.75),3,46,44,2,0.9565217391304348,0.1881130061987199,25,0.19971492358244022,21,0.17430119978952913,16,0.1426031525757762,8,7,1,0.10877975620010952,0.3333333333333333,0.13725490196078433,1.175307407386822,1.2077294685990392,0.8518518518518519,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 3 OR (fav TDatt/15 >= 1.5 & fav ctrl/15 >=1 & opp TDD<=75%),3,45,43,2,0.9555555555555556,0.1878918109582007,23,0.1998749823164465,22,0.17536394999276195,17,0.14584306738076885,9,8,1,0.11870053795810678,0.3333333333333333,0.1568627450980392,1.1531878833349025,1.1111111111111183,0.8333333333333334,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1.5 & oppTDD<=0.80),3,45,43,2,0.9555555555555556,0.1870216620361048,25,0.19971492358244022,20,0.1711550851031856,15,0.13807494169486303,9,8,1,0.1230512825685862,0.3333333333333333,0.1568627450980392,1.066172991125311,1.1111111111111183,0.8333333333333334,True,True,True
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=2 & oppTDD<=0.80),3,45,43,2,0.9555555555555556,0.1870216620361048,25,0.19971492358244022,20,0.1711550851031856,15,0.13807494169486303,9,8,1,0.1230512825685862,0.3333333333333333,0.1568627450980392,1.066172991125311,1.1111111111111183,0.8333333333333334,True,True,True
OPPONENT POWER,veto opponent KD/15 >= 0.75,1,45,43,2,0.9555555555555556,0.18344701812942957,24,0.19033765178704135,21,0.17557200823501615,16,0.14459110914178872,9,8,1,0.14092450210196242,0.3333333333333333,0.1568627450980392,0.7087086004577886,1.1111111111111183,0.8333333333333334,True,True,True
LAST3 FORM,veto if favorite last3 trails opponent by > 0.34,1,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
LAST3 FORM,veto if favorite last3 trails opponent by > 0.50,1,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
LAST5 FORM,veto if favorite last5 trails opponent by > 0.25,1,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
LAST5 FORM,veto if favorite last5 trails opponent by > 0.40,1,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
OLDER-FAVORITE CONSENSUS,"if favorite >= 1y older, require a second striking method",2,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
OLDER-FAVORITE CONSENSUS,"if favorite >= 2y older, require a second striking method",2,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
OLDER-FAVORITE CONSENSUS,"if favorite >= 3y older, require a second striking method",2,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
OLDER-FAVORITE CONSENSUS,"if favorite >= 4y older, require a second striking method",2,54,51,3,0.9444444444444444,0.17635993212485168,28,0.16281302008675794,26,0.19094891431972194,19,0.15817783188146942,0,0,0,,0.0,0.0,0.0,0.0,1.0,True,True,True
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 5 OR (fav TDatt/15 >= 5 & fav ctrl/15 >=1 & opp TDD<=75%),3,24,24,0,1.0,0.24547064266050136,15,0.2571413000221333,9,0.22601954705778143,8,0.21394940979484275,30,27,3,0.12107136369633201,1.0,0.5294117647058824,6.911071053564968,5.555555555555558,0.4444444444444444,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 4 OR (fav TDatt/15 >= 5 & fav ctrl/15 >=1 & opp TDD<=75%),3,28,28,0,1.0,0.23848372366901605,17,0.25872029655632595,11,0.2072090201159008,9,0.2018731595837199,26,23,3,0.10945738738498242,1.0,0.45098039215686275,6.212379154416436,5.555555555555558,0.5185185185185185,True,True,False
OPPONENT POWER,veto opponent KD/15 >= 0.25,1,24,24,0,1.0,0.23315060657242437,12,0.24050115652597862,12,0.22580005661887015,10,0.22522802221059846,30,27,3,0.13092739256679362,1.0,0.5294117647058824,5.679067444757269,5.555555555555558,0.4444444444444444,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 3 OR (fav TDatt/15 >= 5 & fav ctrl/15 >=1 & opp TDD<=75%),3,30,29,1,0.9666666666666667,0.20525147542441496,17,0.25872029655632595,13,0.13533070932883914,11,0.117896221477589,24,22,2,0.14024550300039762,0.6666666666666666,0.43137254901960786,2.8891543299563285,2.2222222222222254,0.5555555555555556,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 4 OR (fav TDatt/15 >= 4 & fav ctrl/15 >=1 & opp TDD<=75%),3,33,32,1,0.9696969696969697,0.19999905176573293,19,0.18637379917445704,14,0.21849046599675034,11,0.20333759170156793,21,19,2,0.13921274411775258,0.6666666666666666,0.37254901960784315,2.363911964088125,2.5252525252525304,0.6111111111111112,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 5 OR (fav TDatt/15 >= 4 & fav ctrl/15 >=1 & opp TDD<=75%),3,32,31,1,0.96875,0.19677932516371513,18,0.1798928822935767,14,0.21849046599675034,11,0.20333759170156793,22,20,2,0.14665899679559577,0.6666666666666666,0.39215686274509803,2.0419393038863447,2.430555555555558,0.5925925925925926,True,True,False
FAVORITE DURABILITY,veto favorite KD-absorbed/15 >= 0.25,1,34,33,1,0.9705882352941176,0.18809906107527788,15,0.14927897609310045,19,0.2187464965875233,14,0.2014114709679114,20,18,2,0.15640341290912724,0.6666666666666666,0.35294117647058826,1.1739128950426196,2.614379084967322,0.6296296296296297,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1.5 & oppTDD<=0.70),3,43,41,2,0.9534883720930233,0.18607678477610984,24,0.20172324741857725,19,0.16631283196457208,15,0.13807494169486303,11,10,1,0.13837587176084268,0.3333333333333333,0.19607843137254902,0.9716852651258157,0.9043927648578864,0.7962962962962963,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=2 & oppTDD<=0.70),3,43,41,2,0.9534883720930233,0.18607678477610984,24,0.20172324741857725,19,0.16631283196457208,15,0.13807494169486303,11,10,1,0.13837587176084268,0.3333333333333333,0.19607843137254902,0.9716852651258157,0.9043927648578864,0.7962962962962963,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1.5 & oppTDD<=0.75),3,44,42,2,0.9545454545454546,0.18529129311108805,25,0.19971492358244022,19,0.16631283196457208,15,0.13807494169486303,10,9,1,0.1370619437854118,0.3333333333333333,0.17647058823529413,0.893136098623637,1.0101010101010166,0.8148148148148148,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=2 & oppTDD<=0.75),3,44,42,2,0.9545454545454546,0.18529129311108805,25,0.19971492358244022,19,0.16631283196457208,15,0.13807494169486303,10,9,1,0.1370619437854118,0.3333333333333333,0.17647058823529413,0.893136098623637,1.0101010101010166,0.8148148148148148,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 3 OR (fav TDatt/15 >= 2 & fav ctrl/15 >=1 & opp TDD<=75%),3,41,39,2,0.9512195121951219,0.18514105176077347,21,0.19623495795656157,20,0.17349245025519605,15,0.1394116167157486,13,12,1,0.14866563173463684,0.3333333333333333,0.23529411764705882,0.8781119635921791,0.6775067750677488,0.7592592592592593,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 2 OR (fav TDatt/15 >= 3 & fav ctrl/15 >=1 & opp TDD<=75%),3,44,42,2,0.9545454545454546,0.18401537604569732,25,0.19971492358244022,19,0.16335807665524615,16,0.1426031525757762,10,9,1,0.1426759788731311,0.3333333333333333,0.17647058823529413,0.7655443920845634,1.0101010101010166,0.8148148148148148,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=0.5 & oppTDD<=0.60),3,43,41,2,0.9534883720930233,0.18378494540331494,23,0.1946835467134561,20,0.17125155389665264,15,0.13642375490435735,11,10,1,0.14733488021813182,0.3333333333333333,0.19607843137254902,0.742501327846326,0.9043927648578864,0.7962962962962963,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1 & oppTDD<=0.60),3,43,41,2,0.9534883720930233,0.18378494540331494,23,0.1946835467134561,20,0.17125155389665264,15,0.13642375490435735,11,10,1,0.14733488021813182,0.3333333333333333,0.19607843137254902,0.742501327846326,0.9043927648578864,0.7962962962962963,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=0.5 & oppTDD<=0.65),3,43,41,2,0.9534883720930233,0.18378494540331494,23,0.1946835467134561,20,0.17125155389665264,15,0.13642375490435735,11,10,1,0.14733488021813182,0.3333333333333333,0.19607843137254902,0.742501327846326,0.9043927648578864,0.7962962962962963,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1 & oppTDD<=0.65),3,43,41,2,0.9534883720930233,0.18378494540331494,23,0.1946835467134561,20,0.17125155389665264,15,0.13642375490435735,11,10,1,0.14733488021813182,0.3333333333333333,0.19607843137254902,0.742501327846326,0.9043927648578864,0.7962962962962963,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 1.5 OR (fav TDatt/15 >= 5 & fav ctrl/15 >=1 & opp TDD<=75%),3,41,39,2,0.9512195121951219,0.18238000541117905,26,0.20248641982193838,15,0.1475288870991961,13,0.13465327088203935,13,12,1,0.15737354714489635,0.3333333333333333,0.23529411764705882,0.6020073286327365,0.6775067750677488,0.7592592592592593,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 4 OR (fav TDatt/15 >= 1.5 & fav ctrl/15 >=1 & opp TDD<=75%),3,44,42,2,0.9545454545454546,0.18125298847997798,23,0.1998749823164465,21,0.16085747142098872,16,0.12495825909206693,10,9,1,0.1548304841622961,0.3333333333333333,0.17647058823529413,0.4893056355126296,1.0101010101010166,0.8148148148148148,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 2 OR (fav TDatt/15 >= 4 & fav ctrl/15 >=1 & opp TDD<=75%),3,41,39,2,0.9512195121951219,0.18117312577885064,24,0.19578147677092422,17,0.1605495714370997,14,0.1362278356566741,13,12,1,0.16117985983147046,0.3333333333333333,0.23529411764705882,0.48131936539989595,0.6775067750677488,0.7592592592592593,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1.5 & oppTDD<=0.60),3,41,39,2,0.9512195121951219,0.1805456405875439,23,0.1946835467134561,18,0.16248053831554504,14,0.13113071484113475,13,12,1,0.16315885158866864,0.3333333333333333,0.23529411764705882,0.4185708462692228,0.6775067750677488,0.7592592592592593,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=2 & oppTDD<=0.60),3,41,39,2,0.9512195121951219,0.1805456405875439,23,0.1946835467134561,18,0.16248053831554504,14,0.13113071484113475,13,12,1,0.16315885158866864,0.3333333333333333,0.23529411764705882,0.4185708462692228,0.6775067750677488,0.7592592592592593,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=1.5 & oppTDD<=0.65),3,41,39,2,0.9512195121951219,0.1805456405875439,23,0.1946835467134561,18,0.16248053831554504,14,0.13113071484113475,13,12,1,0.16315885158866864,0.3333333333333333,0.23529411764705882,0.4185708462692228,0.6775067750677488,0.7592592592592593,True,True,False
WRESTLING RELEVANCE SENSITIVITY,keep oppTDatt>=2 OR (favTDatt>=2 & ctrl>=2 & oppTDD<=0.65),3,41,39,2,0.9512195121951219,0.1805456405875439,23,0.1946835467134561,18,0.16248053831554504,14,0.13113071484113475,13,12,1,0.16315885158866864,0.3333333333333333,0.23529411764705882,0.4185708462692228,0.6775067750677488,0.7592592592592593,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 3 OR (fav TDatt/15 >= 3 & fav ctrl/15 >=1 & opp TDD<=75%),3,39,37,2,0.9487179487179487,0.18036567648875076,21,0.19623495795656157,18,0.16185151477630477,15,0.1394116167157486,15,14,1,0.16594499677871424,0.3333333333333333,0.27450980392156865,0.4005744363899083,0.42735042735042583,0.7222222222222222,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 5 OR (fav TDatt/15 >= 1.5 & fav ctrl/15 >=1 & opp TDD<=75%),3,43,41,2,0.9534883720930233,0.1784209579090402,22,0.1951861041021803,21,0.16085747142098872,16,0.12495825909206693,11,10,1,0.16830319496847854,0.3333333333333333,0.19607843137254902,0.20610257841885138,0.9043927648578864,0.7962962962962963,True,True,False
FAVORITE DURABILITY,veto favorite KD-absorbed/15 >= 1.00,1,53,50,3,0.9433962264150944,0.17444638786724934,27,0.1585550660982016,26,0.19094891431972194,19,0.15817783188146942,1,1,0,0.2777777777777777,0.0,0.0196078431372549,-0.19135442576023454,-0.10482180293500676,0.9814814814814815,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 3 OR (fav TDatt/15 >= 4 & fav ctrl/15 >=1 & opp TDD<=75%),3,35,33,2,0.9428571428571428,0.17371339166483393,19,0.18637379917445704,16,0.15867915774715652,13,0.13205488528594206,19,18,1,0.1812351382354108,0.3333333333333333,0.35294117647058826,-0.2646540460017749,-0.15873015873015817,0.6481481481481481,True,True,False
LAST5 FORM,veto if favorite last5 trails opponent by > 0.20,1,53,50,3,0.9433962264150944,0.17318129714217162,27,0.15607173986008613,26,0.19094891431972194,19,0.15817783188146942,1,1,0,0.3448275862068966,0.0,0.0196078431372549,-0.3178634982680062,-0.10482180293500676,0.9814814814814815,True,True,False
LAYOFF,veto if favorite layoff exceeds opponent by > 540 days,1,52,49,3,0.9423076923076923,0.173147133765417,26,0.15534535321111206,26,0.19094891431972194,19,0.15817783188146942,2,2,0,0.2598926894701542,0.0,0.0392156862745098,-0.3212798359434693,-0.21367521367521292,0.9629629629629629,True,True,False
FAVORITE DURABILITY,veto favorite KD-absorbed/15 >= 0.75,1,52,49,3,0.9423076923076923,0.17222699008654704,26,0.15350506585337215,26,0.19094891431972194,19,0.15817783188146942,2,2,0,0.2838164251207729,0.0,0.0392156862745098,-0.4132942038304638,-0.21367521367521292,0.9629629629629629,True,True,False
OPPONENT POWER,veto opponent KD/15 >= 1.25,1,51,48,3,0.9411764705882353,0.17068479486291727,27,0.15607173986008613,24,0.1871244817411023,18,0.15526958277546918,3,3,0,0.2728372655777374,0.0,0.058823529411764705,-0.5675137261934415,-0.32679738562091387,0.9444444444444444,True,True,False
MARKET FLOOR,keep market_prob >= 0.710,1,52,49,3,0.9423076923076923,0.1697721852832213,28,0.16281302008675794,24,0.17789121134576188,18,0.14832268533051451,2,2,0,0.3476413500072424,0.0,0.0392156862745098,-0.6587746841630382,-0.21367521367521292,0.9629629629629629,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 1.5 OR (fav TDatt/15 >= 2 & fav ctrl/15 >=1 & opp TDD<=75%),3,50,47,3,0.94,0.1696449530549235,28,0.16281302008675794,22,0.17834014046895247,17,0.14969460799701537,4,4,0,0.2602971704989543,0.0,0.0784313725490196,-0.6714979069928184,-0.4444444444444473,0.9259259259259259,True,True,False
POWER INTERACTION,veto opp KD/15 >= 0.75 AND fav KD-abs/15 >= 0.375,1,51,48,3,0.9411764705882353,0.1688134272394412,27,0.15649745292947737,24,0.18266889833815045,18,0.14932880490486675,3,3,0,0.30465051517683095,0.0,0.058823529411764705,-0.7546504885410477,-0.32679738562091387,0.9444444444444444,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 1.5 OR (fav TDatt/15 >= 1.5 & fav ctrl/15 >=1 & opp TDD<=75%),3,51,48,3,0.9411764705882353,0.16876956181855246,28,0.16281302008675794,23,0.1760210039268241,18,0.14832268533051451,3,3,0,0.3053962273319391,0.0,0.058823529411764705,-0.7590370306299221,-0.32679738562091387,0.9444444444444444,True,True,False
OPPONENT POWER,veto opponent KD/15 >= 1.00,1,50,47,3,0.94,0.1676468778569498,27,0.15607173986008613,23,0.18123508333152893,18,0.15526958277546918,4,4,0,0.2852731104736257,0.0,0.0784313725490196,-0.8713054267901893,-0.4444444444444473,0.9259259259259259,True,True,False
OPPONENT POWER,veto opponent KD/15 >= 0.50,1,39,37,2,0.9487179487179487,0.16639041183194533,23,0.1841204482415504,16,0.1409034844931381,14,0.1283668067549823,15,14,1,0.20228068488640827,0.3333333333333333,0.27450980392156865,-0.9969520292906348,0.42735042735042583,0.7222222222222222,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 1.5 OR (fav TDatt/15 >= 3 & fav ctrl/15 >=1 & opp TDD<=75%),3,48,45,3,0.9375,0.1651192898669946,28,0.16281302008675794,20,0.16834806755932596,17,0.14969460799701537,6,6,0,0.26628507018770864,0.0,0.11764705882352941,-1.1240642257857092,-0.694444444444442,0.8888888888888888,True,True,False
CONSENSUS SUPPORT,require Pace+Defense OR Striking Differential,1,32,31,1,0.96875,0.1643362581122517,17,0.13786401906783452,15,0.19433812902925782,12,0.18518323569817638,22,20,2,0.19384891250681544,0.6666666666666666,0.39215686274509803,-1.2023674012599987,2.430555555555558,0.5925925925925926,True,True,False
MATCHUP-RELEVANT WRESTLING,keep if opp TDatt/15 >= 1.5 OR (fav TDatt/15 >= 4 & fav ctrl/15 >=1 & opp TDD<=75%),3,45,42,3,0.9333333333333333,0.16126994498973188,27,0.15794988575445917,18,0.16625003384264092,15,0.14468983959535195,9,9,0,0.2518098678004508,0.0,0.17647058823529413,-1.5089987135119802,-1.1111111111111072,0.8333333333333334,True,True,False
FAVORITE DURABILITY,veto favorite KD-absorbed/15 >= 0.50,1,47,44,3,0.9361702127659575,0.15951072134868174,24,0.1406711765837197,23,0.17916937675559869,17,0.14263297609122114,7,7,0,0.2894903473362787,0.0,0.13725490196078433,-1.6849210776169938,-0.8274231678486954,0.8703703703703703,True,True,False
