subgroup,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi,y2022_n,y2022_roi
Men,49,46,3,0.9387755102040817,0.17061940074887055,28,0.16281302008675794,21,0.1810279082983541,15,0.14398356167739346
Women,5,5,0,1.0,0.23261713960946692,0,,5,0.23261713960946692,4,0.2114063451467543
Favorite younger/same age,0,0,0,,,0,,0,,0,
Favorite older,0,0,0,,,0,,0,,0,
Favorite >=2y older,0,0,0,,,0,,0,,0,
Market 70-74.99%,18,17,1,0.9444444444444444,0.24646995845493724,11,0.2024685029965478,7,0.3156151027466921,3,0.3142952865742477
Market >=75%,36,34,2,0.9444444444444444,0.14130491895980896,17,0.13715358996865862,19,0.14501926595189082,16,0.12890580912657348
Has second striking method,32,31,1,0.96875,0.1643362581122517,17,0.13786401906783452,15,0.19433812902925782,12,0.18518323569817638
TD method only,22,20,2,0.9090909090909091,0.19384891250681544,11,0.2013705671160032,11,0.18632725789762758,7,0.11188285390997171
