event_date,favorite,opponent,market_prob,fav_decimal,profit100,won,age_adv,reach_adv,f_fights,f_wins,f_losses,f_win_pct,f_last3,f_last5,f_layoff,f_sig_l_pm,f_sig_abs_pm,f_sig_diff_pm,f_sig_acc,f_sig_def,f_kd15,f_kd_abs15,f_td_l15,f_td_a15,f_td_acc,f_td_def,f_sub15,f_ctrl15,f_ctrl_allowed15,f_ground_l15,f_finish_win_pct,f_finish_loss_pct,o_fights,o_wins,o_losses,o_win_pct,o_last3,o_last5,o_layoff,o_sig_l_pm,o_sig_abs_pm,o_sig_diff_pm,o_sig_acc,o_sig_def,o_kd15,o_kd_abs15,o_td_l15,o_td_a15,o_td_acc,o_td_def,o_sub15,o_ctrl15,o_ctrl_allowed15,o_ground_l15,o_finish_win_pct,o_finish_loss_pct,_favn,_oppn,division,division_label,is_womens,sig_diff_gap,td_def_gap,pace_defense_support,striking_diff_support,second_striking_method,fav_url,opp_url,fav_dob,opp_dob,fav_age,opp_age,age_adv_repaired,power_risk_product
2012-01-20,Charlie Brenneman,Daniel Roberts,0.7688442211055276,1.2777777777777777,27.777777777777768,True,,,4,2,2,0.5,0.3333333333333333,0.5,111,1.4032048505846684,1.896925075790385,-0.4937202252057167,0.4736842105263157,0.4748201438848921,0.0,1.1693373754872236,5.067128627111302,8.964919878735381,0.5652173913043478,0.6,0.0,8.029449978345603,3.3456041576440003,11.693373754872235,0.0,1.0,5,2,3,0.4,0.3333333333333333,0.4,208,0.8667104399212081,2.521339461588969,-1.654629021667761,0.2009132420091324,0.4940711462450593,0.0,0.2954694681549573,2.954694681549573,6.795797767564019,0.4347826086956521,0.2222222222222222,2.068286277084701,4.540380827314511,3.78693368351937,2.3637557452396587,0.5,0.3333333333333333,charlie brenneman,daniel roberts,Welterweight,Welterweight,False,1.1609087964620444,0.3777777777777777,False,False,False,http://ufcstats.com/fighter-details/98f6da59d765ec94,http://ufcstats.com/fighter-details/22edaf53ad59a967,1981-02-09,1980-08-05,30.943824992984112,31.45855151029795,0.5147265173138393,0.0
2013-04-20,Chad Mendes,Darren Elkins,0.839919399977611,1.1626016260162602,16.260162601626014,True,,,4,4,0,1.0,1.0,1.0,127,3.360739979445016,1.1099691675231245,2.250770811921891,0.5046296296296297,0.8200000000000001,0.9249743062692704,0.0,4.1623843782117165,6.937307297019528,0.6,1.0,0.0,5.11819116135663,0.2466598150051387,15.26207605344296,0.5,,6,5,1,0.8333333333333334,1.0,0.8,35,3.473577919892292,2.342645573880848,1.1309323460114438,0.3263757115749525,0.5735294117647058,0.302928306967351,0.0,3.02928306967351,6.664422753281722,0.4545454545454545,0.5,2.120498148771457,5.740491417031302,1.8226186469202288,13.631773813530796,0.4,1.0,chad mendes,darren elkins,Featherweight,Featherweight,False,1.1198384659104474,0.5,False,True,True,http://ufcstats.com/fighter-details/b5b684eac99ae0a3,http://ufcstats.com/fighter-details/92a9aa9c93192871,1985-05-01,1984-05-16,27.970457983394592,28.928725435840573,0.9582674524459804,0.0
2013-12-14,Chad Mendes,Nik Lentz,0.863013698630137,1.1111111111111112,11.111111111111116,True,,,6,6,0,1.0,1.0,1.0,105,3.358547655068079,1.2481089258698943,2.1104387291981848,0.5,0.8323170731707317,1.3615733736762483,0.0,4.084720121028745,6.807866868381241,0.6,1.0,0.3403933434190621,4.844931921331317,0.2099092284417549,16.33888048411498,0.6666666666666666,,6,4,2,0.6666666666666666,0.6666666666666666,0.6,210,2.541176470588235,2.541176470588235,0.0,0.5346534653465347,0.4718826405867971,0.1764705882352941,0.1764705882352941,4.764705882352941,13.764705882352942,0.3461538461538461,0.3846153846153846,0.8823529411764707,7.644117647058825,3.694117647058824,13.411764705882351,0.0,0.5,chad mendes,nik lentz,Featherweight,Featherweight,False,2.1104387291981848,0.6153846153846154,True,True,True,http://ufcstats.com/fighter-details/b5b684eac99ae0a3,http://ufcstats.com/fighter-details/6fb1ba67bef41b37,1985-05-01,1984-08-13,28.62207985105786,29.336673579881857,0.7145937288239992,0.0
2014-01-15,TJ Dillashaw,Mike Easton,0.7395517867958814,1.303030303030303,30.303030303030297,True,,,4,3,1,0.75,0.6666666666666666,0.75,98,3.87011847301448,1.6322948661693726,2.237823606845108,0.5104166666666666,0.6416184971098267,0.3949100482667836,0.0,3.554190434401053,6.713470820535322,0.5294117647058824,1.0,3.554190434401053,7.542781921895568,0.1250548486178148,33.17244405440983,0.6666666666666666,0.0,4,2,2,0.5,0.3333333333333333,0.5,284,3.866666666666666,3.883333333333333,-0.0166666666666666,0.3676703645007924,0.6553254437869822,0.0,0.0,1.25,4.0,0.3125,0.7647058823529411,0.0,1.3875000000000002,2.5041666666666664,0.5,0.0,0.0,tj dillashaw,mike easton,Bantamweight,Bantamweight,False,2.2544902735117747,0.2352941176470588,False,False,False,http://ufcstats.com/fighter-details/c849740a3ff51931,http://ufcstats.com/fighter-details/bc7230f231701d66,1986-02-07,1984-01-25,27.93760309931073,29.97460591251018,2.03700281319945,0.0
2014-02-22,Rory MacDonald,Demian Maia,0.7280334728033474,1.3448275862068966,34.48275862068966,True,,,5,3,2,0.6,0.6666666666666666,0.6,98,3.950875359289261,2.5398484452573817,1.4110269140318787,0.4710280373831775,0.6589473684210526,0.0,0.2351711523386464,1.881369218709172,4.233080742095637,0.4444444444444444,0.7272727272727273,0.7055134570159394,2.637836425398484,2.226286908805853,7.055134570159394,0.3333333333333333,0.5,8,6,2,0.75,1.0,0.8,385,2.111845631588351,1.8116848311595497,0.3001608004288011,0.4209401709401709,0.6167800453514739,0.0,0.0,4.020010720028587,11.256030016080045,0.3571428571428571,0.5,1.2864034304091478,7.238699303198143,1.5088440235840632,11.577630873682333,0.3333333333333333,0.0,rory macdonald,demian maia,Welterweight,Welterweight,False,1.1108661136030775,0.2272727272727273,False,False,False,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e,http://ufcstats.com/fighter-details/427b5953ac8e3a27,1989-07-22,1977-11-06,24.589142829763787,36.29643319164664,11.707290361882855,0.0
2014-04-26,Danny Castillo,Charlie Brenneman,0.7661870503597122,1.2816901408450705,28.169014084507047,True,,,8,6,2,0.75,0.6666666666666666,0.6,133,2.941564872895345,1.881809177946517,1.059755694948828,0.4569230769230769,0.6245059288537549,0.1485638824694618,0.2971277649389237,3.862660944206009,8.913832948167713,0.4333333333333333,0.8,0.2971277649389237,6.7967976229778815,0.965665236051502,17.233410366457576,0.1666666666666666,0.5,8,3,5,0.375,0.0,0.2,101,1.4207048458149778,1.685022026431718,-0.2643171806167401,0.5276073619631901,0.49,0.0,1.2389867841409692,3.964757709251101,8.920704845814978,0.4444444444444444,0.6666666666666667,0.0,8.854625550660792,2.527533039647577,12.142070484581495,0.0,1.0,danny castillo,charlie brenneman,Lightweight,Lightweight,False,1.3240728755655682,0.1333333333333333,False,True,True,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf,http://ufcstats.com/fighter-details/98f6da59d765ec94,1979-08-25,1981-02-09,34.67011642949547,33.208074087763606,-1.4620423417318662,0.0
2014-07-26,Anthony Johnson,Rogerio Nogueira,0.8475120385232746,1.1515151515151516,15.15151515151516,True,,,4,3,1,0.75,0.6666666666666666,0.75,91,2.258635961027458,1.0097431355181576,1.2488928255093004,0.4166666666666667,0.7777777777777778,0.7971656333038087,0.0,2.3914968999114263,5.580159433126661,0.4285714285714285,1.0,0.7971656333038087,6.948627103631533,0.6908768821966342,11.95748449955713,0.3333333333333333,1.0,4,2,2,0.5,0.3333333333333333,0.5,959,2.3419689119170983,2.300518134715026,0.0414507772020725,0.3343195266272189,0.623728813559322,0.310880829015544,0.0,0.310880829015544,0.310880829015544,1.0,0.7073170731707317,0.310880829015544,1.4248704663212437,4.896373056994818,12.746113989637305,0.5,0.0,anthony johnson,rogerio nogueira,Light Heavyweight,Light Heavyweight,False,1.207442048307228,0.2926829268292683,False,True,True,http://ufcstats.com/fighter-details/365fee2da473b177,http://ufcstats.com/fighter-details/73e09f837f3b5ecc,1984-03-06,1976-06-02,30.388029870565447,38.147258328370874,7.759228457805428,0.0
2015-01-18,Conor McGregor,Dennis Siver,0.8880936890045544,1.1025641025641026,10.256410256410264,True,,,4,4,0,1.0,1.0,1.0,113,4.597875569044007,2.458270106221548,2.1396054628224586,0.3796992481203007,0.6914285714285715,2.04855842185129,0.0,3.4142640364188166,4.09711684370258,0.8333333333333334,1.0,0.0,6.122913505311078,0.2503793626707132,17.754172989377846,0.75,,8,6,2,0.75,0.6666666666666666,0.8,106,3.792325056433409,2.7400590380274354,1.0522660184059731,0.3035863219349458,0.694541231126597,0.468831394339295,0.3125542628928633,0.93766278867859,2.8129883660357704,0.3333333333333333,0.7647058823529411,0.3125542628928633,2.12276436881403,1.52891126931759,1.562771314464317,0.1666666666666666,0.5,conor mcgregor,dennis siver,Featherweight,Featherweight,False,1.0873394444164854,0.2352941176470588,False,True,True,http://ufcstats.com/fighter-details/f4c49976c75c5ab2,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed,1988-07-14,1979-01-13,26.513891455676706,36.01442876992683,9.500537314250124,0.0
2015-01-24,Gegard Mousasi,Dan Henderson,0.7956823438704703,1.2325581395348837,23.25581395348837,True,,,4,2,2,0.5,0.3333333333333333,0.5,141,2.737382378100941,1.385799828913601,1.3515825491873394,0.469208211143695,0.7086330935251799,0.0,0.0,0.0,0.7698887938408896,0.0,0.7142857142857143,0.5132591958939264,0.9153122326775022,3.768177929854577,3.849443969204448,0.5,0.5,4,2,2,0.5,0.3333333333333333,0.5,245,2.2324159021406724,3.562691131498471,-1.330275229357798,0.4709677419354838,0.4901531728665208,0.4587155963302752,0.4587155963302752,0.2293577981651376,1.6055045871559632,0.1428571428571428,0.6086956521739131,0.2293577981651376,1.0626911314984708,6.303516819571866,5.275229357798165,0.5,0.5,gegard mousasi,dan henderson,Middleweight,Middleweight,False,2.6818577785451376,0.1055900621118012,True,True,True,http://ufcstats.com/fighter-details/232c582f29f8f65e,http://ufcstats.com/fighter-details/1ccf4e7caff270df,1985-08-01,1970-08-24,29.48178265125225,44.41980328138155,14.938020630129298,0.0
2015-11-14,Mark Hunt,Antonio Silva,0.7195253505933118,1.3448275862068966,34.48275862068966,True,,,8,5,3,0.625,0.3333333333333333,0.6,189,2.618270799347471,3.230016313213703,-0.6117455138662317,0.4037735849056604,0.512014787430684,0.734094616639478,0.367047308319739,0.734094616639478,1.2846655791190864,0.5714285714285714,0.6857142857142857,0.1835236541598695,2.0554649265905383,4.477977161500816,4.221044045676998,0.8,1.0,6,3,3,0.5,0.3333333333333333,0.6,105,2.1582733812949635,4.640287769784172,-2.4820143884892083,0.5263157894736842,0.4292035398230088,1.6187050359712227,1.0791366906474815,0.0,2.1582733812949635,0.0,0.4,0.0,1.2859712230215825,6.843525179856114,3.237410071942445,1.0,1.0,mark hunt,antonio silva,Heavyweight,Heavyweight,False,1.8702688746229763,0.2857142857142857,False,False,False,http://ufcstats.com/fighter-details/eef9b891edbd4604,http://ufcstats.com/fighter-details/8349d55cdecd393a,1974-03-23,1979-09-14,41.64630348330219,36.16775156231819,-5.478551920984003,0.5941413264168436
