age_min,power_max,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi,y2022_n,y2022_roi,removed_n,removed_wins,removed_losses,removed_roi,loss_capture_rate,winner_removal_rate,roi_change_pp,win_change_pp,sample_retained,robust_screen,neighbors,neighbor_mean_roi,neighbor_min_roi,neighbors_both_eras_positive,stable_center
-3,0.12,40,40,0,1.0,0.23079567526991962,22,0.23816263644833416,18,0.22179161160741298,13,0.20429432056317318,14,11,3,0.020829237424657695,1.0,0.21568627450980393,5.443574314506794,5.555555555555558,0.7407407407407407,True,3,0.21770482967364016,0.20077626855601916,True,True
-2,0.1,36,36,0,1.0,0.22803632010720026,19,0.23303078056396057,17,0.22245427606729176,12,0.20377498762764815,18,15,3,0.07300715616015459,1.0,0.29411764705882354,5.167638798234858,5.555555555555558,0.6666666666666666,True,3,0.2268147037908965,0.2263776808250237,True,True
0,0.1,33,33,0,1.0,0.22698916948782347,16,0.23180749374713833,17,0.22245427606729176,12,0.20377498762764815,21,18,3,0.09679970198303901,1.0,0.35294117647058826,5.062923736297178,5.555555555555558,0.6111111111111112,True,3,0.22822001305637427,0.22650335380040398,True,True
0,0.11,33,33,0,1.0,0.22698916948782347,16,0.23180749374713833,17,0.22245427606729176,12,0.20377498762764815,21,18,3,0.09679970198303901,1.0,0.35294117647058826,5.062923736297178,5.555555555555558,0.6111111111111112,True,4,0.22791230216423655,0.22650335380040398,True,True
0,0.12,33,33,0,1.0,0.22698916948782347,16,0.23180749374713833,17,0.22245427606729176,12,0.20377498762764815,21,18,3,0.09679970198303901,1.0,0.35294117647058826,5.062923736297178,5.555555555555558,0.6111111111111112,True,4,0.2188903229768261,0.19090125273818156,True,True
-1,0.1,35,35,0,1.0,0.22650335380040398,18,0.23032748277056556,17,0.22245427606729176,12,0.20377498762764815,19,16,3,0.0839904711435712,1.0,0.3137254901960784,5.01434216755523,5.555555555555558,0.6481481481481481,True,3,0.22717628113180924,0.22650335380040398,True,True
-1,0.11,35,35,0,1.0,0.22650335380040398,18,0.23032748277056556,17,0.22245427606729176,12,0.20377498762764815,19,16,3,0.0839904711435712,1.0,0.3137254901960784,5.01434216755523,5.555555555555558,0.6481481481481481,True,4,0.2265933894784138,0.2263776808250237,True,True
-1,0.12,35,35,0,1.0,0.22650335380040398,18,0.23032748277056556,17,0.22245427606729176,12,0.20377498762764815,19,16,3,0.0839904711435712,1.0,0.3137254901960784,5.01434216755523,5.555555555555558,0.6481481481481481,True,4,0.2180760050770221,0.1924338161948372,True,True
-2,0.11,37,37,0,1.0,0.2263776808250237,20,0.22971257486909588,17,0.22245427606729176,12,0.20377498762764815,17,14,3,0.06749777318918326,1.0,0.27450980392156865,5.001774870017203,5.555555555555558,0.6851851851851852,True,4,0.22671947359312639,0.22596053963987764,True,True
-2,0.12,37,37,0,1.0,0.2263776808250237,20,0.22971257486909588,17,0.22245427606729176,12,0.20377498762764815,17,14,3,0.06749777318918326,1.0,0.27450980392156865,5.001774870017203,5.555555555555558,0.6851851851851852,True,4,0.21944532346413867,0.1941045839612073,True,True
-3,0.11,38,38,0,1.0,0.22596053963987764,20,0.22971257486909588,18,0.22179161160741298,13,0.20429432056317318,16,13,3,0.058558489276665106,1.0,0.2549019607843137,4.960060751502596,5.555555555555558,0.7037037037037037,True,3,0.22824547761406835,0.2263776808250237,True,True
-3,0.13,41,40,1,0.975609756097561,0.20077626855601916,22,0.23816263644833416,19,0.15748678994386497,14,0.11827329766580366,13,11,2,0.0993545633804006,0.6666666666666666,0.21568627450980393,2.4416336431167474,3.1165311653116534,0.7592592592592593,True,3,0.20855884259571536,0.1941045839612073,True,True
-2,0.13,38,37,1,0.9736842105263158,0.1941045839612073,20,0.22971257486909588,18,0.15454014961910886,13,0.11117691165629057,16,14,2,0.13421638401350722,0.6666666666666666,0.27450980392156865,1.7744651836355625,2.92397660818714,0.7037037037037037,True,4,0.20342308738427187,0.1924338161948372,True,True
-1,0.13,36,35,1,0.9722222222222222,0.1924338161948372,18,0.23032748277056556,18,0.15454014961910886,13,0.11117691165629057,18,16,2,0.1442121639848807,0.6666666666666666,0.3137254901960784,1.607388406998553,2.777777777777779,0.6666666666666666,True,4,0.20098575167365754,0.19090125273818156,True,True
-1,0.14,36,35,1,0.9722222222222222,0.1924338161948372,18,0.23032748277056556,18,0.15454014961910886,13,0.11117691165629057,18,16,2,0.1442121639848807,0.6666666666666666,0.3137254901960784,1.607388406998553,2.777777777777779,0.6666666666666666,True,4,0.19227580382655413,0.19090125273818156,True,True
0,0.15,35,34,1,0.9714285714285714,0.1901307719807909,16,0.23180749374713833,19,0.15503458523018257,14,0.11494530555437754,19,17,2,0.15099259554812164,0.6666666666666666,0.3333333333333333,1.3770839855939214,2.6984126984127,0.6481481481481481,True,3,0.19061614684334202,0.189283625379854,True,True
1,0.1,29,29,0,1.0,0.23116751588089535,13,0.24287918346531268,16,0.22165178596855634,11,0.20090961217133807,25,22,3,0.11278313496784108,1.0,0.43137254901960786,5.480758375604367,5.555555555555558,0.5370370370370371,False,2,0.2290783426843594,0.22698916948782347,True,False
1,0.11,29,29,0,1.0,0.23116751588089535,13,0.24287918346531268,16,0.22165178596855634,11,0.20090961217133807,25,22,3,0.11278313496784108,1.0,0.43137254901960786,5.480758375604367,5.555555555555558,0.5370370370370371,False,3,0.22977473374987137,0.22698916948782347,True,False
1,0.12,29,29,0,1.0,0.23116751588089535,13,0.24287918346531268,16,0.22165178596855634,11,0.20090961217133807,25,22,3,0.11278313496784108,1.0,0.43137254901960786,5.480758375604367,5.555555555555558,0.5370370370370371,False,3,0.21609509468452812,0.1901285986848655,True,False
-3,0.1,37,37,0,1.0,0.22756307674726173,19,0.23303078056396057,18,0.22179161160741298,13,0.20429432056317318,17,14,3,0.06491779382901815,1.0,0.27450980392156865,5.120314462241005,5.555555555555558,0.6851851851851852,True,2,0.22699842987353896,0.22596053963987764,True,False
-3,0.14,41,40,1,0.975609756097561,0.20077626855601916,22,0.23816263644833416,19,0.15748678994386497,14,0.11827329766580366,13,11,2,0.0993545633804006,0.6666666666666666,0.21568627450980393,2.4416336431167474,3.1165311653116534,0.7592592592592593,True,3,0.18895843484703126,0.1719944520238673,True,False
