candidate_id,source,deployment_status,track,full_n,full_roi,trainval_n,trainval_roi,holdout_n,holdout_roi,min_week,median_week,max_week,min_prior_games,median_prior_games,W4_6_n,W4_6_share,W4_6_roi,W4_6_trainval_n,W4_6_trainval_roi,W4_6_holdout_n,W4_6_holdout_roi,W7_10_n,W7_10_share,W7_10_roi,W7_10_trainval_n,W7_10_trainval_roi,W7_10_holdout_n,W7_10_holdout_roi,W11_14_n,W11_14_share,W11_14_roi,W11_14_trainval_n,W11_14_trainval_roi,W11_14_holdout_n,W11_14_holdout_roi,W15_18_n,W15_18_share,W15_18_roi,W15_18_trainval_n,W15_18_trainval_roi,W15_18_holdout_n,W15_18_holdout_roi,recommended_start_week,timing_decision
NFL-H005,H_SERIES,LIVE_READY,LONG,85,0.4681176470588235,64,0.485625,21,0.4147619047619048,4,11.0,18,3,9.0,14,0.16470588235294117,0.595,10,0.7470000000000001,4,0.21500000000000002,26,0.3058823529411765,0.35423076923076924,22,0.3622727272727273,4,0.31,18,0.21176470588235294,0.38833333333333336,14,0.2585714285714286,4,0.8425,27,0.3176470588235294,0.5651851851851851,18,0.6677777777777778,9,0.36000000000000004,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-H010,H_SERIES,LIVE_READY,LONG,107,0.46934579439252344,82,0.4284146341463414,25,0.6036,4,10.0,20,3,9.0,21,0.19626168224299065,0.3347619047619047,16,0.08875000000000002,5,1.122,34,0.3177570093457944,0.4067647058823529,25,0.5028,9,0.14,25,0.2336448598130841,0.27159999999999995,20,0.11899999999999995,5,0.882,26,0.24299065420560748,0.9065384615384617,20,0.9880000000000001,6,0.635,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-H002,H_SERIES,LIVE_READY,LONG,143,0.3551048951048951,96,0.2866666666666667,47,0.49489361702127654,4,11.0,21,3,9.0,30,0.2097902097902098,0.7043333333333333,17,0.6023529411764705,13,0.8376923076923077,41,0.2867132867132867,0.304390243902439,31,0.35580645161290325,10,0.14500000000000002,37,0.25874125874125875,0.015135135135135142,25,-0.15760000000000005,12,0.375,30,0.2097902097902098,0.4806666666666667,21,0.4466666666666667,9,0.56,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-H003,H_SERIES,LIVE_READY,LONG,173,0.4316184971098266,130,0.4296923076923077,43,0.43744186046511624,4,11.0,20,3,9.0,28,0.16184971098265896,0.5125,20,0.20149999999999996,8,1.29,47,0.27167630057803466,0.5585106382978723,39,0.6787179487179488,8,-0.027499999999999997,56,0.3236994219653179,0.1475,42,0.08547619047619046,14,0.3335714285714286,39,0.2254335260115607,0.6100000000000001,26,0.7596153846153846,13,0.3107692307692308,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-H008,H_SERIES,LIVE_READY,LONG,139,0.3723741007194244,95,0.4104210526315789,44,0.2902272727272727,4,11.0,21,3,9.0,28,0.2014388489208633,0.5635714285714285,19,0.6094736842105263,9,0.46666666666666656,37,0.26618705035971224,0.3283783783783784,25,0.45080000000000003,12,0.07333333333333329,39,0.2805755395683453,0.11820512820512818,28,0.10428571428571427,11,0.1536363636363636,34,0.2446043165467626,0.5120588235294118,22,0.5186363636363637,12,0.5,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-H027,H_SERIES,LIVE_READY,LONG,147,0.3314965986394557,104,0.37384615384615383,43,0.22906976744186044,4,12.0,20,3,10.0,28,0.19047619047619047,0.5414285714285715,19,0.628421052631579,9,0.35777777777777786,33,0.22448979591836735,0.4,26,0.39115384615384624,7,0.4328571428571429,45,0.30612244897959184,0.3044444444444444,29,0.3624137931034483,16,0.19937500000000002,38,0.2585034013605442,0.20131578947368417,29,0.2503448275862069,9,0.04333333333333335,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-H028,H_SERIES,LIVE_READY,LONG,175,0.24662857142857145,132,0.25090909090909097,43,0.23348837209302323,4,10.0,20,3,8.0,44,0.25142857142857145,0.0509090909090909,28,0.11999999999999998,16,-0.07000000000000002,55,0.3142857142857143,0.25781818181818184,43,0.316046511627907,12,0.04916666666666666,39,0.22285714285714286,0.1392307692307692,31,-0.0041935483870967705,8,0.6950000000000001,36,0.2057142857142857,0.6197222222222223,29,0.596551724137931,7,0.7157142857142856,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-H029,H_SERIES,LIVE_READY,LONG,196,0.2107142857142857,136,0.20757352941176468,60,0.21783333333333338,4,11.0,21,3,9.0,41,0.20918367346938777,0.5063414634146342,28,0.522142857142857,13,0.47230769230769226,51,0.2602040816326531,0.05392156862745098,37,0.01297297297297299,14,0.16214285714285712,54,0.2755102040816326,-0.077037037037037,40,0.020250000000000025,14,-0.355,40,0.20408163265306123,0.44925,26,0.3930769230769231,14,0.5535714285714286,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-H017,H_SERIES,LIVE_READY,LONG,327,0.19125382262996943,225,0.19528888888888887,102,0.18235294117647058,4,11.0,21,3,9.0,68,0.20795107033639143,0.26823529411764707,44,0.2025,24,0.38875,84,0.25688073394495414,0.4360714285714286,66,0.46454545454545454,18,0.3316666666666667,81,0.24770642201834864,-0.21259259259259258,60,-0.32283333333333336,21,0.10238095238095235,77,0.23547400611620795,0.2994805194805195,46,0.4547826086956521,31,0.06903225806451609,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-H036,H_SERIES,LIVE_READY,LONG,142,0.3334507042253521,96,0.41041666666666665,46,0.17282608695652174,4,11.0,20,3,9.0,28,0.19718309859154928,0.5235714285714286,18,0.3333333333333333,10,0.866,37,0.2605633802816901,0.5272972972972974,27,0.8451851851851854,10,-0.331,42,0.29577464788732394,0.026904761904761893,29,0.005517241379310365,13,0.07461538461538458,31,0.21830985915492956,0.3570967741935484,18,0.5244444444444445,13,0.12538461538461537,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
