candidate_id,source,deployment_status,track,full_n,full_roi,trainval_n,trainval_roi,holdout_n,holdout_roi,min_week,median_week,max_week,min_prior_games,median_prior_games,W4_6_n,W4_6_share,W4_6_roi,W4_6_trainval_n,W4_6_trainval_roi,W4_6_holdout_n,W4_6_holdout_roi,W7_10_n,W7_10_share,W7_10_roi,W7_10_trainval_n,W7_10_trainval_roi,W7_10_holdout_n,W7_10_holdout_roi,W11_14_n,W11_14_share,W11_14_roi,W11_14_trainval_n,W11_14_trainval_roi,W11_14_holdout_n,W11_14_holdout_roi,W15_18_n,W15_18_share,W15_18_roi,W15_18_trainval_n,W15_18_trainval_roi,W15_18_holdout_n,W15_18_holdout_roi,recommended_start_week,timing_decision
NFL-NW013,NEXT_WAVE,WATCHLIST,LONG,75,0.49133333333333334,53,0.4786792452830188,22,0.5218181818181817,4,11.0,20,3,9.0,13,0.17333333333333334,0.8115384615384614,9,0.7066666666666666,4,1.0475,23,0.30666666666666664,0.41086956521739126,17,0.5923529411764706,6,-0.10333333333333332,25,0.3333333333333333,0.40879999999999994,18,0.27222222222222225,7,0.76,10,0.13333333333333333,0.531,5,0.5439999999999999,5,0.518,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW016,NEXT_WAVE,WATCHLIST,LONG,79,0.6972151898734177,58,0.764655172413793,21,0.5109523809523809,4,11.0,19,3,9.0,12,0.1518987341772152,1.5416666666666663,8,1.8287499999999999,4,0.9674999999999999,24,0.3037974683544304,0.9791666666666666,14,1.4671428571428573,10,0.296,16,0.20253164556962025,0.5331250000000001,15,0.372,1,2.95,25,0.31645569620253167,0.26199999999999996,20,0.22999999999999998,5,0.39,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW018,NEXT_WAVE,WATCHLIST,LONG,107,0.42813084112149535,71,0.39478873239436624,36,0.4938888888888888,4,12.0,20,3,10.0,22,0.205607476635514,0.5986363636363637,16,0.46375,6,0.9583333333333334,25,0.2336448598130841,0.2832,18,0.18555555555555558,7,0.5342857142857144,18,0.16822429906542055,0.773888888888889,11,0.6154545454545456,7,1.022857142857143,35,0.32710280373831774,0.31142857142857144,21,0.5252380952380953,14,-0.009285714285714277,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW015,NEXT_WAVE,WATCHLIST,LONG,108,0.4860185185185185,81,0.48617283950617285,27,0.4855555555555556,5,11.5,19,4,9.5,14,0.12962962962962962,0.3964285714285714,10,0.458,4,0.2425,31,0.28703703703703703,0.4932258064516129,26,0.4761538461538461,5,0.5820000000000001,29,0.26851851851851855,0.35068965517241374,20,0.35950000000000004,9,0.33111111111111113,32,0.2962962962962963,0.6637500000000001,25,0.6091999999999999,7,0.8585714285714285,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW021,NEXT_WAVE,WATCHLIST,LONG,90,0.4155140710286394,64,0.38766662535964813,26,0.484061629598464,4,11.5,21,3,9.5,20,0.2222222222222222,0.49819002367972437,13,0.6806999706841255,7,0.15924297924297928,23,0.25555555555555554,0.573046345056259,17,0.4156811425180851,6,1.018914418914419,24,0.26666666666666666,0.09506070335080812,18,0.019135224217191445,6,0.32283714075165804,20,0.2222222222222222,0.4513844181740493,14,0.47337830047273144,6,0.4000653594771242,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW022,NEXT_WAVE,WATCHLIST,LONG,75,0.33053333333333335,55,0.2772727272727273,20,0.477,4,12.0,21,3,10.0,14,0.18666666666666668,0.47428571428571425,9,0.14666666666666664,5,1.064,16,0.21333333333333335,0.574375,12,0.6625,4,0.31000000000000005,23,0.30666666666666664,0.30826086956521737,18,0.15333333333333332,5,0.866,18,0.24,0.1988888888888889,14,0.3728571428571429,4,-0.41,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW023,NEXT_WAVE,WATCHLIST,LONG,82,0.3776829268292683,59,0.3422033898305084,23,0.468695652173913,5,11.0,21,4,9.0,10,0.12195121951219512,0.9890000000000001,8,0.80375,2,1.73,24,0.2926829268292683,0.30083333333333334,19,0.2647368421052631,5,0.4379999999999999,29,0.35365853658536583,0.2586206896551725,20,0.23399999999999999,9,0.3133333333333333,18,0.21951219512195122,0.40888888888888886,12,0.33749999999999997,6,0.5516666666666666,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW024,NEXT_WAVE,WATCHLIST,LONG,171,0.37280701754385964,120,0.3334166666666666,51,0.46549019607843134,4,11.0,21,3,9.0,28,0.16374269005847952,0.5557142857142858,21,0.48333333333333334,7,0.7728571428571429,52,0.30409356725146197,0.49538461538461537,37,0.38027027027027027,15,0.7793333333333333,47,0.27485380116959063,0.18808510638297873,32,0.22875000000000004,15,0.1013333333333333,41,0.23976608187134502,0.35097560975609754,29,0.326551724137931,12,0.41,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW025,NEXT_WAVE,WATCHLIST,LONG,79,0.4517548404845452,58,0.44767566397480185,21,0.4630211375114554,4,10.0,21,3,8.0,20,0.25316455696202533,0.4810624176781081,15,0.7000832235708108,5,-0.176,20,0.25316455696202533,0.6152505248242953,14,0.44225171307138517,6,1.018914418914419,21,0.26582278481012656,0.15102049742672857,17,0.06363913109235272,4,0.5223913043478261,16,0.20253164556962025,0.5417305227175616,10,0.626729620661824,6,0.4000653594771242,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW031,NEXT_WAVE,WATCHLIST,LONG,110,0.3822727272727272,75,0.35719999999999996,35,0.43600000000000005,5,10.5,18,4,9.0,15,0.13636363636363635,0.5673333333333335,8,0.24375000000000002,7,0.937142857142857,40,0.36363636363636365,0.6425000000000001,31,0.7238709677419354,9,0.3622222222222222,29,0.2636363636363636,0.15724137931034485,21,0.1423809523809524,8,0.19625,26,0.23636363636363636,0.12615384615384617,15,-0.03933333333333338,11,0.3518181818181818,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW032,NEXT_WAVE,WATCHLIST,LONG,89,0.48752808988764046,65,0.5096923076923078,24,0.42750000000000005,5,11.0,19,4,9.0,11,0.12359550561797752,0.3236363636363636,8,0.19875,3,0.6566666666666666,30,0.33707865168539325,0.7153333333333335,24,0.7062499999999999,6,0.7516666666666666,26,0.29213483146067415,0.3269230769230769,17,0.32588235294117646,9,0.3288888888888889,20,0.2247191011235955,0.48149999999999993,16,0.565625,4,0.14500000000000002,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW034,NEXT_WAVE,WATCHLIST,LONG,71,0.45605633802816903,55,0.46654545454545454,16,0.42,4,11.0,18,3,9.0,11,0.15492957746478872,0.8099999999999998,9,0.6577777777777778,2,1.495,21,0.29577464788732394,0.4533333333333333,17,0.631764705882353,4,-0.305,21,0.29577464788732394,0.3128571428571429,17,0.20411764705882354,4,0.775,18,0.2535211267605634,0.4099999999999999,12,0.4608333333333334,6,0.3083333333333333,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW035,NEXT_WAVE,WATCHLIST,LONG,87,0.4806896551724137,53,0.5249056603773585,34,0.4117647058823529,4,10.0,21,3,8.0,24,0.27586206896551724,0.7579166666666667,15,0.6626666666666666,9,0.9166666666666666,22,0.25287356321839083,0.30000000000000004,15,0.2793333333333333,7,0.3442857142857143,18,0.20689655172413793,0.08388888888888887,12,0.012499999999999992,6,0.22666666666666666,20,0.22988505747126436,0.687,10,1.2120000000000002,10,0.16199999999999998,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW037,NEXT_WAVE,WATCHLIST,LONG,86,0.3403488372093023,61,0.3173770491803279,25,0.39640000000000003,5,12.0,20,4,10.0,8,0.09302325581395349,0.92625,4,0.21500000000000002,4,1.6375,20,0.23255813953488372,-0.0020000000000000018,16,0.2475,4,-1.0,33,0.38372093023255816,0.27969696969696967,22,0.26227272727272727,11,0.3145454545454545,22,0.2558139534883721,0.5959090909090908,16,0.5756249999999999,6,0.65,5,START_AT_HISTORICAL_MIN_WEEK
NFL-H031,H_SERIES,WATCHLIST,LONG,133,0.3300751879699248,90,0.29844444444444446,43,0.3962790697674418,4,12.0,21,3,10.0,17,0.12781954887218044,0.8764705882352941,13,1.0199999999999998,4,0.41000000000000003,34,0.2556390977443609,0.28529411764705886,20,0.29200000000000004,14,0.27571428571428575,44,0.3308270676691729,-0.0015909090909091025,36,-0.1388888888888889,8,0.6162500000000001,33,0.24812030075187969,0.573030303030303,19,0.631578947368421,14,0.4935714285714286,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW045,NEXT_WAVE,WATCHLIST,LONG,79,0.5125316455696203,55,0.5798181818181818,24,0.35833333333333334,4,10.0,20,3,8.0,21,0.26582278481012656,0.5076190476190476,13,0.40076923076923077,8,0.6812499999999999,21,0.26582278481012656,0.7290476190476192,20,0.8155000000000001,1,-1.0,19,0.24050632911392406,0.0015789473684210773,10,-0.05599999999999998,9,0.06555555555555552,16,0.20253164556962025,0.719375,10,0.7949999999999999,6,0.5933333333333334,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW047,NEXT_WAVE,WATCHLIST,LONG,117,0.36999999999999994,87,0.3794252873563219,30,0.3426666666666666,4,10.0,20,3,8.0,25,0.21367521367521367,0.041999999999999996,16,-0.03500000000000003,9,0.17888888888888888,37,0.3162393162393162,0.36621621621621625,27,0.48518518518518516,10,0.045,25,0.21367521367521367,0.2724,20,0.12000000000000002,5,0.882,29,0.24786324786324787,0.7889655172413794,23,0.8291304347826087,6,0.635,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW048,NEXT_WAVE,WATCHLIST,LONG,124,0.40798387096774197,85,0.43894117647058833,39,0.3405128205128205,5,11.0,21,4,9.5,15,0.12096774193548387,0.20133333333333336,10,0.27,5,0.06400000000000002,38,0.3064516129032258,0.48184210526315796,26,0.5026923076923077,12,0.4366666666666667,40,0.3225806451612903,0.3335,28,0.1846428571428572,12,0.6808333333333332,27,0.21774193548387097,0.38666666666666666,19,0.7310526315789474,8,-0.43125,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW050,NEXT_WAVE,WATCHLIST,MODERN,110,0.25970034395900543,59,0.2660899448340924,26,0.336388110716882,4,10.0,21,3,8.0,23,0.20909090909090908,0.26813882532418004,13,0.28,5,0.20743859649122803,37,0.33636363636363636,0.5226206980002974,20,0.6908548878057339,8,0.5142427679963003,31,0.2818181818181818,0.03130638950459649,16,-0.14438574770526155,6,0.009159292035398262,16,0.14545454545454545,-0.07437500000000001,8,-0.19125000000000003,6,0.39000000000000007,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-H015,H_SERIES,WATCHLIST,LONG,118,0.3677966101694915,88,0.3788636363636364,30,0.3353333333333333,4,11.0,20,3,9.0,19,0.16101694915254236,0.5,13,0.0007692307692307529,6,1.5816666666666668,38,0.3220338983050847,0.2681578947368422,30,0.5236666666666667,8,-0.69,31,0.2627118644067797,0.35322580645161294,23,0.3052173913043479,8,0.49125,25,0.211864406779661,0.5064,18,0.5277777777777778,7,0.45142857142857146,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW053,NEXT_WAVE,WATCHLIST,LONG,78,0.563974358974359,57,0.6498245614035087,21,0.33095238095238094,4,11.0,20,3,9.0,18,0.23076923076923078,0.47777777777777775,13,0.5592307692307693,5,0.266,20,0.2564102564102564,0.8610000000000001,19,0.82,1,1.64,22,0.28205128205128205,-0.07363636363636365,11,-0.20363636363636362,11,0.05636363636363635,16,0.20512820512820512,1.050625,12,1.1208333333333333,4,0.8400000000000001,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW055,NEXT_WAVE,WATCHLIST,LONG,99,0.3425252525252525,73,0.35,26,0.3215384615384615,4,11.0,21,3,10.0,24,0.24242424242424243,0.655,20,0.658,4,0.6399999999999999,18,0.18181818181818182,-0.3661111111111111,16,-0.286875,2,-1.0,26,0.26262626262626265,0.21038461538461536,16,0.06374999999999997,10,0.445,20,0.20202020202020202,0.8115000000000002,16,0.868125,4,0.5850000000000001,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-C001,COACHING,WATCHLIST,LONG,140,0.3293571428571428,101,0.3343564356435644,39,0.3164102564102564,4,9.0,18,3,8.0,44,0.3142857142857143,0.1911363636363637,32,0.2009375,12,0.165,35,0.25,0.56,25,0.4612,10,0.807,37,0.2642857142857143,0.2716216216216216,30,0.3316666666666666,7,0.014285714285714266,24,0.17142857142857143,0.3354166666666667,14,0.4185714285714286,10,0.21899999999999994,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW057,NEXT_WAVE,WATCHLIST,LONG,87,0.42114942528735627,62,0.4649999999999999,25,0.3124,4,11.0,19,3,9.0,17,0.19540229885057472,0.5358823529411765,11,0.47818181818181815,6,0.6416666666666667,21,0.2413793103448276,0.45142857142857146,15,0.5606666666666665,6,0.17833333333333334,35,0.40229885057471265,0.3694285714285715,27,0.2614814814814815,8,0.73375,13,0.14942528735632185,0.2584615384615384,8,0.7925,5,-0.596,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW059,NEXT_WAVE,WATCHLIST,LONG,92,0.37532608695652175,63,0.4066666666666668,29,0.3072413793103449,4,11.0,20,3,9.5,14,0.15217391304347827,0.3192857142857143,9,0.18333333333333338,5,0.5640000000000001,26,0.2826086956521739,0.4453846153846153,18,0.6655555555555555,8,-0.04999999999999996,30,0.32608695652173914,0.40233333333333327,22,0.23681818181818182,8,0.8574999999999999,19,0.20652173913043478,0.49526315789473685,12,0.7316666666666668,7,0.08999999999999998,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW060,NEXT_WAVE,WATCHLIST,LONG,104,0.30855769230769237,72,0.3113888888888889,32,0.3021875,4,12.0,21,3,10.0,18,0.17307692307692307,0.4111111111111111,10,0.258,8,0.6025,22,0.21153846153846154,0.35090909090909084,15,0.47866666666666663,7,0.07714285714285718,33,0.3173076923076923,0.28121212121212125,27,0.13296296296296298,6,0.9483333333333333,24,0.23076923076923078,0.30416666666666675,16,0.498125,8,-0.08374999999999999,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW061,NEXT_WAVE,WATCHLIST,LONG,96,0.3720833333333333,65,0.40753846153846157,31,0.29774193548387096,4,11.0,20,3,9.0,22,0.22916666666666666,0.7427272727272729,14,1.067142857142857,8,0.17500000000000002,24,0.25,0.34333333333333343,19,0.3152631578947368,5,0.45,27,0.28125,0.13777777777777778,16,0.16624999999999998,11,0.09636363636363637,18,0.1875,0.28833333333333333,13,0.2569230769230769,5,0.37,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW063,NEXT_WAVE,WATCHLIST,LONG,89,0.4530337078651686,66,0.508030303030303,23,0.2952173913043479,4,10.0,19,3,8.0,16,0.1797752808988764,0.18187499999999998,10,0.259,6,0.05333333333333331,32,0.3595505617977528,0.5659375,25,0.6335999999999999,7,0.32428571428571434,24,0.2696629213483146,0.29375,18,0.2194444444444445,6,0.5166666666666666,15,0.16853932584269662,0.766,11,0.9445454545454545,4,0.275,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW068,NEXT_WAVE,WATCHLIST,LONG,91,0.4010989010989011,64,0.44640625,27,0.2937037037037037,4,11.0,20,3,9.0,16,0.17582417582417584,0.630625,14,0.49857142857142867,2,1.5550000000000002,27,0.2967032967032967,0.32851851851851854,21,0.4776190476190476,6,-0.19333333333333333,22,0.24175824175824176,0.36272727272727273,16,0.1225,6,1.0033333333333334,23,0.25274725274725274,0.4286956521739132,13,0.7384615384615386,10,0.025999999999999978,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-H019,H_SERIES,WATCHLIST,LONG,114,0.36842105263157887,81,0.39888888888888885,33,0.29363636363636364,4,11.0,20,3,10.0,18,0.15789473684210525,0.8666666666666667,12,0.7025,6,1.195,31,0.2719298245614035,0.30967741935483867,24,0.47333333333333333,7,-0.2514285714285714,36,0.3157894736842105,0.38277777777777783,27,0.39592592592592596,9,0.3433333333333333,27,0.23684210526315788,0.0837037037037037,16,0.06687499999999999,11,0.1081818181818182,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW069,NEXT_WAVE,WATCHLIST,LONG,92,0.2967391304347826,57,0.29894736842105263,35,0.29314285714285715,5,11.0,20,4,9.5,8,0.08695652173913043,0.6025,4,0.9675,4,0.23750000000000004,30,0.32608695652173914,0.10200000000000002,21,0.13619047619047625,9,0.022222222222222216,30,0.32608695652173914,0.409,16,0.288125,14,0.5471428571428572,22,0.2391304347826087,0.315,15,0.29866666666666664,7,0.35000000000000003,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW070,NEXT_WAVE,WATCHLIST,LONG,75,0.5438666666666667,56,0.6294642857142857,19,0.291578947368421,5,12.0,19,4,10.0,9,0.12,0.40111111111111103,5,-0.06000000000000001,4,0.9775,19,0.25333333333333335,0.4584210526315789,18,0.40388888888888885,1,1.44,25,0.3333333333333333,0.414,18,0.5805555555555555,7,-0.014285714285714266,21,0.28,0.9104761904761905,15,1.1886666666666668,6,0.215,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW072,NEXT_WAVE,WATCHLIST,LONG,71,0.3909859154929577,56,0.4183928571428571,15,0.28866666666666674,4,11.0,20,3,9.0,12,0.16901408450704225,0.053333333333333344,11,-0.05909090909090908,1,1.29,23,0.323943661971831,0.23826086956521741,18,0.4444444444444444,5,-0.504,19,0.2676056338028169,0.6878947368421052,15,0.678,4,0.7250000000000001,14,0.19718309859154928,0.6292857142857142,10,0.5149999999999999,4,0.915,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW073,NEXT_WAVE,WATCHLIST,LONG,164,0.27664634146341466,112,0.27392857142857147,52,0.2825,4,11.0,21,3,9.0,31,0.18902439024390244,0.5329032258064517,22,0.4986363636363636,9,0.6166666666666667,43,0.2621951219512195,0.3513953488372093,30,0.30066666666666664,13,0.46846153846153843,46,0.2804878048780488,0.07065217391304346,29,0.05310344827586207,17,0.10058823529411764,40,0.24390243902439024,0.19274999999999995,29,0.22655172413793104,11,0.10363636363636361,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
