segment,bets,wins,win_rate,profit,roi,ci_low,ci_high,avg_market_prob,avg_decimal_odds
2024,37,30,0.8108108108108109,23.32561531827278,0.012608440712579883,-0.1593213154709785,0.16042297732241514,0.7637230320180807,1.256643083340689
2025,19,17,0.8947368421052632,107.49999999999997,0.11315789473684207,-0.08421052631578947,0.25526315789473686,0.772532782584546,1.2484210526315787
2024-current,56,47,0.8392857142857143,130.82561531827278,0.04672343404224028,-0.07964250193642589,0.1588421109320301,0.7667120545317029,1.2538534657786695
