method_id,segment,n,win_pct,roi,below_base_by,descriptive_weak
CO001,W4_6,16,0.5,0.7593749999999999,-0.3902352150537634,False
CO001,W7_10,27,0.2592592592592592,-0.1548148148148148,0.5239545997610513,True
CO001,W11_14,28,0.3928571428571428,0.6075,-0.23836021505376354,False
CO001,W15_18,22,0.3636363636363636,0.425,-0.055860215053763485,False
CO005,W4_6,36,0.6666666666666666,0.6566666666666667,-0.38767932489451484,False
CO005,W7_10,47,0.4893617021276595,0.2238297872340426,0.045157554538109296,False
CO005,W11_14,45,0.4666666666666667,0.1735555555555555,0.0954317862165964,False
CO005,W15_18,30,0.4,0.0176666666666666,0.2513206751054853,True
CO009,W4_6,54,0.4814814814814814,0.7796296296296296,-0.49159189378057305,False
CO009,W7_10,70,0.3,0.0204285714285714,0.2676091644204851,True
CO009,W11_14,73,0.2876712328767123,0.1158904109589041,0.17214732489015241,False
CO009,W15_18,68,0.3529411764705882,0.3579411764705882,-0.0699034406215317,False
CO016,W4_6,22,0.7727272727272727,0.1172286191406601,0.04721179973112519,False
CO016,W7_10,26,0.8076923076923077,0.1699846414106625,-0.005544222538877208,False
CO016,W11_14,24,0.9166666666666666,0.3116732929557499,-0.14723287408396463,False
CO016,W15_18,29,0.7586206896551724,0.0734376888738132,0.09100272999797208,False
CO017,W4_6,31,0.5161290322580645,0.2883870967741935,-0.10530490499337158,False
CO017,W7_10,39,0.4871794871794871,0.201025641025641,-0.017943449244819082,False
CO017,W11_14,41,0.5121951219512195,0.2799999999999999,-0.096917808219178,False
CO017,W15_18,35,0.3714285714285714,-0.0437142857142857,0.22679647749510762,True
CO018,W4_6,30,0.6333333333333333,0.0633180250321975,0.0990073597944657,False
CO018,W7_10,33,0.696969696969697,0.160656738204676,0.0016686466219872076,False
CO018,W11_14,42,0.7380952380952381,0.224208343713671,-0.06188295888700779,False
CO018,W15_18,27,0.7037037037037037,0.1781106388675976,-0.015785254040934393,False
CO026,W4_6,21,0.6666666666666666,0.6390476190476191,-0.23400174748798608,False
CO026,W7_10,31,0.5161290322580645,0.2832258064516129,0.12182006510802013,False
CO026,W11_14,31,0.5161290322580645,0.317741935483871,0.08730393607576203,False
CO026,W15_18,26,0.5769230769230769,0.4653846153846154,-0.06033874382498239,False
CO043,W4_6,24,0.375,0.4429166666666667,-0.0862145390070923,False
CO043,W7_10,24,0.375,0.2087499999999999,0.14795212765957447,False
CO043,W11_14,17,0.2941176470588235,0.1688235294117646,0.18787859824780978,False
CO043,W15_18,29,0.4137931034482758,0.5179310344827586,-0.1612289068231842,False
CO048,W4_6,18,0.5,0.8033333333333333,-0.27200680272108846,False
CO048,W7_10,21,0.5714285714285714,0.8914285714285716,-0.3601020408163267,False
CO048,W11_14,27,0.4444444444444444,0.4837037037037038,0.04762282690854108,False
CO048,W15_18,32,0.3125,0.1821874999999999,0.349139030612245,True
CO061,W4_6,14,0.2857142857142857,0.09,0.2175257731958762,True
CO061,W7_10,24,0.4166666666666667,0.3245833333333333,-0.017057560137457073,False
CO061,W11_14,27,0.3703703703703703,0.3181481481481481,-0.010622374952271918,False
CO061,W15_18,32,0.375,0.3809375,-0.07341172680412378,False
