coach_method,min_h_agreement,n,wins,losses,win_pct,roi,holdout_n,holdout_win_pct,holdout_roi,avg_h_agreements,priority
CO017,1,55,33,22,0.6,0.4998181818181817,16,0.6875,0.6856249999999999,1.963636363636364,True
CO005,1,59,35,24,0.5932203389830508,0.4808474576271186,16,0.625,0.5581250000000001,2.0,True
CO005,2,27,21,6,0.7777777777777778,0.965925925925926,8,0.875,1.17375,3.185185185185185,False
CO017,2,27,18,9,0.6666666666666666,0.6533333333333333,7,0.8571428571428571,1.1014285714285714,2.962962962962963,False
CO026,1,7,7,0,1.0,1.55,4,1.0,1.535,1.0,False
