method_id,family,feature,op,threshold,confirmed,base_n,base_win_pct,base_roi,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,train_loss_lift,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,validation_loss_lift,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_loss_lift,retained_share,veto_score,preholdout_risk_n,strict,ultra_strict
CO001,CONTEXT,travel_miles,>=,953.1368323547238,True,93,0.3655913978494624,0.3691397849462365,14,0.2142857142857142,-0.3185714285714285,0.8271428571428573,0.1071428571428571,13,0.2307692307692307,-0.1623076923076923,0.6916666666666668,0.1476091476091475,9,0.1111111111111111,-0.5211111111111111,0.9163157894736842,0.2817460317460316,0.6785714285714286,10.896779179130622,27,True,True
CO005,COACH,opp_coachq_oc_prior_quality,<=,0.524609375,True,158,0.5063291139240507,0.2689873417721519,18,0.3888888888888889,-0.0227777777777777,0.280377358490566,0.0899843505477309,10,0.4,0.011,0.2624390243902439,0.0901960784313725,8,0.375,-0.0724999999999999,0.6342857142857142,0.2083333333333333,0.7777777777777778,10.651409483624674,28,True,False
CO009,COACH,opp_coachq_dc_quality_delta_vs_departed,>=,0.1135416666666666,True,265,0.3471698113207547,0.2880377358490565,9,0.1111111111111111,-0.6611111111111111,0.3008064516129032,0.1987480438184663,11,0.2727272727272727,-0.0445454545454545,0.3481720430107526,0.0830419580419581,8,0.25,-0.0325,0.3902439024390244,0.1166666666666667,0.9111111111111112,10.309983944367746,20,True,False
CO017,CONTEXT,rank_edge_passing_cpoe,<=,-10.2,True,146,0.4726027397260274,0.1830821917808219,8,0.25,-0.32,0.2593749999999999,0.1999999999999999,14,0.3571428571428571,-0.0714285714285714,0.2719512195121951,0.1155844155844154,11,0.3636363636363636,-0.14,0.3095,0.1265597147950089,0.7843137254901961,10.331408895563207,22,True,True
CO018,CONTEXT,recent_edge_off_epa,>=,8.838128863381744,True,132,0.696969696969697,0.1623253848266632,16,0.5625,-0.071124005486986,0.2816212584066915,0.1263888888888888,9,0.5555555555555556,-0.042589802616781,0.2344131912693915,0.1444444444444443,13,0.3846153846153846,-0.387163169274572,0.369045261349606,0.3175122749590835,0.723404255319149,10.59657257701394,25,True,True
CO043,COACH,opp_coachq_hc_prior_quality,<=,0.5021367521367521,True,94,0.3723404255319149,0.3567021276595744,14,0.2142857142857142,-0.3628571428571429,0.7861538461538462,0.1190476190476189,11,0.1818181818181818,-0.3845454545454546,0.8403333333333334,0.2328159645232814,9,0.2222222222222222,-0.1077777777777778,0.4929411764705882,0.1239316239316239,0.6538461538461539,10.325555288127251,25,True,True
CO061,COACH,coachq_prev_hc_recent_quality,>=,0.7615384615384617,True,97,0.3711340206185567,0.3075257731958762,10,0.2,-0.384,0.849,0.2,9,0.2222222222222222,-0.1411111111111111,0.3603125,0.1436314363143631,6,0.0,-1.0,0.6214999999999999,0.3461538461538461,0.7692307692307693,10.737051149881047,19,True,False
