method_id,base_n,base_wins,base_losses,base_roi,train_n,validation_n,holdout_n,train_roi,validation_roi,holdout_roi
NFL-H002,143,81,62,0.3551048951048952,57,39,47,0.24280701754385967,0.3507692307692308,0.49489361702127654
NFL-H003,173,99,74,0.4316184971098266,79,51,43,0.5616455696202532,0.22529411764705878,0.43744186046511624
NFL-H006,252,129,123,0.2727380952380953,97,79,76,0.25680412371134015,0.2967088607594937,0.26815789473684204
NFL-H010,162,90,72,0.3194444444444444,64,58,40,0.36375,0.2689655172413793,0.3217499999999999
NFL-H016,176,92,84,0.30784090909090905,85,46,45,0.3334117647058824,0.3060869565217391,0.2613333333333333
NFL-H029,196,100,96,0.2107142857142857,75,61,60,0.20839999999999997,0.20655737704918034,0.2178333333333333
NFL-H033,286,144,142,0.19884615384615387,115,83,88,0.24808695652173912,0.1702409638554217,0.16147727272727277
