method,decision,veto_count,vetoes,final_n,final_wins,final_losses,final_win_pct,final_roi,final_holdout_n,final_holdout_win_pct,final_holdout_roi
original,ENRICHED_VETO_CONFIRMED,1,ats_margin <= -4.2,66,66,0,1.0,0.43128089728042635,24,1.0,0.4190828180459614
stricter,ENRICHED_VETO_CONFIRMED,1,ats_margin <= -5.5,50,50,0,1.0,0.38009529604068304,18,1.0,0.3671799730143285
