team,selection,moneyline,week,preseason_wins,preseason_games,preseason_win_pct,preseason_record_equiv,game_id,opponent,schedule_week,head_coach_changed,offensive_coordinator_changed,defensive_coordinator_changed,qb_changed_from_prior_season,returning_offense_snap_share,returning_defense_snap_share,returning_ol_snap_share,returning_skill_snap_share,rest,game_type,date,is_home,market_prob,completed,win,push,profit,rest_edge,elo_edge,prior_games,opp_prior_games,rank_edge_off_epa_per_play,pre_off_epa_per_play,opp_pre_off_epa_per_play,recent_edge_off_epa_per_play,rank_edge_pass_epa_per_dropback,pre_pass_epa_per_dropback,opp_pre_pass_epa_per_dropback,recent_edge_pass_epa_per_dropback,rank_edge_rush_epa_per_carry,pre_rush_epa_per_carry,opp_pre_rush_epa_per_carry,recent_edge_rush_epa_per_carry,rank_edge_sack_rate_allowed,pre_sack_rate_allowed,opp_pre_sack_rate_allowed,recent_edge_sack_rate_allowed,rank_edge_yards_per_play,pre_yards_per_play,opp_pre_yards_per_play,recent_edge_yards_per_play,rank_edge_giveaway_rate,pre_giveaway_rate,opp_pre_giveaway_rate,recent_edge_giveaway_rate,rank_edge_points_for,pre_points_for,opp_pre_points_for,recent_edge_points_for,rank_edge_points_against,pre_points_against,opp_pre_points_against,recent_edge_points_against,rank_edge_point_margin,pre_point_margin,opp_pre_point_margin,recent_edge_point_margin,rank_edge_passing_cpoe,pre_passing_cpoe,opp_pre_passing_cpoe,recent_edge_passing_cpoe,rank_edge_penalty_yards,pre_penalty_yards,opp_pre_penalty_yards,recent_edge_penalty_yards,rank_edge_off_epa,pre_off_epa,opp_pre_off_epa,recent_edge_off_epa,rank_edge_fg_accuracy,pre_fg_accuracy,opp_pre_fg_accuracy,recent_edge_fg_accuracy,rank_edge_punt_net_average,pre_punt_net_average,opp_pre_punt_net_average,recent_edge_punt_net_average,rank_edge_punt_return_average,pre_punt_return_average,opp_pre_punt_return_average,recent_edge_punt_return_average,rank_edge_kick_return_average,pre_kick_return_average,opp_pre_kick_return_average,recent_edge_kick_return_average,rank_edge_success_rate,pre_success_rate,opp_pre_success_rate,recent_edge_success_rate,rank_edge_explosive_rate,pre_explosive_rate,opp_pre_explosive_rate,recent_edge_explosive_rate,rank_edge_early_down_epa,pre_early_down_epa,opp_pre_early_down_epa,recent_edge_early_down_epa,rank_edge_third_down_success,pre_third_down_success,opp_pre_third_down_success,recent_edge_third_down_success,rank_edge_redzone_epa,pre_redzone_epa,opp_pre_redzone_epa,recent_edge_redzone_epa,rank_edge_sack_or_hit_rate,pre_sack_or_hit_rate,opp_pre_sack_or_hit_rate,recent_edge_sack_or_hit_rate,rank_edge_def_allowed_off_epa_per_play,pre_def_allowed_off_epa_per_play,opp_pre_def_allowed_off_epa_per_play,recent_edge_def_allowed_off_epa_per_play,rank_edge_def_allowed_pass_epa_per_dropback,pre_def_allowed_pass_epa_per_dropback,opp_pre_def_allowed_pass_epa_per_dropback,recent_edge_def_allowed_pass_epa_per_dropback,rank_edge_def_allowed_rush_epa_per_carry,pre_def_allowed_rush_epa_per_carry,opp_pre_def_allowed_rush_epa_per_carry,recent_edge_def_allowed_rush_epa_per_carry,rank_edge_def_allowed_yards_per_play,pre_def_allowed_yards_per_play,opp_pre_def_allowed_yards_per_play,recent_edge_def_allowed_yards_per_play,rank_edge_def_allowed_giveaway_rate,pre_def_allowed_giveaway_rate,opp_pre_def_allowed_giveaway_rate,recent_edge_def_allowed_giveaway_rate,rank_edge_def_allowed_success_rate,pre_def_allowed_success_rate,opp_pre_def_allowed_success_rate,recent_edge_def_allowed_success_rate,rank_edge_def_allowed_explosive_rate,pre_def_allowed_explosive_rate,opp_pre_def_allowed_explosive_rate,recent_edge_def_allowed_explosive_rate,rank_edge_def_allowed_early_down_epa,pre_def_allowed_early_down_epa,opp_pre_def_allowed_early_down_epa,recent_edge_def_allowed_early_down_epa,rank_edge_def_allowed_sack_or_hit_rate,pre_def_allowed_sack_or_hit_rate,opp_pre_def_allowed_sack_or_hit_rate,recent_edge_def_allowed_sack_or_hit_rate,tz_shift_hours,venue_altitude_ft,high_altitude_game,neutral_site,international_game,venue_known,injury_listed,out_players,doubtful_players,questionable_players,dnp_players,limited_players,unavailable_equiv,out_equiv,star_outs,qb_unavail_equiv,ol_unavail_equiv,skill_unavail_equiv,front7_unavail_equiv,secondary_unavail_equiv,gameday,home_side,qb_id,qb_name,opp_moneyline,opp_rest,early_season_context_only,validated_rolling_methods_ready,prior_season_primary_qb_id,prior_season_primary_qb_name,prior_season_head_coach,qb_prior_starts,qb_birth_date,qb_years_of_experience,qb_rookie_season,qb_draft_year,qb_draft_round,qb_draft_pick,qb_height,qb_weight,qb_age,injury_burden,out_qbs,out_ol,injury_data_available,staff_source,low_offense_continuity_flag,low_defense_continuity_flag,low_ol_continuity_flag,context_only_reason,preseason_nonwin_equiv,preseason_losing_record,preseason_even_record,preseason_winning_record,preseason_unbeaten,preseason_winless,preseason_source,opp_preseason_games,opp_preseason_wins,opp_preseason_nonwin_equiv,opp_preseason_record_equiv,opp_preseason_win_pct,opp_preseason_losing_record,opp_preseason_even_record,opp_preseason_winning_record,opp_preseason_unbeaten,opp_preseason_winless,opp_preseason_source,preseason_delta_win_pct,preseason_form_disadvantage,both_teams_preseason_losing,opp_injury_listed,adv_injury_listed,opp_out_players,adv_out_players,opp_doubtful_players,adv_doubtful_players,opp_questionable_players,adv_questionable_players,opp_unavailable_equiv,adv_unavailable_equiv,opp_out_equiv,adv_out_equiv,opp_star_outs,adv_star_outs,opp_qb_unavail_equiv,adv_qb_unavail_equiv,opp_ol_unavail_equiv,adv_ol_unavail_equiv,opp_skill_unavail_equiv,adv_skill_unavail_equiv,opp_front7_unavail_equiv,adv_front7_unavail_equiv,opp_secondary_unavail_equiv,adv_secondary_unavail_equiv,opp_returning_offense_snap_share,adv_returning_offense_snap_share,opp_returning_defense_snap_share,adv_returning_defense_snap_share,opp_returning_ol_snap_share,adv_returning_ol_snap_share,opp_returning_skill_snap_share,adv_returning_skill_snap_share,profit_units,market_prob_calc,market_prob_use,gameday_sched,home_rest,away_rest,overtime,div_game,roof,surface,gametime,location,home_team,away_team,rest_days,opp_rest_days,rest_days_edge,travel_miles,abs_tz_shift_hours,eastward_tz_hours,westward_tz_hours,altitude_change_ft,road_game,consecutive_road_games,prev_road_game,prev_travel_miles,prev_abs_tz_shift,prev_international_game,prev_high_altitude_game,prev_overtime,prior_road_streak,prior_road_games_last2,prior_road_miles_last2,prior_tz_hours_last2,prior_long_trips_last2,prior_road_games_last3,prior_road_miles_last3,prior_tz_hours_last3,prior_long_trips_last3,prior_road_games_last4,prior_road_miles_last4,prior_tz_hours_last4,prior_long_trips_last4,prior_road_games_last5,prior_road_miles_last5,prior_tz_hours_last5,prior_long_trips_last5,prior_overtime_last3,road_games_last4_including_current,road_games_last5_including_current,road_miles_last4_including_current,road_miles_last5_including_current,tz_hours_last4_including_current,back_to_back_road,third_straight_road,third_road_in_four,fourth_road_in_five,short_week_le6,very_short_week_le5,extra_rest_ge8,road_on_short_week,long_trip_short_week,very_long_trip_short_week,multi_tz_short_week,after_long_road_game,road_after_long_road_game,home_after_long_road_game,after_international_game,after_high_altitude_game,short_week_after_overtime,travel_miles_per_rest_day,road_miles4_per_rest_day,fatigue_load_index,opp_travel_miles,adv_travel_miles,opp_abs_tz_shift_hours,adv_abs_tz_shift_hours,opp_eastward_tz_hours,adv_eastward_tz_hours,opp_westward_tz_hours,adv_westward_tz_hours,opp_altitude_change_ft,adv_altitude_change_ft,opp_road_game,adv_road_game,opp_consecutive_road_games,adv_consecutive_road_games,opp_prev_road_game,adv_prev_road_game,opp_prev_travel_miles,adv_prev_travel_miles,opp_prev_abs_tz_shift,adv_prev_abs_tz_shift,opp_prev_international_game,adv_prev_international_game,opp_prev_high_altitude_game,adv_prev_high_altitude_game,opp_prev_overtime,adv_prev_overtime,opp_prior_road_streak,adv_prior_road_streak,opp_prior_road_games_last2,adv_prior_road_games_last2,opp_prior_road_miles_last2,adv_prior_road_miles_last2,opp_prior_tz_hours_last2,adv_prior_tz_hours_last2,opp_prior_long_trips_last2,adv_prior_long_trips_last2,opp_prior_road_games_last3,adv_prior_road_games_last3,opp_prior_road_miles_last3,adv_prior_road_miles_last3,opp_prior_tz_hours_last3,adv_prior_tz_hours_last3,opp_prior_long_trips_last3,adv_prior_long_trips_last3,opp_prior_road_games_last4,adv_prior_road_games_last4,opp_prior_road_miles_last4,adv_prior_road_miles_last4,opp_prior_tz_hours_last4,adv_prior_tz_hours_last4,opp_prior_long_trips_last4,adv_prior_long_trips_last4,opp_prior_road_games_last5,adv_prior_road_games_last5,opp_prior_road_miles_last5,adv_prior_road_miles_last5,opp_prior_tz_hours_last5,adv_prior_tz_hours_last5,opp_prior_long_trips_last5,adv_prior_long_trips_last5,opp_prior_overtime_last3,adv_prior_overtime_last3,opp_road_games_last4_including_current,adv_road_games_last4_including_current,opp_road_games_last5_including_current,adv_road_games_last5_including_current,opp_road_miles_last4_including_current,adv_road_miles_last4_including_current,opp_road_miles_last5_including_current,adv_road_miles_last5_including_current,opp_tz_hours_last4_including_current,adv_tz_hours_last4_including_current,opp_back_to_back_road,adv_back_to_back_road,opp_third_straight_road,adv_third_straight_road,opp_third_road_in_four,adv_third_road_in_four,opp_fourth_road_in_five,adv_fourth_road_in_five,opp_short_week_le6,adv_short_week_le6,opp_very_short_week_le5,adv_very_short_week_le5,opp_road_on_short_week,adv_road_on_short_week,opp_long_trip_short_week,adv_long_trip_short_week,opp_very_long_trip_short_week,adv_very_long_trip_short_week,opp_multi_tz_short_week,adv_multi_tz_short_week,opp_after_long_road_game,adv_after_long_road_game,opp_road_after_long_road_game,adv_road_after_long_road_game,opp_home_after_long_road_game,adv_home_after_long_road_game,opp_after_international_game,adv_after_international_game,opp_after_high_altitude_game,adv_after_high_altitude_game,opp_short_week_after_overtime,adv_short_week_after_overtime,opp_travel_miles_per_rest_day,adv_travel_miles_per_rest_day,opp_road_miles4_per_rest_day,adv_road_miles4_per_rest_day,opp_fatigue_load_index,adv_fatigue_load_index,opp_extra_rest_ge8,adv_extra_rest_ge8,close_away,close_home,open_away,open_home,open_prob,close_prob,open_to_close_prob_move,base_vs_open_prob_move,gameday_dt,head_coach,offensive_coordinator,defensive_coordinator,coordinator_changes,major_staff_changes,hc_changed_season,oc_changed_season,dc_changed_season,hc_tenure_seasons,oc_tenure_seasons,dc_tenure_seasons,both_coords_changed,staff_change_count,full_staff_stable,full_staff_overhaul,hc_prior_games,hc_prior_win_pct,oc_prior_games,oc_prior_win_pct,dc_prior_games,dc_prior_win_pct,hc_prior_games_current_stint,oc_prior_role_seasons,dc_prior_role_seasons,early_season_le4,new_hc_early_season,new_oc_early_season,new_dc_early_season,new_hc_young_qb,new_oc_young_qb,new_oc_inexperienced_qb,new_hc_short_week,new_oc_short_week,new_dc_short_week,staff_overhaul_short_week,staff_overhaul_long_trip,new_oc_long_trip,new_dc_long_trip,new_oc_low_off_continuity,new_dc_low_def_continuity,opp_major_staff_changes,adv_major_staff_changes,opp_hc_changed_season,adv_hc_changed_season,opp_oc_changed_season,adv_oc_changed_season,opp_dc_changed_season,adv_dc_changed_season,opp_hc_tenure_seasons,adv_hc_tenure_seasons,opp_oc_tenure_seasons,adv_oc_tenure_seasons,opp_dc_tenure_seasons,adv_dc_tenure_seasons,opp_both_coords_changed,adv_both_coords_changed,opp_staff_change_count,adv_staff_change_count,opp_full_staff_stable,adv_full_staff_stable,opp_full_staff_overhaul,adv_full_staff_overhaul,opp_hc_prior_games,adv_hc_prior_games,opp_hc_prior_win_pct,adv_hc_prior_win_pct,opp_oc_prior_games,adv_oc_prior_games,opp_oc_prior_win_pct,adv_oc_prior_win_pct,opp_dc_prior_games,adv_dc_prior_games,opp_dc_prior_win_pct,adv_dc_prior_win_pct,opp_hc_prior_games_current_stint,adv_hc_prior_games_current_stint,opp_oc_prior_role_seasons,adv_oc_prior_role_seasons,opp_dc_prior_role_seasons,adv_dc_prior_role_seasons,opp_new_hc_early_season,adv_new_hc_early_season,opp_new_oc_early_season,adv_new_oc_early_season,opp_new_dc_early_season,adv_new_dc_early_season,opp_new_hc_young_qb,adv_new_hc_young_qb,opp_new_oc_young_qb,adv_new_oc_young_qb,opp_new_oc_inexperienced_qb,adv_new_oc_inexperienced_qb,opp_new_hc_short_week,adv_new_hc_short_week,opp_new_oc_short_week,adv_new_oc_short_week,opp_new_dc_short_week,adv_new_dc_short_week,opp_staff_overhaul_short_week,adv_staff_overhaul_short_week,opp_staff_overhaul_long_trip,adv_staff_overhaul_long_trip,opp_new_oc_long_trip,adv_new_oc_long_trip,opp_new_dc_long_trip,adv_new_dc_long_trip,opp_new_oc_low_off_continuity,adv_new_oc_low_off_continuity,opp_new_dc_low_def_continuity,adv_new_dc_low_def_continuity,coachq_hc_prior_role_seasons,coachq_hc_prior_quality,coachq_hc_recent_quality,coachq_hc_prior_win_pct,coachq_oc_prior_role_seasons,coachq_oc_prior_quality,coachq_oc_recent_quality,coachq_oc_prior_win_pct,coachq_dc_prior_role_seasons,coachq_dc_prior_quality,coachq_dc_recent_quality,coachq_dc_prior_win_pct,coachq_prev_head_coach,coachq_prev_offensive_coordinator,coachq_prev_defensive_coordinator,coachq_prev_hc_prior_role_seasons,coachq_prev_hc_prior_quality,coachq_prev_hc_recent_quality,coachq_prev_hc_prior_win_pct,coachq_prev_oc_prior_role_seasons,coachq_prev_oc_prior_quality,coachq_prev_oc_recent_quality,coachq_prev_oc_prior_win_pct,coachq_prev_dc_prior_role_seasons,coachq_prev_dc_prior_quality,coachq_prev_dc_recent_quality,coachq_prev_dc_prior_win_pct,coachq_hc_changed_quality,coachq_hc_quality_delta_vs_departed,coachq_oc_changed_quality,coachq_oc_quality_delta_vs_departed,coachq_dc_changed_quality,coachq_dc_quality_delta_vs_departed,coachq_staff_quality_mean,coachq_staff_quality_min,coachq_staff_upgrade_count,coachq_staff_downgrade_count,opp_coachq_hc_prior_role_seasons,opp_coachq_hc_prior_quality,opp_coachq_hc_recent_quality,opp_coachq_hc_prior_win_pct,opp_coachq_oc_prior_role_seasons,opp_coachq_oc_prior_quality,opp_coachq_oc_recent_quality,opp_coachq_oc_prior_win_pct,opp_coachq_dc_prior_role_seasons,opp_coachq_dc_prior_quality,opp_coachq_dc_recent_quality,opp_coachq_dc_prior_win_pct,opp_coachq_prev_head_coach,opp_coachq_prev_offensive_coordinator,opp_coachq_prev_defensive_coordinator,opp_coachq_prev_hc_prior_role_seasons,opp_coachq_prev_hc_prior_quality,opp_coachq_prev_hc_recent_quality,opp_coachq_prev_hc_prior_win_pct,opp_coachq_prev_oc_prior_role_seasons,opp_coachq_prev_oc_prior_quality,opp_coachq_prev_oc_recent_quality,opp_coachq_prev_oc_prior_win_pct,opp_coachq_prev_dc_prior_role_seasons,opp_coachq_prev_dc_prior_quality,opp_coachq_prev_dc_recent_quality,opp_coachq_prev_dc_prior_win_pct,opp_coachq_hc_changed_quality,opp_coachq_hc_quality_delta_vs_departed,opp_coachq_oc_changed_quality,opp_coachq_oc_quality_delta_vs_departed,opp_coachq_dc_changed_quality,opp_coachq_dc_quality_delta_vs_departed,opp_coachq_staff_quality_mean,opp_coachq_staff_quality_min,opp_coachq_staff_upgrade_count,opp_coachq_staff_downgrade_count,adv_hc_prior_quality,adv_oc_prior_quality,adv_dc_prior_quality,adv_hc_recent_quality,adv_oc_recent_quality,adv_dc_recent_quality,adv_hc_quality_delta_vs_departed,adv_oc_quality_delta_vs_departed,adv_dc_quality_delta_vs_departed,adv_staff_quality_mean,adv_staff_quality_min,adv_staff_upgrade_count,adv_staff_downgrade_count,record_gap_pp,run_def_rank,method,preseason_policy_pass,historical_price_bucket,price_bucket_n,price_bucket_win_pct,price_bucket_roi,price_bucket_recent_roi,enriched_veto_status,enriched_veto_rule
NO,Saints,-185.0,3,1.0,3,0.333333,1-2,2026_03_LV_NO,LV,3,0.0,,,,0.7565512779035911,0.7737190082644628,0.784688995215311,0.7073485967503693,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.65,2.0,stricter,False,-199 to -150,5.0,0.6,-0.0927824159967017,0.1340219800041229,UNKNOWN,ats_margin <= -5.5
TEN,Titans,-375.0,2,2.0,3,0.666667,2-1,2026_01_NYJ_TEN,NYJ,1,1.0,1.0,1.0,0.0,0.6288198330033572,0.46296616022099446,0.5272121436504998,0.6686057785534225,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.65,5.0,stricter,True,-399 to -300,14.0,0.8571428571428571,0.11192497851522971,0.06810472048971934,UNKNOWN,ats_margin <= -5.5
BAL,Ravens,-375.0,2,3.0,3,1.0,3-0,2026_02_NO_BAL,NO,2,1.0,1.0,1.0,0.0,0.6245293168370092,0.7660701388331594,0.5698818897637795,0.6268774703557313,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76,6.0,original,True,-399 to -300,19.0,0.8421052631578947,0.08965704382876835,0.11992798957169587,UNKNOWN,ats_margin <= -4.2
