method,week,n,wins,losses,win_pct,roi,units
original,1,46,39,7,0.8478260869565217,0.20147547740867164,9.267871960798896
original,2,37,30,7,0.8108108108108109,0.14391484444277705,5.324849244382751
original,3,7,6,1,0.8571428571428571,0.13175092989257997,0.9222565092480598
original,4,1,0,1,0.0,-1.0,-1.0
stricter,1,27,25,2,0.9259259259259259,0.25687880530166796,6.935727743145035
stricter,2,29,24,5,0.8275862068965517,0.14232701544345644,4.127483447860237
stricter,3,7,6,1,0.8571428571428571,0.13175092989257997,0.9222565092480598
stricter,4,1,0,1,0.0,-1.0,-1.0
