method,n,wins,losses,win_pct,roi,units,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_seasons,active_seasons,positive_ratio,max_share
original,91,75,16,0.8241758241758241,0.15950524960911766,14.514977714429708,25,0.88,0.1601090923818964,34,0.7941176470588235,0.17599042754367947,32,0.8125,0.1415179958874123,13,18,0.7222222222222222,0.07692307692307693
stricter,64,55,9,0.859375,0.17164793281645835,10.985467700253334,20,0.85,0.051830798615536855,21,0.9047619047619048,0.3383008617160773,23,0.8260869565217391,0.1236753753002162,14,18,0.7777777777777778,0.09375
