track,band,venue,concept,conditions,n,wins,win_pct,roi,train_n,train_roi,val_n,val_roi,hold_n,hold_roi,positive_season_ratio,recent_delta,preferred,score,signature
LONG,DOG20_34,AWAY,COACH_TRANSITION,"[[""coachq_hc_quality_delta_vs_departed"", ""<="", 0.005448717948717929], [""recent_edge_def_allowed_yards_per_play"", "">="", 0.4433596275076215]]",89,32,0.3595505617977528,0.32146067415730334,29,0.4717241379310345,36,0.10611111111111117,24,0.4629166666666667,0.6666666666666666,0.17399904214559386,False,0.4498675869142296,coachq_hc_quality_delta_vs_departed|recent_edge_def_allowed_yards_per_play
LONG,DOG35_49,AWAY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.01822916666666663], [""recent_edge_punt_return_average"", "">="", 0.2999999999999989]]",154,86,0.5584415584415584,0.332987012987013,36,0.3925,67,0.31597014925373135,51,0.31333333333333335,0.8888888888888888,-0.0409017412935323,False,0.44673956408810356,coachq_dc_quality_delta_vs_departed|recent_edge_punt_return_average
LONG,PK_55,AWAY,COACH_TRANSITION,"[[""coachq_oc_quality_delta_vs_departed"", ""<="", 0.08035714285714285], [""recent_edge_def_allowed_early_down_epa"", ""<="", -0.0039228020381701]]",75,46,0.6133333333333333,0.24767834932011737,25,0.1975685603616459,23,0.23467519688376812,27,0.3051530615422587,0.7777777777777778,0.08903118291955167,False,0.4176711638209306,coachq_oc_quality_delta_vs_departed|recent_edge_def_allowed_early_down_epa
MODERN,PK_55,ANY,COACH_TRANSITION,"[[""coachq_oc_quality_delta_vs_departed"", ""<="", 0.0824032738095238], [""recent_edge_def_allowed_early_down_epa"", ""<="", 0.00209705196277545]]",131,82,0.6259541984732825,0.26832018934170915,53,0.25400836443985564,24,0.35401592032739576,33,0.24118778635306884,0.8888888888888888,-0.06282435603055689,False,0.41201637188754253,coachq_oc_quality_delta_vs_departed|recent_edge_def_allowed_early_down_epa
MODERN,PK_55,AWAY,COACH_TRANSITION,"[[""coachq_oc_quality_delta_vs_departed"", "">="", -0.04843750000000002], [""rank_edge_def_allowed_early_down_epa"", ""<="", 2.0]]",89,50,0.5617977528089888,0.1312594311605251,31,0.07045043457759029,17,0.3055536176734845,22,0.40344444741333574,0.6470588235294118,0.21544242128779834,False,0.4083550671064619,coachq_oc_quality_delta_vs_departed|rank_edge_def_allowed_early_down_epa
MODERN,DOG35_44,AWAY,MARKET,"[[""base_vs_open_prob_move"", ""<="", 0.0012354830738818823], [""rank_edge_sack_or_hit_rate"", "">="", 9.0]]",132,72,0.5454545454545454,0.36666666666666664,35,0.3388571428571429,15,0.338,30,0.261,0.75,-0.07742857142857146,False,0.4057302915292491,base_vs_open_prob_move|rank_edge_sack_or_hit_rate
LONG,DOG35_44,AWAY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.125], [""recent_edge_def_allowed_yards_per_play"", ""<="", -0.4763034867774787]]",85,48,0.5647058823529412,0.4261176470588235,19,0.5942105263157895,35,0.4568571428571428,31,0.2883870967741936,0.7222222222222222,-0.23714673781227258,False,0.40287634386251037,coachq_dc_quality_delta_vs_departed|recent_edge_def_allowed_yards_per_play
MODERN,DOG35_49,AWAY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", 0.007291666666666585], [""rank_edge_def_allowed_success_rate"", ""<="", -8.0]]",77,43,0.5584415584415584,0.3781818181818182,28,0.5042857142857143,12,0.5908333333333333,25,0.29760000000000003,0.7777777777777778,-0.24995952380952385,False,0.4027006957811485,coachq_dc_quality_delta_vs_departed|rank_edge_def_allowed_success_rate
LONG,DOG35_44,HOME,COACH_TRANSITION,"[[""coachq_staff_downgrade_count"", ""<="", 0.0], [""rank_edge_punt_return_average"", "">="", 8.0]]",84,48,0.5714285714285714,0.4098809523809524,34,0.3985294117647059,20,0.593,30,0.30066666666666664,0.7,-0.1950980392156863,False,0.39998110967429346,coachq_staff_downgrade_count|rank_edge_punt_return_average
MODERN,DOG20_34,AWAY,COACH_TRANSITION,"[[""adv_staff_quality_mean"", "">="", -0.03400997150997165], [""rank_edge_def_allowed_giveaway_rate"", "">="", -5.0]]",232,86,0.3706896551724138,0.30474137931034484,88,0.504090909090909,32,0.489375,55,0.39690909090909093,0.631578947368421,-0.09982386363636359,False,0.3979039578316635,adv_staff_quality_mean|rank_edge_def_allowed_giveaway_rate
LONG,PK_55,ANY,COACH_TRANSITION,"[[""coachq_oc_quality_delta_vs_departed"", ""<="", 0.09114583333333337], [""recent_edge_def_allowed_early_down_epa"", ""<="", 0.0015136290535615999]]",136,85,0.625,0.2633992801823444,45,0.2890938258238749,45,0.3007096653583366,46,0.2017640217738983,0.8888888888888888,-0.09313772381720742,False,0.3955093041289782,coachq_oc_quality_delta_vs_departed|recent_edge_def_allowed_early_down_epa
MODERN,DOG35_44,ANY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.0015625000000000222], [""adv_prior_road_miles_last5"", ""<="", -762.9356256377812]]",83,39,0.46987951807228917,0.1849397590361446,30,0.07033333333333334,15,0.39466666666666667,27,0.40703703703703703,0.5625,0.17453703703703702,False,0.3931473650827503,adv_prior_road_miles_last5|coachq_dc_quality_delta_vs_departed
LONG,DOG35_44,ANY,COACH_TRANSITION,"[[""adv_staff_quality_mean"", ""<="", -0.19265187937062933], [""rank_edge_punt_return_average"", "">="", 9.0]]",71,41,0.5774647887323944,0.44309859154929576,30,0.572,20,0.483,21,0.22095238095238093,0.7647058823529411,-0.30654761904761907,False,0.3931296785003934,adv_staff_quality_mean|rank_edge_punt_return_average
MODERN,DOG35_49,AWAY,COACH_TRANSITION,"[[""coachq_oc_quality_delta_vs_departed"", ""<="", 0.08984375], [""rank_edge_pass_epa_per_dropback"", "">="", 7.0]]",75,38,0.5066666666666667,0.20373333333333332,26,0.19423076923076923,15,0.11600000000000002,17,0.2829411764705882,0.7647058823529411,0.12782579185520357,False,0.39292393594096664,coachq_oc_quality_delta_vs_departed|rank_edge_pass_epa_per_dropback
MODERN,DOG35_44,ANY,COACH_TRANSITION,"[[""coachq_staff_downgrade_count"", ""<="", 0.0], [""rank_edge_punt_return_average"", "">="", 9.0]]",197,106,0.5380710659898477,0.3438071065989847,48,0.2914583333333334,26,0.3323076923076923,57,0.1721052631578948,0.85,-0.13977774966261805,False,0.38817719939282713,coachq_staff_downgrade_count|rank_edge_punt_return_average
MODERN,DOG35_49,AWAY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", 0.007291666666666585], [""recent_edge_def_allowed_early_down_epa"", ""<="", 0.0194708016620773]]",144,80,0.5555555555555556,0.34284722222222225,59,0.3354237288135593,22,0.745,41,0.17731707317073173,0.8888888888888888,-0.36289479123604795,False,0.38635641338074367,coachq_dc_quality_delta_vs_departed|recent_edge_def_allowed_early_down_epa
MODERN,PK_55,AWAY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.00416666666666668], [""rank_edge_def_allowed_success_rate"", ""<="", 9.0]]",108,66,0.6111111111111112,0.22787872413131166,42,0.23216801130960216,18,0.4521651598267844,27,0.2700380053742129,0.7777777777777778,-0.07212858019398039,False,0.3861606165129677,coachq_dc_quality_delta_vs_departed|rank_edge_def_allowed_success_rate
LONG,DOG35_49,AWAY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.01822916666666663], [""rank_edge_punt_return_average"", "">="", 10.75]]",72,41,0.5694444444444444,0.38805555555555554,20,0.5485000000000001,25,0.4644,27,0.1985185185185185,0.8333333333333334,-0.30793148148148153,False,0.38547275267071585,coachq_dc_quality_delta_vs_departed|rank_edge_punt_return_average
LONG,DOG35_44,ANY,MARKET,"[[""base_vs_open_prob_move"", ""<="", -0.011502371918600651], [""rank_edge_def_allowed_explosive_rate"", "">="", 7.0]]",144,74,0.5138888888888888,0.2792361111111112,33,0.09818181818181819,40,0.50975,71,0.23352112676056336,0.8,-0.07044478233034573,False,0.385262585532526,base_vs_open_prob_move|rank_edge_def_allowed_explosive_rate
LONG,DOG35_49,AWAY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.01822916666666663], [""rank_edge_off_epa_per_play"", "">="", 8.0]]",72,40,0.5555555555555556,0.3104166666666667,27,0.27555555555555555,26,0.39,19,0.25105263157894736,0.7647058823529411,-0.08172514619883042,False,0.38500994307319264,coachq_dc_quality_delta_vs_departed|rank_edge_off_epa_per_play
LONG,FAV55_65,AWAY,COACH_TRANSITION,"[[""adv_staff_quality_mean"", "">="", -0.09014423076923084], [""recent_edge_kick_return_average"", "">="", 4.361805555555557]]",80,61,0.7625,0.2736617846180125,33,0.3067718052057575,20,0.3438359878962804,27,0.18121309036019984,0.8421052631578947,-0.1440908061908191,False,0.3834959797435757,adv_staff_quality_mean|recent_edge_kick_return_average
MODERN,DOG35_49,AWAY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", 0.007291666666666585], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -9.0]]",76,44,0.5789473684210527,0.4101315789473684,29,0.4579310344827586,12,0.5758333333333333,24,0.20250000000000004,0.7777777777777778,-0.31438218390804595,False,0.3833994077684237,coachq_dc_quality_delta_vs_departed|rank_edge_def_allowed_off_epa_per_play
MODERN,FAV65_75,AWAY,MARKET,"[[""base_vs_open_prob_move"", ""<="", 0.03023218463362254], [""recent_edge_def_allowed_explosive_rate"", "">="", 0.0126857940056094]]",165,130,0.7878787878787878,0.1369898109608548,50,0.18636088544003698,20,0.28015525547890563,29,0.21543848060729956,0.8,-0.017819589852171747,False,0.38313505113670016,base_vs_open_prob_move|recent_edge_def_allowed_explosive_rate
LONG,DOG35_44,ANY,COACH_TRANSITION,"[[""coachq_staff_downgrade_count"", ""<="", 0.0], [""rank_edge_punt_return_average"", "">="", 9.0]]",197,106,0.5380710659898477,0.3438071065989847,83,0.4896385542168676,53,0.31056603773584907,61,0.1742622950819672,0.85,-0.22584000089439113,False,0.38099541642618917,coachq_staff_downgrade_count|rank_edge_punt_return_average
