track,price_band,venue,concept,conditions,full_n,full_wins,full_win_pct,full_roi,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,positive_season_ratio,recent_delta,weather_research_only,preferred,score
LONG,DOG35_44,ANY,ROAD_STREAK,"[[""road_games_prev5"", "">="", 3.0], [""rank_edge_def_allowed_explosive_rate"", "">="", 7.0]]",133,65,0.48872180451127817,0.22962406015037595,44,0.08681818181818182,39,0.3533333333333334,50,0.2588,0.75,0.03872424242424238,False,True,0.370934401072024
MODERN,DOG35_44,HOME,ROAD_STREAK,"[[""road_prior_streak"", ""<="", 1.0], [""rank_edge_def_allowed_early_down_epa"", "">="", 5.25]]",99,48,0.48484848484848486,0.21484848484848484,30,0.26666666666666666,13,0.15384615384615385,29,0.2144827586206897,0.75,0.004226348364279431,False,True,0.34562117485730276
MODERN,FAV55_65,AWAY,CALENDAR,"[[""cal_dec_or_jan"", "">="", 1.0], [""rank_edge_sack_rate_allowed"", ""<="", 4.0]]",119,79,0.6638655462184874,0.11723593695868958,37,0.14053379399023747,25,0.1492660036924043,24,0.17587660532050267,0.8,0.030976706479181798,False,True,0.3454766223556018
LONG,FAV55_65,AWAY,ROAD_STREAK,"[[""road_games_prev5"", "">="", 2.0], [""recent_edge_def_allowed_yards_per_play"", "">="", 0.7302054077592606]]",132,91,0.6893939393939394,0.15139434747378971,42,0.1503703313630846,45,0.13660121345803886,45,0.16714322985953198,0.7,0.02365745744897027,False,True,0.3349520862389791
MODERN,PK_55,AWAY,ROAD_STREAK,"[[""road_games_prev3"", "">="", 2.0], [""recent_edge_def_allowed_early_down_epa"", ""<="", 0.1186483349028788]]",133,75,0.5639097744360902,0.13903824034396972,47,0.2014379251818573,17,0.18045061502862017,33,0.2128478812323484,0.7,0.021903611127109673,False,True,0.33321558738223045
LONG,DOG35_49,ANY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.48314135842526496], [""rank_edge_punt_return_average"", "">="", 1.0]]",207,100,0.4830917874396135,0.15980676328502413,80,0.09737499999999999,51,0.2096078431372549,76,0.19210526315789472,0.7,0.038613841589267284,False,True,0.3307895804888481
LONG,FAV65_75,AWAY,ROAD_STREAK,"[[""road_prior_streak"", "">="", 0.0], [""recent_edge_kick_return_average"", "">="", 3.668055555555556]]",113,88,0.7787610619469026,0.1156650801920145,40,0.12072255923658179,38,0.0991911492574551,35,0.1277710862986021,0.75,0.01781423205158364,False,True,0.3306528456213371
LONG,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate_edge"", ""<="", -0.04185443170951321]]",104,81,0.7788461538461539,0.1226454356532649,40,0.12559842344032987,21,0.09984859465037432,43,0.13103181122484867,0.7,0.01830830217949657,False,True,0.32334823340518226
LONG,DOG35_44,AWAY,ROAD_STREAK,"[[""road_games_prev5"", "">="", 3.0], [""recent_edge_sack_or_hit_rate"", "">="", 0.00288736374754465]]",86,48,0.5581395348837209,0.3929069767441861,40,0.2615,21,0.30619047619047624,25,0.6759999999999999,0.85,0.39215476190476184,False,False,0.5764159496531823
LONG,DOG35_49,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.462580750311148], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -10.5]]",74,49,0.6621621621621622,0.5822972972972973,29,0.4531034482758621,12,0.9,33,0.5803030303030303,0.7368421052631579,-0.09624869383490076,False,False,0.5333375985779384
LONG,DOG35_49,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.462580750311148], [""recent_edge_punt_net_average"", "">="", 3.68373015873016]]",116,72,0.6206896551724138,0.5026724137931035,60,0.5151666666666667,19,0.47894736842105273,37,0.49459459459459454,0.75,-0.0024624229492651306,False,False,0.5072773612183857
LONG,DOG20_34,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", "">="", 0.47805328197721075], [""recent_edge_kick_return_average"", ""<="", -0.1388888888888892]]",86,32,0.37209302325581395,0.31441860465116284,44,0.1359090909090909,22,0.41999999999999993,20,0.591,0.7,0.31304545454545457,False,False,0.4880438566299264
LONG,DOG35_49,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.4876835335517534], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -8.0]]",73,43,0.589041095890411,0.42780821917808226,30,0.465,21,0.3576190476190476,22,0.4440909090909091,0.8,0.0327813852813853,False,False,0.48174946983071104
LONG,DOG20_34,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", "">="", 0.42857142857142855], [""recent_edge_giveaway_rate"", "">="", 0.0090715033196651]]",110,47,0.42727272727272725,0.4924545454545455,65,0.45492307692307693,26,0.576923076923077,19,0.5052631578947369,0.65,-0.01065991902834007,False,False,0.46908204937039844
LONG,DOG35_49,AWAY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.4667437246300308], [""recent_edge_explosive_rate"", ""<="", -0.0016755061764846]]",93,54,0.5806451612903226,0.38634408602150544,50,0.45819999999999994,14,0.11714285714285715,29,0.3924137931034483,0.6842105263157895,0.1047423645320198,False,False,0.4488656761152914
