method_id,depth,features,pre_roi,pre_improvement,pre_retained,score
US001,1,FEATURE:opp_prev_travel_miles <= 192.48172824337738,0.5296765725248267,0.27957085322054676,0.6326530612244898,0.5423296337493165
US001,1,FEATURE:adv_altitude_change_ft <= -35.25,0.5290620441529015,0.27895632484862154,0.6326530612244898,0.5417151053773913
US001,1,FEATURE:opp_prev_travel_miles <= 0.0,0.5176253023542485,0.2675195830499686,0.673469387755102,0.5310946901093506
US001,1,FEATURE:adv_prior_road_miles_last4 <= -182.8675025240094,0.5021047170426801,0.2519989977384002,0.6326530612244898,0.51475777826717
US001,1,FEATURE:recent_edge_yards_per_play >= 0.8906309445328529,0.4387952691485302,0.18868954984425024,0.6530612244897959,0.4518564936383261
US001,1,FEATURE:rank_edge_yards_per_play >= 18.0,0.42926707219891425,0.1791613528946343,0.7551020408163265,0.4443691130152408
US001,1,TIMING:W11_14 IN 11-14,0.42441062775194816,0.17430490844766822,0.6122448979591837,0.4366555257111318
US001,1,FEATURE:road_miles4_per_rest_day >= 479.354193515986,0.3867646224161765,0.13665890311189655,0.7551020408163265,0.40186666323250303
US001,1,FEATURE:rank_edge_def_allowed_giveaway_rate <= -13.0,0.37801428745928745,0.1279085681550075,0.7551020408163265,0.393116328275614
US001,1,FEATURE:road_miles_last5_including_current >= 3370.8943945897327,0.3653699099097384,0.11526419060545845,0.7346938775510204,0.3800637874607588
US001,1,FEATURE:adv_eastward_tz_hours <= -1.0,0.36003307020253694,0.109927350898257,0.7346938775510204,0.37472694775355736
US001,2,FEATURE:opp_prev_travel_miles <= 192.48172824337738 | FEATURE:opp_prev_travel_miles <= 0.0,0.5296765725248267,0.27957085322054676,0.6326530612244898,0.5173296337493165
US001,2,FEATURE:recent_edge_yards_per_play >= 0.8906309445328529 | FEATURE:rank_edge_yards_per_play >= 18.0,0.44552141293618586,0.19541569363190592,0.6122448979591837,0.4327663108953695
US001,2,FEATURE:road_miles4_per_rest_day >= 479.354193515986 | FEATURE:road_miles_last5_including_current >= 3370.8943945897327,0.3973750133846212,0.14726929408034128,0.673469387755102,0.38584440113972324
US002,1,FEATURE:rank_edge_points_for <= -7.0,0.8594999999999999,0.553900269541779,0.7164179104477612,0.8738283582089551
US002,1,FEATURE:rank_edge_def_allowed_success_rate >= 5.800000000000004,0.8479738562091503,0.5423741257509294,0.6417910447761194,0.8608096771046727
US002,1,FEATURE:recent_edge_redzone_epa <= -0.2830303139507902,0.8368382352941176,0.5312385048358965,0.6268656716417911,0.8493755487269534
US002,1,FEATURE:rank_edge_early_down_epa <= -13.6,0.8211111111111111,0.5155113806528901,0.7611940298507462,0.8363349917081261
US002,1,FEATURE:rank_edge_passing_cpoe <= -9.600000000000001,0.7510294117647058,0.4454296813064848,0.6268656716417911,0.7635667251975417
US002,1,FEATURE:recent_edge_redzone_epa <= -0.3653143833846243,0.7498015873015872,0.44420185684336616,0.7611940298507462,0.7650254678986022
US002,1,FEATURE:rank_edge_def_allowed_success_rate >= 10.600000000000001,0.7105158730158729,0.4049161425576519,0.7611940298507462,0.7257397536128879
US002,1,FEATURE:adv_staff_downgrade_count >= 0.8000000000000043,0.6812499999999999,0.3756502695417789,0.6268656716417911,0.6937873134328357
US002,1,FEATURE:adv_staff_downgrade_count >= 1.0,0.6812499999999999,0.3756502695417789,0.6268656716417911,0.6937873134328357
US002,1,FEATURE:recent_edge_def_allowed_success_rate >= 0.034862737422597594,0.6763725490196077,0.3707728185613867,0.6417910447761194,0.6892083699151301
US002,2,FEATURE:rank_edge_def_allowed_success_rate >= 5.800000000000004 | FEATURE:rank_edge_early_down_epa <= -13.6,1.0527620967741935,0.7471623663159725,0.582089552238806,1.0394038878189698
US002,2,FEATURE:rank_edge_def_allowed_success_rate >= 5.800000000000004 | FEATURE:rank_edge_def_allowed_success_rate >= 10.600000000000001,0.8479738562091503,0.5423741257509294,0.6417910447761194,0.8358096771046727
US002,2,FEATURE:recent_edge_redzone_epa <= -0.2830303139507902 | FEATURE:recent_edge_redzone_epa <= -0.3653143833846243,0.8368382352941176,0.5312385048358965,0.6268656716417911,0.8243755487269534
US002,2,FEATURE:rank_edge_early_down_epa <= -13.6 | FEATURE:rank_edge_def_allowed_success_rate >= 10.600000000000001,0.9323479729729729,0.6267482425147519,0.6716417910447762,0.9207808087938684
