method_id,season,week,game_id,team,opponent,moneyline
US002,2007,7,2007_07_NYJ_CIN,NYJ,CIN,230.0
US002,2024,14,2024_14_NYJ_MIA,NYJ,MIA,240.0
US002,2016,8,2016_08_PHI_DAL,PHI,DAL,201.0
US002,2016,11,2016_11_PHI_SEA,PHI,SEA,235.0
US002,2015,7,2015_07_PIT_KC,PIT,KC,186.0
US002,2020,17,2020_17_PIT_CLE,PIT,CLE,376.0
US002,2021,4,2021_04_PIT_GB,PIT,GB,239.0
US002,2021,11,2021_11_PIT_LAC,PIT,LAC,220.0
US002,2024,15,2024_15_PIT_PHI,PIT,PHI,215.0
US002,2022,5,2022_05_SEA_NO,SEA,NO,201.0
US002,2008,15,2008_15_TB_ATL,TB,ATL,195.0
US002,2012,13,2012_13_TB_DEN,TB,DEN,346.0
US002,2017,12,2017_12_TB_ATL,TB,ATL,400.0
US002,2022,18,2022_18_TB_ATL,TB,ATL,207.0
US002,2014,7,2014_07_TEN_WAS,TEN,WAS,220.0
US002,2009,5,2009_05_WAS_CAR,WAS,CAR,199.0
US003,2013,8,2013_08_ATL_ARI,ATL,ARI,136.0
US003,2019,5,2019_05_ATL_HOU,ATL,HOU,184.0
US003,2023,17,2023_17_ATL_CHI,ATL,CHI,130.0
US003,2009,6,2009_06_BAL_MIN,BAL,MIN,133.0
US003,2011,11,2011_11_BUF_MIA,BUF,MIA,141.0
US003,2006,7,2006_07_CAR_CIN,CAR,CIN,143.0
US003,2011,6,2011_06_CAR_ATL,CAR,ATL,171.0
US003,2014,7,2014_07_CIN_IND,CIN,IND,161.0
US003,2012,17,2012_17_DAL_WAS,DAL,WAS,157.0
US003,2024,9,2024_09_DAL_ATL,DAL,ATL,140.0
US003,2007,9,2007_09_DEN_DET,DEN,DET,136.0
US003,2008,7,2008_07_DEN_NE,DEN,NE,130.0
US003,2024,17,2024_17_DEN_CIN,DEN,CIN,145.0
US003,2006,11,2006_11_DET_ARI,DET,ARI,123.0
US003,2013,14,2013_14_DET_PHI,DET,PHI,126.0
US003,2018,15,2018_15_DET_BUF,DET,BUF,132.0
US003,2006,9,2006_09_GB_BUF,GB,BUF,168.0
US003,2016,8,2016_08_GB_ATL,GB,ATL,139.0
US003,2018,11,2018_11_GB_SEA,GB,SEA,146.0
US003,2023,10,2023_10_GB_PIT,GB,PIT,140.0
US003,2023,14,2023_14_IND_CIN,IND,CIN,124.0
US003,2015,13,2015_13_JAX_TEN,JAX,TEN,126.0
US003,2021,8,2021_08_JAX_SEA,JAX,SEA,171.0
US003,2010,7,2010_07_STL_TB,LA,TB,149.0
US003,2013,14,2013_14_STL_ARI,LA,ARI,179.0
US003,2019,7,2019_07_LAC_TEN,LAC,TEN,141.0
US003,2007,11,2007_11_SD_JAX,LAC,JAX,154.0
US003,2013,14,2013_14_OAK_NYJ,LV,NYJ,140.0
US003,2017,4,2017_04_OAK_DEN,LV,DEN,166.0
US003,2008,6,2008_06_MIA_HOU,MIA,HOU,143.0
US003,2022,4,2022_04_MIA_CIN,MIA,CIN,169.0
US003,2023,17,2023_17_MIA_BAL,MIA,BAL,150.0
US003,2024,15,2024_15_MIA_HOU,MIA,HOU,130.0
US003,2025,7,2025_07_MIA_CLE,MIA,CLE,124.0
US003,2018,14,2018_14_MIN_SEA,MIN,SEA,151.0
US003,2019,13,2019_13_MIN_SEA,MIN,SEA,138.0
US003,2008,13,2008_13_NO_TB,NO,TB,177.0
US003,2016,11,2016_11_NO_CAR,NO,CAR,166.0
US003,2010,16,2010_16_NYJ_CHI,NYJ,CHI,127.0
US003,2018,9,2018_09_NYJ_MIA,NYJ,MIA,140.0
US003,2009,17,2009_17_PHI_DAL,PHI,DAL,140.0
US003,2022,16,2022_16_PHI_DAL,PHI,DAL,178.0
US003,2006,12,2006_12_PIT_BAL,PIT,BAL,132.0
US003,2010,14,2010_14_SEA_SF,SEA,SF,182.0
US003,2023,6,2023_06_SEA_CIN,SEA,CIN,130.0
US003,2017,7,2017_07_TB_BUF,TB,BUF,150.0
US003,2013,13,2013_13_TEN_IND,TEN,IND,166.0
US003,2006,11,2006_11_WAS_TB,WAS,TB,155.0
US004,2011,5,2011_05_ARI_MIN,ARI,MIN,171.0
US004,2023,16,2023_16_ARI_CHI,ARI,CHI,180.0
US004,2007,13,2007_13_ATL_STL,ATL,LA,153.0
US004,2013,8,2013_08_ATL_ARI,ATL,ARI,136.0
US004,2013,14,2013_14_ATL_GB,ATL,GB,166.0
US004,2019,5,2019_05_ATL_HOU,ATL,HOU,184.0
US004,2022,12,2022_12_ATL_WAS,ATL,WAS,163.0
US004,2023,17,2023_17_ATL_CHI,ATL,CHI,130.0
US004,2006,13,2006_13_BAL_CIN,BAL,CIN,150.0
US004,2009,4,2009_04_BAL_NE,BAL,NE,123.0
US004,2009,16,2009_16_BAL_PIT,BAL,PIT,127.0
US004,2010,6,2010_06_BAL_NE,BAL,NE,126.0
US004,2013,11,2013_11_BAL_CHI,BAL,CHI,181.0
US004,2017,9,2017_09_BAL_TEN,BAL,TEN,155.0
US004,2008,10,2008_10_BUF_NE,BUF,NE,167.0
US004,2011,11,2011_11_BUF_MIA,BUF,MIA,141.0
US004,2013,14,2013_14_BUF_TB,BUF,TB,160.0
US004,2006,7,2006_07_CAR_CIN,CAR,CIN,143.0
US004,2008,16,2008_16_CAR_NYG,CAR,NYG,185.0
US004,2011,6,2011_06_CAR_ATL,CAR,ATL,171.0
US004,2013,14,2013_14_CAR_NO,CAR,NO,156.0
US004,2014,13,2014_13_CAR_MIN,CAR,MIN,129.0
US004,2019,14,2019_14_CAR_ATL,CAR,ATL,161.0
US004,2008,11,2008_11_CHI_GB,CHI,GB,175.0
US004,2008,17,2008_17_CHI_HOU,CHI,HOU,148.0
US004,2012,11,2012_11_CHI_SF,CHI,SF,171.0
US004,2006,16,2006_16_CIN_DEN,CIN,DEN,150.0
US004,2014,7,2014_07_CIN_IND,CIN,IND,161.0
US004,2016,16,2016_16_CIN_HOU,CIN,HOU,139.0
US004,2009,11,2009_11_CLE_DET,CLE,DET,158.0
US004,2018,7,2018_07_CLE_TB,CLE,TB,163.0
US004,2012,17,2012_17_DAL_WAS,DAL,WAS,157.0
