method_id,season,n,wins,losses,win_pct,roi,units
US001,2008,3,2,1,0.6666666666666666,0.3607936507936507,1.0823809523809522
US001,2009,5,3,2,0.6,0.2104021263825774,1.052010631912887
US001,2010,6,1,5,0.16666666666666666,-0.6466666666666666,-3.88
US001,2011,10,6,4,0.6,0.2494251570399877,2.494251570399877
US001,2012,4,3,1,0.75,0.5387389380530974,2.1549557522123894
US001,2013,8,4,4,0.5,-0.0482300791773229,-0.3858406334185832
US001,2014,7,6,1,0.8571428571428571,0.6644583025350912,4.651208117745639
US001,2015,8,6,2,0.75,0.5335083461079884,4.268066768863907
US001,2016,8,1,7,0.125,-0.7708333333333333,-6.166666666666666
US001,2017,1,0,1,0.0,-1.0,-1.0
US001,2018,3,2,1,0.6666666666666666,0.29859239293201556,0.8957771787960467
US001,2019,2,2,0,1.0,0.9811904761904762,1.9623809523809523
US001,2020,8,5,3,0.625,0.29660714285714285,2.3728571428571428
US001,2021,3,2,1,0.6666666666666666,0.3633333333333333,1.0899999999999999
US001,2022,4,4,0,1.0,0.983717021971739,3.934868087886956
US001,2023,4,2,2,0.5,0.0625,0.25
US001,2024,5,5,0,1.0,1.0960784313725491,5.480392156862745
US001,2025,3,1,2,0.3333333333333333,-0.31666666666666665,-0.95
US002,2007,8,1,7,0.125,-0.58875,-4.71
US002,2008,13,5,8,0.38461538461538464,0.26538461538461533,3.4499999999999993
US002,2009,9,1,8,0.1111111111111111,-0.6455555555555557,-5.8100000000000005
US002,2010,3,1,2,0.3333333333333333,0.22999999999999998,0.69
US002,2011,1,1,0,1.0,2.01,2.01
US002,2012,12,4,8,0.3333333333333333,0.05083333333333336,0.6100000000000003
US002,2013,4,2,2,0.5,0.9775,3.91
US002,2014,9,5,4,0.5555555555555556,0.9977777777777779,8.98
US002,2015,10,7,3,0.7,1.21,12.1
US002,2016,6,2,4,0.3333333333333333,0.018333333333333385,0.11000000000000032
US002,2017,12,3,9,0.25,-0.24750000000000005,-2.9700000000000006
US002,2018,5,3,2,0.6,0.978,4.89
US002,2019,3,1,2,0.3333333333333333,0.18333333333333326,0.5499999999999998
US002,2020,6,1,5,0.16666666666666666,-0.4816666666666667,-2.89
US002,2021,6,3,3,0.5,0.54,3.24
US002,2022,6,2,4,0.3333333333333333,0.20999999999999996,1.2599999999999998
US002,2023,3,2,1,0.6666666666666666,1.4833333333333334,4.45
US002,2024,6,1,5,0.16666666666666666,-0.2833333333333334,-1.7000000000000002
US002,2025,4,3,1,0.75,1.375,5.5
US003,2006,14,9,5,0.6428571428571429,0.6378571428571427,8.929999999999998
US003,2007,5,3,2,0.6,0.45,2.25
US003,2008,8,5,3,0.625,0.5525,4.42
US003,2009,5,3,2,0.6,0.532,2.66
US003,2010,7,4,3,0.5714285714285714,0.46428571428571425,3.2499999999999996
US003,2011,3,1,2,0.3333333333333333,-0.24333333333333332,-0.73
US003,2012,3,2,1,0.6666666666666666,0.73,2.19
US003,2013,10,5,5,0.5,0.19399999999999995,1.9399999999999995
US003,2014,4,3,1,0.75,0.8125,3.25
US003,2015,2,1,1,0.5,0.30500000000000005,0.6100000000000001
US003,2016,7,5,2,0.7142857142857143,0.8114285714285714,5.68
US003,2017,2,0,2,0.0,-1.0,-2.0
US003,2018,6,2,4,0.3333333333333333,-0.17666666666666664,-1.0599999999999998
US003,2019,5,2,3,0.4,-0.01200000000000001,-0.06000000000000005
US003,2020,2,2,0,1.0,1.46,2.92
US003,2021,3,2,1,0.6666666666666666,0.7233333333333333,2.17
US003,2022,7,5,2,0.7142857142857143,0.8142857142857143,5.7
US003,2023,8,3,5,0.375,-0.08000000000000002,-0.6400000000000001
