method_id,kind,feature,op,threshold,pre_score,w1,w2
US005,FEATURE,rank_edge_punt_return_average,<=,-8.399999999999999,0.1253364193629929,,
US005,FEATURE,recent_edge_def_allowed_early_down_epa,>=,0.03214186733363575,0.11072579565698881,,
US005,FEATURE,opp_prior_road_miles_last2,<=,236.61916746283418,0.09885588223707531,,
US005,FEATURE,rank_edge_punt_net_average,<=,-12.0,0.0782559543871475,,
US005,FEATURE,recent_edge_def_allowed_explosive_rate,>=,0.028924340560330143,0.07466491016566851,,
US005,FEATURE,adv_altitude_change_ft,>=,562.0,0.0641001899270352,,
US005,FEATURE,qb_prior_starts,<=,5.0,0.04578785830698251,,
US006,FEATURE,rank_edge_pass_epa_per_dropback,>=,-18.0,0.5431442307692309,,
US006,FEATURE,qb_prior_starts,>=,23.700000000000003,0.5081442307692308,,
US006,FEATURE,recent_edge_giveaway_rate,>=,-0.01474868067715821,0.3137989926739927,,
US006,FEATURE,opp_prior_road_miles_last5,<=,1444.3132747803288,0.2991442307692308,,
US006,FEATURE,rank_edge_pass_epa_per_dropback,>=,-17.0,0.2987030542986425,,
US006,FEATURE,adv_road_miles_last4_including_current,<=,46.981456936549954,0.26722115384615386,,
US006,FEATURE,rank_edge_punt_net_average,<=,-5.0,0.24158173076923073,,
US006,FEATURE,qb_prior_starts,>=,43.60000000000001,0.23470673076923076,,
US006,FEATURE,rank_edge_punt_net_average,<=,-2.5,0.2311799450549452,,
US006,FEATURE,rank_edge_def_allowed_pass_epa_per_dropback,<=,-5.350000000000001,0.22844337606837606,,
US006,FEATURE,fatigue_load_index,>=,0.9287648856790143,0.2279326923076923,,
US006,FEATURE,fatigue_load_index,>=,1.2576974558676897,0.22506730769230776,,
US006,FEATURE,rank_edge_passing_cpoe,>=,-9.5,0.21364423076923078,,
US006,FEATURE,rank_edge_success_rate,>=,-9.299999999999997,0.21352884615384615,,
US006,FEATURE,rank_edge_punt_return_average,<=,-5.350000000000001,0.21013815789473678,,
US006,FEATURE,adv_road_miles_last4_including_current,<=,382.2664154651709,0.20216346153846154,,
US006,FEATURE,adv_prior_tz_hours_last4,<=,-2.0,0.19217200854700844,,
US006,FEATURE,road_miles4_per_rest_day,>=,262.77713113800417,0.19087927350427347,,
US007,FEATURE,rank_edge_early_down_epa,>=,10.0,0.15482611287780507,,
US007,FEATURE,adv_altitude_change_ft,<=,19.0,0.1490427642533742,,
US007,FEATURE,recent_edge_def_allowed_explosive_rate,<=,0.0023370835186801364,0.13887649332892715,,
US007,FEATURE,recent_edge_early_down_epa,>=,0.0944046082930318,0.11503945875224864,,
US007,FEATURE,recent_edge_off_epa_per_play,>=,0.11399757874408839,0.11427903769391362,,
US007,FEATURE,recent_edge_points_for,>=,9.049999999999999,0.11065544917995657,,
US007,FEATURE,rank_edge_early_down_epa,>=,16.0,0.10204101631684326,,
US007,FEATURE,recent_edge_off_epa,>=,9.633203715648454,0.08292839289975545,,
US007,FEATURE,recent_edge_off_epa_per_play,>=,0.1755274046956585,0.08067541545802237,,
US007,FEATURE,rank_edge_def_allowed_yards_per_play,<=,1.0,0.08055997829440648,,
US007,FEATURE,recent_edge_def_allowed_giveaway_rate,>=,0.01530608732337508,0.07547295393141204,,
US007,FEATURE,recent_edge_sack_or_hit_rate,>=,0.03499473549785348,0.07418390281641846,,
US007,FEATURE,coachq_oc_changed_quality,>=,0.14999999999999858,0.07227590967420558,,
US007,FEATURE,coachq_oc_changed_quality,>=,1.0,0.07227590967420558,,
US007,FEATURE,recent_edge_def_allowed_success_rate,<=,-0.04296785970440535,0.06495342146139771,,
US007,FEATURE,rank_edge_def_allowed_explosive_rate,<=,1.8499999999999979,0.05825292789758574,,
US007,FEATURE,recent_edge_early_down_epa,>=,0.17911277456750346,0.05558380737679294,,
US007,FEATURE,recent_edge_def_allowed_giveaway_rate,>=,0.022524650038572413,0.055233815649792045,,
US008,TIMING,W11_14,IN,11-14,0.27331625668114906,11.0,14.0
US008,FEATURE,recent_edge_yards_per_play,<=,0.08176873928376835,0.26854406465216346,,
US008,FEATURE,rank_edge_point_margin,<=,-12.950000000000003,0.21962681568736014,,
US008,FEATURE,rank_edge_punt_return_average,<=,-4.0,0.21814140993085468,,
US008,FEATURE,rank_edge_third_down_success,<=,-2.0,0.2075727681659726,,
US008,FEATURE,rank_edge_point_margin,<=,-16.0,0.18866734363767074,,
US008,FEATURE,rank_edge_pass_epa_per_dropback,<=,-2.9000000000000057,0.18537733328570377,,
US008,FEATURE,rank_edge_def_allowed_off_epa_per_play,>=,-15.0,0.1608184189064879,,
US008,FEATURE,rank_edge_def_allowed_explosive_rate,>=,-9.0,0.16080107699789664,,
US008,FEATURE,rank_edge_rush_epa_per_carry,<=,-4.0,0.16015354811946336,,
US008,FEATURE,adv_prior_tz_hours_last5,<=,-1.0,0.14849835482126816,,
US008,FEATURE,adv_prior_tz_hours_last4,<=,-1.0,0.14171223611078893,,
US008,FEATURE,rank_edge_sack_or_hit_rate,<=,-11.0,0.1371423436376707,,
US008,FEATURE,recent_edge_redzone_epa,<=,-0.22693577163070147,0.13359161899998956,,
US008,FEATURE,adv_prior_road_games_last2,<=,-1.0,0.1323384974838246,,
US008,FEATURE,rank_edge_points_against,<=,-16.5,0.12758671270144273,,
